Time,T,OTU10_R1,OTU11_R1,OTU12_R1,OTU10_R2,OTU11_R2,OTU12_R2,OTU10_R3,OTU11_R3,OTU12_R3,OTU10_R4,OTU11_R4,OTU12_R4,OTU10_R5,OTU11_R5,OTU12_R5
0.03,32,6.45,6.22,6.07,6.57,6.44,5.75,6.1,6.68,7.14,6.33,6.36,5.96,6.58,7.17,6.28
1.03,32,6.56,6.34,6.23,6.67,6.59,5.85,6.19,6.75,7.18,6.46,6.4,6.06,6.71,7.02,6.34
2.03,32,6.72,6.48,6.4,6.77,6.73,5.99,6.31,6.87,7.31,6.6,6.49,6.18,6.87,7,6.46
3.03,32,6.85,6.61,6.57,6.86,6.82,6.09,6.43,6.97,7.41,6.75,6.58,6.3,7.01,7.05,6.57
4.03,32,6.99,6.75,6.75,6.99,6.95,6.22,6.56,7.08,7.53,6.93,6.69,6.42,7.17,7.15,6.69
5.03,32,7.12,6.88,6.89,7.11,7.07,6.32,6.67,7.18,7.63,7.08,6.8,6.53,7.31,7.26,6.8
6.03,32,7.22,7,7.04,7.22,7.19,6.43,6.78,7.27,7.71,7.21,6.89,6.64,7.43,7.37,6.91
7.03,32,7.33,7.13,7.16,7.34,7.29,6.53,6.89,7.37,7.82,7.34,6.97,6.75,7.57,7.5,7.03
8.029999999999998,32,7.41,7.22,7.3,7.46,7.4,6.63,6.99,7.44,7.9,7.46,7.07,6.86,7.68,7.6,7.11
9.03,32,7.5,7.34,7.43,7.56,7.52,6.74,7.1,7.55,8.02,7.58,7.16,6.96,7.8,7.74,7.24
10.03,32,7.58,7.43,7.54,7.66,7.63,6.83,7.19,7.66,8.09,7.69,7.25,7.06,7.91,7.85,7.32
11.03,32,7.66,7.53,7.66,7.75,7.73,6.91,7.26,7.74,8.19,7.78,7.34,7.15,8.01,7.97,7.42
12.03,32,7.72,7.63,7.75,7.83,7.81,7.01,7.34,7.82,8.27,7.86,7.43,7.24,8.1,8.06,7.5
13.03,32,7.77,7.72,7.85,7.92,7.91,7.09,7.4,7.9,8.37,7.94,7.52,7.33,8.18,8.17,7.58
14.03,32,7.83,7.8,7.92,8.01,8.01,7.17,7.5,8.01,8.44,8.02,7.61,7.42,8.26,8.26,7.69
15.03,32,7.86,7.88,8.02,8.07,8.09,7.25,7.57,8.07,8.54,8.07,7.68,7.49,8.33,8.35,7.76
16.03,32,7.9,7.96,8.09,8.14,8.17,7.32,7.65,8.14,8.6,8.13,7.77,7.58,8.41,8.43,7.84
17.03,32,7.92,8.02,8.16,8.21,8.23,7.4,7.7,8.199999999999998,8.67,8.19,7.82,7.65,8.46,8.49,7.9
18.05,32,7.97,8.08,8.24,8.27,8.3,7.46,7.76,8.29,8.75,8.24,7.9,7.72,8.529999999999998,8.59,7.99
19.05,32,8,8.16,8.3,8.35,8.38,7.53,7.82,8.36,8.83,8.29,8,7.8,8.59,8.66,8.06
20.05,32,8.01,8.199999999999998,8.35,8.39,8.44,7.6,7.87,8.41,8.89,8.33,8.05,7.86,8.62,8.71,8.12
21.05,32,8.029999999999998,8.27,8.41,8.449999999999998,8.51,7.67,7.92,8.48,8.97,8.37,8.11,7.92,8.68,8.8,8.19
22.05,32,8.06,8.31,8.46,8.49,8.56,7.73,7.98,8.54,9.04,8.39,8.18,7.99,8.72,8.83,8.24
23.05,32,8.08,8.38,8.52,8.55,8.61,7.79,8.029999999999998,8.59,9.08,8.43,8.24,8.05,8.76,8.92,8.3
24.05,32,8.1,8.42,8.57,8.61,8.69,7.85,8.07,8.66,9.15,8.449999999999998,8.3,8.11,8.82,8.949999999999998,8.36
25.05,32,8.12,8.46,8.6,8.65,8.73,7.9,8.09,8.71,9.21,8.51,8.36,8.17,8.84,9,8.4
26.05,32,8.13,8.49,8.65,8.68,8.79,7.95,8.13,8.76,9.26,8.529999999999998,8.4,8.22,8.87,9.05,8.44
27.05,32,8.17,8.55,8.68,8.73,8.83,8.01,8.19,8.83,9.32,8.57,8.47,8.279999999999998,8.92,9.09,8.51
28.05,32,8.19,8.59,8.72,8.76,8.89,8.04,8.22,8.87,9.36,8.6,8.52,8.32,8.93,9.14,8.55
29.07,32,8.19,8.63,8.76,8.81,8.93,8.08,8.25,8.91,9.41,8.63,8.55,8.37,8.97,9.18,8.59
30.07,32,8.21,8.67,8.79,8.82,8.97,8.14,8.279999999999998,8.949999999999998,9.47,8.67,8.6,8.41,8.99,9.2,8.63
31.07,32,8.24,8.699999999999998,8.82,8.85,9,8.199999999999998,8.31,9,9.51,8.699999999999998,8.65,8.46,9.03,9.25,8.67
32.07,32,8.25,8.74,8.85,8.88,9.05,8.22,8.33,9.03,9.54,8.73,8.68,8.49,9.05,9.27,8.699999999999998
33.07,32,8.26,8.75,8.87,8.91,9.08,8.26,8.36,9.08,9.59,8.76,8.72,8.55,9.07,9.29,8.74
34.08,32,8.26,8.8,8.92,8.93,9.13,8.29,8.39,9.13,9.64,8.8,8.75,8.59,9.08,9.31,8.77
35.08,32,8.26,8.82,8.93,8.96,9.16,8.32,8.42,9.15,9.67,8.82,8.77,8.62,9.1,9.35,8.8
36.08,32,8.26,8.84,8.96,8.98,9.19,8.37,8.42,9.19,9.72,8.84,8.81,8.67,9.14,9.37,8.84
37.08,32,8.26,8.87,8.98,9.02,9.25,8.4,8.46,9.24,9.76,8.87,8.85,8.699999999999998,9.15,9.39,8.87
38.08,32,8.25,8.88,8.99,9.03,9.26,8.42,8.47,9.25,9.79,8.88,8.87,8.72,9.17,9.38,8.91
39.08,32,8.26,8.89,9.02,9.06,9.28,8.449999999999998,8.49,9.29,9.82,8.88,8.91,8.75,9.18,9.36,8.93
40.08,32,8.26,8.93,9.04,9.07,9.31,8.46,8.52,9.3,9.84,8.91,8.92,8.79,9.18,9.38,8.949999999999998
41.1,32,8.25,8.94,9.03,9.09,9.34,8.51,8.52,9.32,9.87,8.93,8.949999999999998,8.8,9.2,9.36,8.97
42.1,32,8.25,8.97,9.07,9.1,9.36,8.52,8.55,9.37,9.9,8.94,8.98,8.85,9.22,9.37,9.02
43.1,32,8.25,8.97,9.08,9.11,9.37,8.55,8.56,9.38,9.92,8.949999999999998,9,8.86,9.24,9.38,9.02
44.1,32,8.25,9,9.09,9.13,9.39,8.59,8.59,9.4,9.95,8.97,9.03,8.89,9.25,9.39,9.06
45.1,32,8.26,9.02,9.11,9.15,9.4,8.6,8.59,9.43,9.99,8.98,9.05,8.91,9.26,9.4,9.06
46.1,32,8.24,9.02,9.11,9.16,9.41,8.61,8.6,9.45,10,8.97,9.07,8.93,9.26,9.38,9.07
47.12,32,8.26,9.04,9.13,9.17,9.44,8.62,8.61,9.47,10.04,8.99,9.08,8.949999999999998,9.28,9.41,9.09
48.12,32,8.25,9.06,9.14,9.18,9.45,8.66,8.62,9.49,10.05,9,9.1,8.97,9.29,9.44,9.1
49.12,32,8.25,9.07,9.16,9.19,9.47,8.67,8.63,9.51,10.06,9,9.11,8.98,9.29,9.44,9.13
50.12,32,8.25,9.08,9.16,9.2,9.48,8.68,8.65,9.53,10.08,9.03,9.15,8.99,9.3,9.45,9.15
51.12,32,8.24,9.09,9.17,9.22,9.51,8.71,8.66,9.55,10.11,9.03,9.15,9.02,9.31,9.46,9.15
52.13,32,8.24,9.09,9.18,9.22,9.53,8.72,8.65,9.56,10.11,9.02,9.16,9.02,9.31,9.48,9.17
53.13,32,8.24,9.11,9.2,9.24,9.54,8.74,8.69,9.58,10.14,9.05,9.18,9.06,9.34,9.49,9.18
54.13,32,8.23,9.11,9.19,9.24,9.55,8.74,8.68,9.59,10.14,9.04,9.18,9.06,9.34,9.48,9.18
55.13,32,8.24,9.13,9.21,9.26,9.56,8.75,8.69,9.6,10.18,9.05,9.2,9.07,9.35,9.51,9.2
56.13,32,8.24,9.14,9.21,9.27,9.58,8.77,8.699999999999998,9.63,10.19,9.05,9.2,9.09,9.35,9.51,9.21
57.15,32,8.25,9.15,9.22,9.27,9.58,8.79,8.71,9.64,10.19,9.06,9.22,9.1,9.36,9.53,9.22
58.15,32,8.25,9.15,9.22,9.27,9.6,8.79,8.72,9.65,10.21,9.07,9.22,9.1,9.37,9.54,9.22
59.15,32,8.24,9.16,9.21,9.28,9.6,8.8,8.71,9.65,10.21,9.06,9.24,9.1,9.36,9.54,9.24
60.15,32,8.23,9.17,9.22,9.29,9.62,8.81,8.71,9.66,10.22,9.06,9.24,9.13,9.35,9.54,9.25
61.17,32,8.24,9.18,9.24,9.29,9.64,8.82,8.72,9.67,10.26,9.06,9.26,9.14,9.37,9.55,9.26
