Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,22,8.99,10.04,9.44,8.85,9.74,9.96,8.79,11.5,9.79,9.67,22,22.39
1.03,22,9.07,10.05,9.51,8.91,9.81,9.94,8.81,11.55,9.88,9.7,22,22.35
2.05,22,9.15,10.12,9.6,9,9.89,9.99,8.88,11.61,9.96,9.77,22,22.34
3.05,22,9.2,10.15,9.67,9.07,9.92,10.01,8.93,11.67,10.03,9.82,22,22.34
4.05,22,9.25,10.21,9.73,9.12,9.99,10.05,8.99,11.68,10.07,9.88,22,22.33
5.05,22,9.32,10.25,9.79,9.19,10.04,10.11,9.04,11.71,10.11,9.9,22,22.33
6.05,22,9.37,10.29,9.86,9.27,10.08,10.18,9.09,11.71,10.18,9.96,22,22.34
7.05,22,9.43,10.32,9.89,9.33,10.14,10.22,9.15,11.73,10.22,10,22,22.34
8.05,22,9.47,10.3,9.96,9.37,10.18,10.29,9.2,11.71,10.23,10.03,22,22.35
9.05,22,9.5,10.32,9.99,9.41,10.19,10.32,9.24,11.68,10.28,10.07,22,22.34
10.05,22,9.54,10.35,10.03,9.45,10.23,10.36,9.28,11.68,10.29,10.1,22,22.3
11.05,22,9.56,10.37,10.04,9.51,10.28,10.4,9.32,11.71,10.35,10.15,22,22.3
12.05,22,9.58,10.37,10.1,9.55,10.3,10.44,9.33,11.73,10.36,10.17,22,22.28
13.05,22,9.6,10.4,10.11,9.58,10.3,10.46,9.37,11.76,10.4,10.19,22,22.28
14.05,22,9.62,10.4,10.14,9.62,10.33,10.47,9.39,11.76,10.42,10.22,22,22.3
15.07,22,9.64,10.44,10.18,9.67,10.36,10.54,9.43,11.79,10.44,10.26,22,22.32
16.07,22,9.66,10.44,10.18,9.67,10.36,10.54,9.43,11.8,10.44,10.26,22,22.33
17.07,22,9.69,10.47,10.21,9.69,10.4,10.57,9.45,11.83,10.49,10.3,22,22.34
18.08,22,9.7,10.49,10.22,9.73,10.42,10.6,9.47,11.85,10.49,10.33,22,22.37
19.08,22,9.71,10.51,10.28,9.73,10.44,10.63,9.5,11.86,10.5,10.35,22,22.39
20.08,22,9.75,10.54,10.29,9.75,10.44,10.65,9.52,11.89,10.53,10.37,22,22.41
21.08,22,9.74,10.56,10.3,9.75,10.47,10.65,9.52,11.9,10.53,10.39,22,22.44
22.1,22,9.77,10.57,10.32,9.78,10.49,10.71,9.54,11.95,10.54,10.39,22,22.44
23.1,22,9.78,10.58,10.33,9.81,10.5,10.71,9.58,11.93,10.56,10.42,22,22.43
24.1,22,9.78,10.61,10.33,9.79,10.51,10.72,9.58,11.96,10.6,10.4,22,22.41
25.1,22,9.78,10.61,10.36,9.82,10.51,10.71,9.58,11.96,10.57,10.4,22,22.39
26.1,22,9.79,10.6,10.36,9.82,10.51,10.74,9.59,11.98,10.58,10.43,22,22.41
27.12,22,9.79,10.61,10.36,9.85,10.54,10.75,9.6,11.99,10.57,10.42,22,22.41
28.12,22,9.81,10.61,10.37,9.86,10.54,10.77,9.62,12.01,10.58,10.44,22,22.44
29.12,22,9.82,10.63,10.37,9.88,10.54,10.78,9.63,12.01,10.58,10.47,22,22.44
