Time,T,OTU19_R1,OTU20_R1,OTU21_R1,OTU19_R2,OTU20_R2,OTU21_R2,OTU19_R3,OTU20_R3,OTU21_R3,OTU19_R4,OTU20_R4,OTU21_R4,OTU19_R5,OTU20_R5,OTU21_R5,Tm,T_internal
0.03,26,9.43,9.08,8.97,8.82,8.94,8.86,8.01,8.83,8.69,8.93,8.18,9.01,9.48,10.03,9.39,26,25.18
1.03,26,9.53,9.14,9.09,8.9,9.02,8.97,8.14,8.97,8.83,8.99,8.28,9.18,9.44,10.1,9.49,26,25.02
2.03,26,9.62,9.25,9.24,8.99,9.12,9.08,8.23,9.06,8.96,9.04,8.37,9.33,9.4,10.18,9.61,26,24.92
3.03,26,9.72,9.38,9.37,9.11,9.23,9.24,8.31,9.16,9.11,9.13,8.49,9.48,9.46,10.29,9.72,26,24.85
4.03,26,9.8,9.51,9.51,9.18,9.3,9.38,8.38,9.27,9.24,9.22,8.59,9.64,9.48,10.39,9.83,26,24.79
5.03,26,9.89,9.59,9.62,9.28,9.4,9.51,8.47,9.38,9.38,9.33,8.7,9.78,9.54,10.48,9.98,26,24.78
6.03,26,9.95,9.71,9.75,9.34,9.48,9.62,8.54,9.47,9.49,9.39,8.79,9.91,9.61,10.56,10.08,26,24.74
7.03,26,10.01,9.81,9.87,9.42,9.58,9.73,8.6,9.58,9.64,9.48,8.88,10,9.68,10.65,10.18,26,24.73
8.03,26,10.1,9.9,9.99,9.51,9.67,9.85,8.69,9.66,9.75,9.58,8.98,10.1,9.76,10.76,10.26,26,24.74
9.03,26,10.18,10,10.1,9.58,9.75,9.94,8.75,9.75,9.87,9.66,9.07,10.19,9.83,10.86,10.38,26,24.73
10.03,26,10.22,10.09,10.18,9.63,9.81,10.03,8.79,9.81,9.96,9.73,9.12,10.29,9.9,10.93,10.45,26,24.74
11.03,26,10.31,10.17,10.27,9.72,9.9,10.1,8.86,9.89,10.05,9.82,9.19,10.38,9.98,11.01,10.55,26,24.75
12.03,26,10.36,10.26,10.35,9.77,9.96,10.19,8.91,9.96,10.13,9.89,9.27,10.45,10.04,11.1,10.64,26,24.77
13.03,26,10.43,10.32,10.4,9.85,10.03,10.26,8.94,10.01,10.19,9.95,9.33,10.51,10.09,11.14,10.66,26,24.79
14.03,26,10.51,10.42,10.48,9.9,10.1,10.32,9.01,10.09,10.25,10.01,9.4,10.57,10.14,11.21,10.74,26,24.81
15.03,26,10.53,10.47,10.53,9.95,10.16,10.39,9.03,10.16,10.32,10.07,9.48,10.62,10.19,11.25,10.8,26,24.85
16.03,26,10.6,10.52,10.6,10.01,10.25,10.45,9.08,10.23,10.39,10.12,9.54,10.7,10.25,11.32,10.86,26,24.88
17.03,26,10.66,10.6,10.66,10.08,10.3,10.52,9.13,10.29,10.45,10.17,9.63,10.76,10.31,11.37,10.92,26,24.92
18.05,26,10.7,10.66,10.72,10.14,10.36,10.59,9.19,10.35,10.52,10.22,9.67,10.81,10.35,11.44,11,26,24.96
19.05,26,10.76,10.72,10.73,10.19,10.42,10.62,9.23,10.4,10.56,10.26,9.72,10.84,10.4,11.47,11.02,26,24.98
20.05,26,10.81,10.76,10.81,10.23,10.44,10.69,9.27,10.47,10.6,10.31,9.8,10.86,10.44,11.52,11.08,26,25.02
21.05,26,10.84,10.81,10.84,10.27,10.49,10.73,9.28,10.51,10.62,10.34,9.85,10.88,10.45,11.56,11.09,26,25.06
22.05,26,10.88,10.86,10.88,10.32,10.53,10.78,9.33,10.57,10.68,10.4,9.9,10.93,10.51,11.6,11.16,26,25.1
23.05,26,10.92,10.92,10.89,10.36,10.59,10.82,9.35,10.61,10.7,10.43,9.94,10.93,10.53,11.64,11.17,26,25.13
24.05,26,10.96,10.94,10.94,10.4,10.62,10.89,9.4,10.66,10.76,10.48,10,10.98,10.59,11.68,11.22,26,25.17
25.05,26,10.98,10.98,10.97,10.44,10.66,10.92,9.42,10.72,10.78,10.51,10.05,11.02,10.61,11.71,11.24,26,25.21
26.05,26,11.04,11.04,11.01,10.48,10.72,10.96,9.44,10.76,10.82,10.53,10.08,11.06,10.65,11.75,11.28,26,25.23
27.05,26,11.06,11.08,11.04,10.53,10.76,11.02,9.48,10.8,10.86,10.55,10.13,11.1,10.68,11.79,11.32,26,25.27
