Time,T,OTU13_R1,OTU14_R1,OTU15_R1,OTU13_R2,OTU14_R2,OTU15_R2,OTU13_R3,OTU14_R3,OTU15_R3,OTU13_R4,OTU14_R4,OTU15_R4,OTU13_R5,OTU14_R5,OTU15_R5
0.03,40,4.29,4.24,3.99,4.12,4.73,4.93,4.22,4.05,3.57,4.14,3.92,4.13,4.28,3.95,4.17
1.03,40,4.48,4.45,4.23,4.27,4.77,5.03,4.45,4.22,3.78,4.35,4.1,4.35,4.5,4.19,4.42
2.03,40,4.7,4.64,4.44,4.45,4.86,5.2,4.66,4.36,3.98,4.57,4.26,4.55,4.74,4.42,4.66
3.03,40,4.92,4.81,4.65,4.64,4.97,5.35,4.84,4.48,4.19,4.78,4.42,4.76,4.97,4.64,4.88
4.03,40,5.14,4.99,4.85,4.83,5.12,5.52,5.02,4.58,4.39,4.99,4.59,4.95,5.22,4.85,5.12
5.03,40,5.36,5.18,5.04,5.01,5.25,5.69,5.2,4.7,4.58,5.2,4.74,5.14,5.44,5.03,5.33
6.03,40,5.58,5.38,5.23,5.21,5.38,5.87,5.4,4.81,4.81,5.38,4.88,5.34,5.67,5.2,5.54
7.03,40,5.72,5.54,5.39,5.35,5.51,6.02,5.54,4.91,4.99,5.56,5.03,5.52,5.87,5.34,5.74
8.029999999999998,40,5.95,5.7,5.57,5.52,5.63,6.19,5.68,5.01,5.18,5.73,5.15,5.69,6.06,5.49,5.93
9.03,40,6.13,5.88,5.74,5.7,5.77,6.33,5.81,5.12,5.34,5.9,5.28,5.85,6.24,5.63,6.11
10.03,40,6.26,6.03,5.91,5.83,5.9,6.48,5.94,5.22,5.5,6.05,5.42,6.01,6.42,5.77,6.28
11.03,40,6.45,6.19,6.06,5.99,6.02,6.62,6.06,5.31,5.66,6.2,5.54,6.16,6.58,5.9,6.45
12.03,40,6.6,6.33,6.22,6.13,6.14,6.75,6.16,5.4,5.8,6.34,5.67,6.3,6.73,6.03,6.59
13.03,40,6.71,6.48,6.35,6.25,6.26,6.9,6.25,5.49,5.93,6.47,5.79,6.45,6.87,6.15,6.75
14.03,40,6.88,6.62,6.5,6.38,6.39,7.05,6.37,5.59,6.06,6.61,5.92,6.59,7.02,6.27,6.91
15.03,40,7.01,6.75,6.62,6.5,6.51,7.18,6.45,5.68,6.19,6.73,6.03,6.72,7.15,6.38,7.04
16.03,40,7.13,6.86,6.76,6.62,6.61,7.31,6.53,5.74,6.3,6.84,6.15,6.83,7.26,6.47,7.16
17.03,40,7.24,7,6.89,6.74,6.73,7.44,6.63,5.82,6.43,6.95,6.28,6.95,7.4,6.59,7.28
