Time,T,OTU16_R1,OTU17_R1,OTU18_R1,OTU16_R2,OTU17_R2,OTU18_R2,OTU16_R3,OTU17_R3,OTU18_R3,OTU16_R4,OTU17_R4,OTU18_R4,OTU16_R5,OTU17_R5,OTU18_R5
0.03,28,7.7,7.3,7.08,7.92,7.43,7.69,7.75,7.97,7.26,8.199999999999998,9.11,7.33,7.43,7.48,7.65
1.03,28,7.98,7.47,7.28,8.05,7.6,7.87,7.88,8.18,7.43,8.29,9.19,7.46,7.67,7.66,7.94
2.03,28,8.199999999999998,7.65,7.49,8.14,7.72,8.02,7.97,8.36,7.56,8.41,9.24,7.57,7.91,7.81,8.199999999999998
3.03,28,8.36,7.82,7.69,8.29,7.88,8.21,8.11,8.529999999999998,7.73,8.529999999999998,9.31,7.73,8.12,7.96,8.49
4.03,28,8.48,7.97,7.86,8.41,7.98,8.33,8.199999999999998,8.63,7.86,8.62,9.37,7.86,8.22,8.08,8.71
5.03,28,8.64,8.13,8.05,8.56,8.11,8.5,8.33,8.76,8.029999999999998,8.74,9.43,8.02,8.33,8.25,8.97
6.03,28,8.76,8.26,8.19,8.66,8.19,8.62,8.41,8.82,8.14,8.8,9.49,8.14,8.43,8.34,9.17
7.03,28,8.88,8.41,8.35,8.76,8.3,8.77,8.5,8.89,8.26,8.88,9.55,8.27,8.55,8.46,9.36
8.029999999999998,28,9.01,8.54,8.49,8.84,8.4,8.88,8.6,8.93,8.39,8.96,9.6,8.39,8.66,8.55,9.53
9.05,28,9.13,8.67,8.63,8.949999999999998,8.48,9.01,8.71,8.99,8.529999999999998,9.06,9.65,8.529999999999998,8.75,8.67,9.68
10.05,28,9.21,8.779999999999998,8.74,9.05,8.57,9.12,8.779999999999998,9.02,8.64,9.14,9.7,8.63,8.84,8.75,9.8
11.05,28,9.3,8.9,8.86,9.12,8.68,9.24,8.87,9.05,8.75,9.2,9.75,8.74,8.92,8.83,9.9
12.05,28,9.4,9,8.96,9.21,8.76,9.35,8.949999999999998,9.03,8.86,9.3,9.81,8.84,9.02,8.93,9.99
13.05,28,9.49,9.11,9.07,9.31,8.87,9.44,9.03,9.07,8.94,9.38,9.86,8.949999999999998,9.09,9.01,10.05
14.05,28,9.57,9.18,9.15,9.37,8.949999999999998,9.54,9.11,9.02,9.05,9.44,9.92,9.05,9.14,9.06,10.12
15.05,28,9.65,9.29,9.25,9.46,9.02,9.63,9.18,9.02,9.13,9.52,9.96,9.13,9.2,9.17,10.19
16.05,28,9.73,9.37,9.32,9.53,9.12,9.71,9.26,9.05,9.23,9.58,10.04,9.21,9.24,9.21,10.26
17.05,28,9.76,9.42,9.4,9.59,9.19,9.78,9.32,9.06,9.29,9.63,10.07,9.29,9.3,9.28,10.3
18.05,28,9.84,9.51,9.47,9.66,9.26,9.86,9.37,9.14,9.38,9.7,10.11,9.36,9.35,9.34,10.36
19.05,28,9.89,9.58,9.53,9.71,9.34,9.92,9.46,9.2,9.44,9.76,10.19,9.43,9.41,9.38,10.39
20.05,28,9.94,9.65,9.6,9.78,9.42,10.01,9.52,9.26,9.53,9.82,10.22,9.51,9.47,9.43,10.44
21.05,28,9.99,9.69,9.66,9.84,9.47,10.06,9.58,9.31,9.57,9.87,10.26,9.57,9.49,9.47,10.49
22.05,28,10.05,9.76,9.71,9.9,9.54,10.14,9.64,9.4,9.66,9.94,10.32,9.63,9.55,9.53,10.53
23.05,28,10.09,9.82,9.75,9.95,9.62,10.19,9.69,9.46,9.73,9.97,10.37,9.69,9.58,9.55,10.55
24.07,28,10.14,9.86,9.81,9.99,9.68,10.24,9.74,9.51,9.78,10.02,10.41,9.74,9.62,9.58,10.59
25.07,28,10.17,9.9,9.85,10.06,9.73,10.3,9.8,9.57,9.84,10.09,10.48,9.79,9.65,9.63,10.64
26.07,28,10.19,9.94,9.9,10.1,9.79,10.34,9.84,9.62,9.89,10.11,10.5,9.82,9.68,9.65,10.65
27.07,28,10.22,9.96,9.92,10.12,9.81,10.36,9.87,9.66,9.92,10.16,10.53,9.86,9.71,9.66,10.68
28.07,28,10.26,10.01,9.96,10.17,9.87,10.42,9.9,9.74,9.96,10.21,10.59,9.9,9.76,9.7,10.72
29.08,28,10.29,10.06,10,10.24,9.92,10.45,9.96,9.79,10.04,10.24,10.6,9.95,9.79,9.71,10.74
30.08,28,10.31,10.1,10.04,10.29,9.97,10.51,10,9.84,10.09,10.31,10.64,10,9.81,9.75,10.77
31.08,28,10.35,10.15,10.07,10.32,10.04,10.54,10.06,9.89,10.14,10.35,10.69,10.05,9.87,9.76,10.81
32.08,28,10.37,10.16,10.1,10.37,10.07,10.58,10.09,9.95,10.17,10.39,10.73,10.09,9.89,9.81,10.82
33.1,28,10.37,10.16,10.09,10.37,10.09,10.58,10.09,9.95,10.19,10.4,10.74,10.06,9.89,9.78,10.82
34.1,28,10.4,10.2,10.12,10.42,10.14,10.62,10.12,10.01,10.22,10.44,10.78,10.11,9.92,9.82,10.85
35.1,28,10.42,10.24,10.16,10.45,10.19,10.67,10.16,10.05,10.27,10.48,10.79,10.14,9.97,9.84,10.88
36.1,28,10.44,10.25,10.16,10.48,10.21,10.68,10.17,10.09,10.31,10.49,10.81,10.17,9.96,9.85,10.87
37.1,28,10.46,10.26,10.19,10.51,10.25,10.72,10.21,10.12,10.35,10.54,10.83,10.21,10,9.86,10.9
38.1,28,10.49,10.31,10.2,10.53,10.29,10.73,10.24,10.16,10.37,10.56,10.86,10.22,10.01,9.87,10.9
39.1,28,10.5,10.34,10.24,10.56,10.32,10.77,10.27,10.2,10.41,10.59,10.88,10.26,10.04,9.89,10.92
40.1,28,10.53,10.35,10.24,10.59,10.36,10.79,10.3,10.21,10.45,10.62,10.88,10.29,10.06,9.89,10.92
41.1,28,10.53,10.36,10.26,10.59,10.36,10.78,10.31,10.24,10.45,10.63,10.86,10.29,10.07,9.89,10.92
42.1,28,10.54,10.37,10.27,10.62,10.4,10.82,10.34,10.26,10.49,10.67,10.86,10.31,10.09,9.89,10.91
43.1,28,10.55,10.39,10.27,10.65,10.41,10.83,10.36,10.3,10.51,10.69,10.87,10.32,10.1,9.9,10.91
44.1,28,10.56,10.41,10.3,10.67,10.44,10.85,10.39,10.34,10.55,10.7,10.87,10.35,10.12,9.91,10.88
45.1,28,10.58,10.44,10.3,10.68,10.46,10.87,10.4,10.36,10.56,10.74,10.91,10.39,10.12,9.89,10.9
46.1,28,10.58,10.42,10.31,10.7,10.48,10.86,10.42,10.39,10.6,10.76,10.92,10.39,10.15,9.91,10.9
47.1,28,10.59,10.42,10.32,10.72,10.5,10.9,10.45,10.4,10.6,10.76,10.95,10.4,10.15,9.91,10.9
48.1,28,10.59,10.46,10.34,10.73,10.53,10.91,10.45,10.42,10.64,10.78,10.96,10.41,10.17,9.91,10.91
49.1,28,10.62,10.48,10.35,10.76,10.55,10.94,10.48,10.46,10.67,10.79,11,10.42,10.19,9.91,10.92
50.12,28,10.62,10.49,10.36,10.76,10.55,10.94,10.49,10.45,10.68,10.81,11,10.42,10.2,9.9,10.92
51.12,28,10.64,10.5,10.36,10.78,10.56,10.95,10.5,10.5,10.7,10.85,11.03,10.46,10.21,9.91,10.94
52.12,28,10.62,10.49,10.36,10.78,10.59,10.94,10.5,10.5,10.69,10.85,11.04,10.45,10.2,9.9,10.94
53.12,28,10.63,10.5,10.37,10.81,10.59,10.95,10.5,10.51,10.72,10.86,11.05,10.46,10.2,9.9,10.94
54.12,28,10.65,10.54,10.4,10.81,10.63,10.96,10.54,10.55,10.74,10.87,11.09,10.5,10.24,9.92,10.96
55.12,28,10.64,10.53,10.39,10.81,10.63,10.96,10.54,10.54,10.74,10.9,11.09,10.49,10.22,9.91,10.95
56.13,28,10.65,10.54,10.39,10.81,10.64,10.96,10.55,10.56,10.76,10.91,11.09,10.5,10.24,9.9,10.95
57.13,28,10.65,10.54,10.39,10.85,10.65,10.99,10.55,10.58,10.76,10.91,11.13,10.5,10.24,9.9,10.96
58.13,28,10.64,10.54,10.4,10.82,10.64,10.99,10.55,10.58,10.77,10.91,11.13,10.5,10.25,9.9,10.95
59.13,28,10.64,10.55,10.41,10.85,10.67,10.99,10.56,10.58,10.77,10.92,11.14,10.51,10.24,9.9,10.96
60.13,28,10.65,10.58,10.41,10.87,10.69,11,10.59,10.62,10.79,10.95,11.17,10.53,10.27,9.91,10.98
61.13,28,10.67,10.56,10.41,10.87,10.69,11,10.59,10.63,10.78,10.96,11.17,10.51,10.26,9.9,10.98
62.13,28,10.65,10.58,10.41,10.87,10.7,10.99,10.6,10.63,10.79,10.95,11.18,10.54,10.26,9.9,10.99
63.13,28,10.65,10.56,10.4,10.87,10.7,11.01,10.6,10.63,10.81,10.96,11.2,10.54,10.27,9.9,10.98
64.15,28,10.67,10.59,10.41,10.88,10.72,11.01,10.6,10.65,10.79,10.98,11.21,10.54,10.27,9.89,10.98
65.15,28,10.65,10.56,10.42,10.9,10.73,11.03,10.6,10.65,10.82,10.99,11.22,10.54,10.29,9.89,10.98
66.15,28,10.65,10.58,10.42,10.87,10.73,11.01,10.62,10.67,10.81,10.98,11.22,10.53,10.27,9.87,10.99
67.15,28,10.65,10.56,10.41,10.87,10.74,11.03,10.62,10.69,10.81,10.99,11.24,10.55,10.27,9.87,10.99
68.15,28,10.68,10.58,10.4,10.9,10.76,11.03,10.63,10.69,10.81,10.98,11.25,10.55,10.29,9.89,10.99
69.15,28,10.67,10.58,10.41,10.9,10.74,11.03,10.63,10.7,10.83,11,11.25,10.55,10.27,9.87,10.99
