C00018	Cc1ncc(COP(=O)(O)O)c(C=O)c1O
C00021	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
C00022	CC(=O)C(=O)O
C00024	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00025	N[C@@H](CCC(=O)O)C(=O)O
C00026	O=C(O)CCC(=O)C(=O)O
C00027	OO
C00029	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00031	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00032	C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4[n]3[Fe][n]3/c(c(C)c(CCC(=O)O)/c3=C/C3=NC(=C\4)/C(C)=C3CCC(=O)O)=C\C1=N2
C00033	CC(=O)O
C00036	O=C(O)CC(=O)C(=O)O
C00037	NCC(=O)O
C00040	*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00041	C[C@H](N)C(=O)O
C00042	O=C(O)CCC(=O)O
C00043	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00047	NCCCC[C@H](N)C(=O)O
C00048	O=CC(=O)O
C00049	N[C@@H](CC(=O)O)C(=O)O
C00051	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
C00052	O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00053	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O
C00054	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
C00055	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
C00058	O=CO
C00059	O=S(=O)(O)O
C00061	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
C00062	N=C(N)NCCC[C@H](N)C(=O)O
C00063	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
C00064	NC(=O)CC[C@H](N)C(=O)O
C00065	N[C@@H](CO)C(=O)O
C00068	Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
C00069	*O
C00072	O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
C00073	CSCC[C@H](N)C(=O)O
C00074	C=C(OP(=O)(O)O)C(=O)O
C00077	NCCC[C@H](N)C(=O)O
C00078	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
C00079	N[C@@H](Cc1ccccc1)C(=O)O
C00081	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
C00082	N[C@@H](Cc1ccc(O)cc1)C(=O)O
C00083	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O
C00084	CC=O
C00085	O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00086	NC(N)=O
C00087	[S]
C00088	O=NO
C00089	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
C00090	Oc1ccccc1O
