species,T,mu_honest,n,n_alive
auris,22,0.2607,60,60
auris,24,0.3367,60,60
auris,26,0.434,60,60
auris,28,0.5233,60,59
auris,30,0.6482,60,60
auris,32,0.7478,60,60
auris,34,0.7761,60,59
auris,36,0.7988,60,58
auris,38,0.7486,60,60
auris,40,0.6639,60,59
auris,42,0.6082,60,54
auris,44,0.2721,60,37
duobushaemulonii,22,0.3161,10,10
duobushaemulonii,24,0.4344,10,10
duobushaemulonii,26,0.4929,10,10
duobushaemulonii,28,0.622,10,10
duobushaemulonii,30,0.6739,10,10
duobushaemulonii,32,0.7124,10,10
duobushaemulonii,34,0.6502,10,9
duobushaemulonii,36,0.561,10,10
duobushaemulonii,38,0.1953,10,9
duobushaemulonii,40,0.0,10,0
duobushaemulonii,42,0.0,10,0
duobushaemulonii,44,0.0,10,0
haemulonii,22,0.2984,15,15
haemulonii,24,0.4086,15,15
haemulonii,26,0.4879,15,15
haemulonii,28,0.5949,15,15
haemulonii,30,0.6167,15,15
haemulonii,32,0.6033,15,15
haemulonii,34,0.5387,15,15
haemulonii,36,0.4686,15,15
haemulonii,38,0.153,15,9
haemulonii,40,0.0,15,5
haemulonii,42,0.0,15,5
haemulonii,44,0.0,15,5
parapsilosis,22,0.289,15,15
parapsilosis,24,0.3675,15,15
parapsilosis,26,0.4785,15,15
parapsilosis,28,0.5453,15,14
parapsilosis,30,0.578,15,15
parapsilosis,32,0.8002,15,15
parapsilosis,34,0.6742,15,15
parapsilosis,36,0.6231,15,14
parapsilosis,38,0.4819,15,15
parapsilosis,40,0.0,15,4
parapsilosis,42,0.0,15,0
parapsilosis,44,0.0,15,0
