sp,isolate,wells,interpretable,detected,ambiguous,not_det,tech_fail,call,excluded_wells
auris,Clade1_2068,5,5,5,0,0,0,DETECTED,0
auris,Clade1_2069,5,5,5,0,0,0,DETECTED,0
auris,Clade1_2070,5,5,5,0,0,0,DETECTED,0
auris,Clade2_2071,5,5,5,0,0,0,DETECTED,0
auris,Clade2_2072,5,5,5,0,0,0,DETECTED,0
auris,Clade2_2073,5,5,5,0,0,0,DETECTED,1
auris,Clade3_2074,5,5,5,0,0,0,DETECTED,0
auris,Clade3_2075,5,5,5,0,0,0,DETECTED,0
auris,Clade3_2076,5,5,5,0,0,0,DETECTED,0
auris,Clade4_2077,5,5,5,0,0,0,DETECTED,0
auris,Clade4_2078,5,5,5,0,0,0,DETECTED,0
auris,Clade4_2079,5,5,5,0,0,0,DETECTED,0
haemulonii,Hae_1724,5,5,5,0,0,0,DETECTED,0
haemulonii,Hae_1768,5,5,1,2,2,0,DETECTED,5
haemulonii,Hae_1769,5,5,1,2,2,0,DETECTED,5
duobushaemulonii,Duo_1770,5,5,2,1,2,0,DETECTED,5
duobushaemulonii,Duo_1771,5,4,1,0,3,1,DETECTED,5
parapsilosis,para_2051,5,5,3,0,2,0,DETECTED,5
parapsilosis,para_2052,5,5,5,0,0,0,DETECTED,1
parapsilosis,para_2053,5,3,1,0,2,2,DETECTED,5
