gene_family,auris_I,auris_II,auris_III,auris_IV,haemulonii,duobus,pseudohae,parapsilosis,lusitaniae,albicans
HSP90,4,4,4,3,4,4,4,4,4,4
HSP70_SSA,8,7,8,8,8,7,7,8,8,8
HSP12,0,0,0,0,0,0,0,1,0,2
Calcineurin_CNA_CNB,2,2,2,2,3,2,2,4,3,2
AdenylateCyclase_CYR1,2,2,2,2,2,2,2,2,2,2
PKA_TPK,7,8,7,7,6,7,6,6,6,5
TPS1,0,0,0,0,0,0,0,0,0,0
TPS2,2,2,2,2,2,2,2,2,2,2
Trehalase_NTH,2,2,2,2,2,2,2,2,2,2
ERG_sterol,10,11,10,10,11,10,9,12,11,11
OLE1_desaturase,2,1,2,1,2,2,2,1,2,2
FKS_glucansynthase,2,2,2,2,3,2,2,3,2,3
CHS_chitinsynthase,4,4,4,4,4,2,2,4,4,4
PKC1,2,2,2,2,2,2,2,2,4,2
SOD,2,2,2,2,2,2,2,3,2,3
Catalase,1,1,1,1,1,1,1,2,2,1
Glutaredoxin_GRX,3,3,3,3,3,3,3,4,4,4
FerricReductase,9,8,9,9,9,9,9,9,8,14
Siderophore_transp,12,7,12,10,14,9,11,5,1,1
