species,dTm,T,mu
auris,-35.0,34,0.1268
auris,-35.0,40,0.0573
auris,-35.0,44,0.0235
auris,-34.0,34,0.1404
auris,-34.0,40,0.0646
auris,-34.0,44,0.0272
auris,-33.0,34,0.1551
auris,-33.0,40,0.0725
auris,-33.0,44,0.0312
auris,-32.0,34,0.1708
auris,-32.0,40,0.0812
auris,-32.0,44,0.0356
auris,-31.0,34,0.1876
auris,-31.0,40,0.0907
auris,-31.0,44,0.0405
auris,-30.0,34,0.2056
auris,-30.0,40,0.1011
auris,-30.0,44,0.0459
auris,-29.0,34,0.2247
auris,-29.0,40,0.1123
auris,-29.0,44,0.0518
auris,-28.0,34,0.2448
auris,-28.0,40,0.1245
auris,-28.0,44,0.0582
auris,-27.0,34,0.2659
auris,-27.0,40,0.1377
auris,-27.0,44,0.0653
auris,-26.0,34,0.288
auris,-26.0,40,0.1518
auris,-26.0,44,0.073
auris,-25.0,34,0.3109
auris,-25.0,40,0.167
auris,-25.0,44,0.0814
auris,-24.0,34,0.3346
auris,-24.0,40,0.1832
auris,-24.0,44,0.0904
auris,-23.0,34,0.3589
auris,-23.0,40,0.2004
auris,-23.0,44,0.1002
auris,-22.0,34,0.3837
auris,-22.0,40,0.2185
auris,-22.0,44,0.1107
auris,-21.0,34,0.4089
auris,-21.0,40,0.2376
auris,-21.0,44,0.122
auris,-20.0,34,0.4343
auris,-20.0,40,0.2576
auris,-20.0,44,0.1341
auris,-19.0,34,0.4596
auris,-19.0,40,0.2784
auris,-19.0,44,0.1469
auris,-18.0,34,0.4848
auris,-18.0,40,0.2999
auris,-18.0,44,0.1604
auris,-17.0,34,0.5097
auris,-17.0,40,0.322
auris,-17.0,44,0.1746
auris,-16.0,34,0.5342
auris,-16.0,40,0.3445
auris,-16.0,44,0.1895
auris,-15.0,34,0.558
auris,-15.0,40,0.3674
auris,-15.0,44,0.205
auris,-14.0,34,0.5811
auris,-14.0,40,0.3905
auris,-14.0,44,0.2211
auris,-13.0,34,0.6034
auris,-13.0,40,0.4137
auris,-13.0,44,0.2376
auris,-12.0,34,0.6248
auris,-12.0,40,0.4367
auris,-12.0,44,0.2544
auris,-11.0,34,0.6451
auris,-11.0,40,0.4596
auris,-11.0,44,0.2715
auris,-10.0,34,0.6644
auris,-10.0,40,0.482
auris,-10.0,44,0.2888
auris,-9.0,34,0.6827
auris,-9.0,40,0.5039
auris,-9.0,44,0.3061
auris,-8.0,34,0.6998
auris,-8.0,40,0.5252
auris,-8.0,44,0.3234
auris,-7.0,34,0.7158
auris,-7.0,40,0.5457
auris,-7.0,44,0.3405
auris,-6.0,34,0.7307
auris,-6.0,40,0.5654
auris,-6.0,44,0.3573
auris,-5.0,34,0.7445
auris,-5.0,40,0.5842
auris,-5.0,44,0.3737
auris,-4.0,34,0.7573
auris,-4.0,40,0.6021
auris,-4.0,44,0.3896
auris,-3.0,34,0.7691
auris,-3.0,40,0.619
auris,-3.0,44,0.4051
auris,-2.0,34,0.7799
auris,-2.0,40,0.6348
auris,-2.0,44,0.4198
auris,-1.0,34,0.7898
auris,-1.0,40,0.6497
auris,-1.0,44,0.434
auris,0.0,34,0.7988
auris,0.0,40,0.6635
auris,0.0,44,0.4474
auris,1.0,34,0.8069
auris,1.0,40,0.6764
auris,1.0,44,0.4601
auris,2.0,34,0.8141
auris,2.0,40,0.6883
auris,2.0,44,0.472
auris,3.0,34,0.8204
auris,3.0,40,0.6993
auris,3.0,44,0.4832
auris,4.0,34,0.8261
auris,4.0,40,0.7094
auris,4.0,44,0.4936
auris,5.0,34,0.8313
auris,5.0,40,0.7186
auris,5.0,44,0.5033
duobushaemulonii,-35.0,34,0.0863
duobushaemulonii,-35.0,40,0.0368
duobushaemulonii,-35.0,44,0.0145
duobushaemulonii,-34.0,34,0.0956
duobushaemulonii,-34.0,40,0.0415
duobushaemulonii,-34.0,44,0.0168
duobushaemulonii,-33.0,34,0.1056
duobushaemulonii,-33.0,40,0.0467
duobushaemulonii,-33.0,44,0.0193
duobushaemulonii,-32.0,34,0.1164
duobushaemulonii,-32.0,40,0.0524
