reaction	gene	substrate_kegg
R00894__cyto	XP_025343215.1	C00025
R00894__cyto	XP_025343215.1	C00097
R03416__mito	XP_025340069.1	C04438
R03936__cyto	XP_025342242.1	C02700
R00658__cyto	XP_025342243.1	C00631
R00763__cyto	XP_025342652.1	C00665
R00763__cyto	XP_025343755.1	C00665
R00763__cyto	XP_025340854.1	C00665
R00763__cyto	XP_025342994.1	C00665
R00763__cyto	XP_025341834.1	C00665
R00763__cyto	XP_025343521.1	C00665
R00763__cyto	XP_025343016.1	C00665
R12120__cyto	XP_025344294.1	C03024
R12120__cyto	XP_025344294.1	C21920
R08657__mito	XP_025340956.1	C01967
R08657__mito	XP_025340956.1	C00093
R04355__cyto	XP_025343608.1	C01209
R04355__cyto	XP_025343608.1	C03939
R04355__cyto	XP_025343463.1	C01209
R04355__cyto	XP_025343463.1	C03939
R04591__cyto	XP_025341488.1	C04751
R04591__cyto	XP_025341488.1	C00049
R02485__cyto	XP_025343059.1	C00881
R00527__cyto	XP_025340056.1	C01031
R02590__cyto	XP_025341674.1	C06459
R02590__cyto	XP_025341674.1	C00063
R01351__cyto	XP_025341506.1	C01885
R01351__cyto	XP_025342842.1	C01885
R01351__cyto	XP_025344529.1	C01885
R01351__cyto	XP_025341324.1	C01885
R01351__cyto	XP_025343593.1	C01885
R01351__cyto	XP_025340436.1	C01885
R01351__cyto	XP_025342913.1	C01885
R01351__cyto	XP_025339641.1	C01885
R03893__cyto	XP_025343544.1	C04431
R00489__cyto	XP_025341373.1	C00049
R00489__cyto	XP_025343228.1	C00049
R03352__cyto	XP_025342529.1	C04047
R03352__cyto	XP_025341137.1	C04047
R03352__cyto	XP_025339645.1	C04047
R04726__pero	XP_025343608.1	C01209
R04726__pero	XP_025343608.1	C05223
R04726__pero	XP_025343463.1	C01209
R04726__pero	XP_025343463.1	C05223
R00848__mito	XP_025340956.1	C00093
R07895__cyto	XP_025344328.1	C16335
R07895__cyto	XP_025344328.1	C00024
R01072__cyto	XP_025343583.1	C00119
R01072__cyto	XP_025343583.1	C00064
R01187__cyto	XP_025342652.1	C04006
R01187__cyto	XP_025343755.1	C04006
R01187__cyto	XP_025340854.1	C04006
R01187__cyto	XP_025342994.1	C04006
R01187__cyto	XP_025341834.1	C04006
R01187__cyto	XP_025343521.1	C04006
R01187__cyto	XP_025343016.1	C04006
R02464__cyto	XP_025343721.1	C01120
R00548__cyto	XP_025344334.1	C00061
R00548__cyto	XP_025343649.1	C00061
R00548__cyto	XP_025344333.1	C00061
R00768__cyto	XP_025341162.1	C00085
R00768__cyto	XP_025341162.1	C00064
R00243__cyto	XP_025341877.1	C00025
R03293__cyto	XP_025340638.1	C01157
R04639__cyto	XP_025341690.1	C06148
R03657__cyto	XP_025340926.1	C01645
R03657__cyto	XP_025340926.1	C00123
R03657__cyto	XP_025342179.1	C01645
R03657__cyto	XP_025342179.1	C00123
R01466__cyto	XP_025344615.1	C01102
R03652__cyto	XP_025340437.1	C01640
R03652__cyto	XP_025340437.1	C00064
R02295__cyto	XP_025343966.1	C05841
R09419__cyto	XP_025342920.1	C00040
R09419__cyto	XP_025342920.1	C00083
R09419__cyto	XP_025340013.1	C00040
R09419__cyto	XP_025340013.1	C00083
R09076__cyto	XP_025344769.1	C00750
R07764__cyto	XP_025340868.1	C16220
R07764__cyto	XP_025344234.1	C16220
R07764__cyto	XP_025341358.1	C16220
R00827__cyto	XP_025341151.1	C00090
R00827__cyto	XP_025340960.1	C00090
R00827__cyto	XP_025343160.1	C00090
R00827__cyto	XP_025341442.1	C00090
R00827__cyto	XP_025341435.1	C00090
R00827__cyto	XP_025342344.1	C00090
R00827__cyto	XP_025342368.1	C00090
R00827__cyto	XP_025340288.1	C00090
R00827__cyto	XP_025341101.1	C00090
R00827__cyto	XP_025342777.1	C00090
R00827__cyto	XP_025344269.1	C00090
R00827__cyto	XP_025339772.1	C00090
R00827__cyto	XP_025341223.1	C00090
R00827__cyto	XP_025344279.1	C00090
R02249__cyto	XP_025342652.1	C03475
R02249__cyto	XP_025343755.1	C03475
R02249__cyto	XP_025340854.1	C03475
R02249__cyto	XP_025342994.1	C03475
R02249__cyto	XP_025341834.1	C03475
R02249__cyto	XP_025343521.1	C03475
R02249__cyto	XP_025343016.1	C03475
R03357__cyto	XP_025341340.1	C04036
R03357__cyto	XP_025341358.1	C04036
R03357__cyto	XP_025341008.1	C04036
R03357__cyto	XP_025340417.1	C04036
R03357__cyto	XP_025340664.1	C04036
R03357__cyto	XP_025340439.1	C04036
R03357__cyto	XP_025343513.1	C04036
R02874__cyto	XP_025342230.1	C03024
R02874__cyto	XP_025342230.1	C00751
R00248__cyto	XP_025339610.1	C00025
R00248__cyto	XP_025339952.1	C00025
R01372__cyto	XP_025342817.1	C00166
R08310__cyto	XP_025340682.1	C16595
R08310__cyto	XP_025341719.1	C16595
R08310__cyto	XP_025341281.1	C16595
R08310__cyto	XP_025340730.1	C16595
R02003__cyto	XP_025340303.1	C00129
R02003__cyto	XP_025340303.1	C00341
R02003__cyto	XP_025343264.1	C00129
R02003__cyto	XP_025343264.1	C00341
R04955__cyto	XP_025339979.1	C05748
R04955__cyto	XP_025340151.1	C05748
R00674__cyto	XP_025340496.1	C00463
R00674__cyto	XP_025340496.1	C00065
R07070__cyto	XP_025344035.1	C00051
R07070__cyto	XP_025344035.1	C14840
R07070__cyto	XP_025343711.1	C00051
R07070__cyto	XP_025343711.1	C14840
R02849__cyto	XP_025343315.1	C00738
R02849__cyto	XP_025343315.1	C00081
R02849__cyto	XP_025344429.1	C00738
R02849__cyto	XP_025344429.1	C00081
R02849__cyto	XP_025343090.1	C00738
R02849__cyto	XP_025343090.1	C00081
R02849__cyto	XP_025342548.1	C00738
R02849__cyto	XP_025342548.1	C00081
R02413__cyto	XP_025343755.1	C00493
R01398__cyto	XP_025344522.1	C00077
R01398__cyto	XP_025344522.1	C00169
R04208__cyto	XP_025343214.1	C04640
R12366__cyto	XP_025341358.1	C22111
R12366__cyto	XP_025340417.1	C22111
R12366__cyto	XP_025340439.1	C22111
R12366__cyto	XP_025339777.1	C22111
R12366__cyto	XP_025341008.1	C22111
R01030__cyto	XP_025341788.1	C00670
R08306__mito	XP_025340682.1	C16586
R08306__mito	XP_025341719.1	C16586
R08306__mito	XP_025341281.1	C16586
R08306__mito	XP_025340730.1	C16586
R00264__cyto	XP_025340335.1	C00433
R00264__cyto	XP_025343288.1	C00433
R00264__cyto	XP_025343693.1	C00433
R03416__cyto	XP_025340069.1	C04438
R08551__cyto	XP_025344606.1	C03161
R01956__cyto	XP_025342955.1	C00328
R01956__cyto	XP_025342955.1	C00026
R02722__cyto	XP_025340496.1	C03506
R02722__cyto	XP_025340496.1	C00065
R00220__pero	XP_025342032.1	C00065
