reaction	gene	substrate_kegg
R07054__cyto	CPAR2_500140	C00219
R00894__cyto	CPAR2_208390	C00025
R00894__cyto	CPAR2_208390	C00097
TO0000182_CYTMEM__plas	CPAR2_402410	C00212
TO0000182_CYTMEM__plas	CPAR2_107960	C00212
R01853__pero	CPAR2_211650	C00797
R01853__pero	CPAR2_104430	C00797
R03936__cyto	CPAR2_207220	C02700
R02354__cyto	CPAR2_500140	C00468
R00658__cyto	CPAR2_207210	C00631
R00658__cyto	CPAR2_207000	C00631
R00763__cyto	CPAR2_205730	C00665
R00763__cyto	CPAR2_301740	C00665
R00763__cyto	CPAR2_106310	C00665
R01220__cyto	CPAR2_204710	C00143
R01220__cyto	CPAR2_800600	C00143
R08657__mito	CPAR2_501330	C01967
R08657__mito	CPAR2_501330	C00093
TR0015529_CYTMEM__plas	CPAR2_105400	C00350
TR0015529_CYTMEM__plas	CPAR2_601150	C00350
TR0015529_CYTMEM__plas	CPAR2_209630	C00350
TR0015529_CYTMEM__plas	CPAR2_202050	C00350
TR0015529_CYTMEM__plas	CPAR2_808970	C00350
TR0015529_CYTMEM__plas	CPAR2_104620	C00350
R06520__mito	CPAR2_503750	C01120
R06520__mito	CPAR2_208120	C01120
R06520__mito	CPAR2_300920	C01120
R06520__mito	CPAR2_207800	C01120
R06520__mito	CPAR2_214160	C01120
R04355__cyto	CPAR2_807400	C01209
R04355__cyto	CPAR2_807400	C03939
R04355__cyto	CPAR2_302650	C01209
R04355__cyto	CPAR2_302650	C03939
TR0002803_CYTMEM__plas	CPAR2_105400	C04598
TR0002803_CYTMEM__plas	CPAR2_601150	C04598
TR0002803_CYTMEM__plas	CPAR2_209630	C04598
TR0002803_CYTMEM__plas	CPAR2_202050	C04598
TR0002803_CYTMEM__plas	CPAR2_808970	C04598
TR0002803_CYTMEM__plas	CPAR2_104620	C04598
R04591__cyto	CPAR2_500190	C04751
R04591__cyto	CPAR2_500190	C00049
R02485__cyto	CPAR2_302050	C00881
TO1002511_CYTMEM__plas	CPAR2_209780	C04058
