reaction,kegg_R,EC,evidence_class,GPR
TR1000858_PLAS__plas,,,orphan_no_species_evidence,
R00894__cyto,R00894,6.3.2.2,KO->R,XP_025338126.1
TO1000190_PLAS__plas,,,orphan_no_species_evidence,
R03416__mito,R03416,3.1.1.5,KO->R,XP_025335277.1
R03936__cyto,R03936,3.7.1.3,KO->R,XP_025335432.1
TO1000087_PLAS__plas,,,orphan_no_species_evidence,
TI2903709_PLAS__plas,,,orphan_no_species_evidence,
R00658__cyto,R00658,4.2.1.11,KO->R,XP_025335431.1
R00763__cyto,R00763,3.1.3.46,EC,XP_025336073.1 or XP_025337151.1 or XP_025337899.1 or XP_025337921.1 or XP_025338194.1
R12120__cyto,R12120,1.14.14.154,EC,XP_025336625.1
TO1000027_PLAS__plas,,,orphan_no_species_evidence,
TI1001573_PLAS__plas,,,orphan_no_species_evidence,
D_Galactose__extr,,,exchange/biomass,
EX_C00214__extr,,,exchange/biomass,
R08657__mito,R08657,1.1.5.3,EC,XP_025338295.1
R04355__cyto,R04355,2.3.1.179;2.3.1.41;2.3.1.85;2.3.1.86,KO->R,XP_025337364.1 or XP_025337493.1
R04591__cyto,R04591,6.3.2.6,KO->R,XP_025338827.1
R02485__cyto,R02485,3.5.4.5,EC,XP_025337858.1
TO0000654_PLAS__plas,,,orphan_no_species_evidence,
TR1012174_PLAS__plas,,,orphan_no_species_evidence,
TR0012678_PLAS__plas,,,orphan_no_species_evidence,
TI1001017_PLAS__plas,,,orphan_no_species_evidence,
R00527__cyto,R00527,3.1.2.12,KO->R,XP_025335263.1
R02590__cyto,R02590,2.7.7.15,KO->R,XP_025339452.1
R01351__cyto,R01351,3.1.1.23,EC,XP_025334431.1 or XP_025335786.1 or XP_025337377.1 or XP_025337746.1 or XP_025338051.1 or XP_025338845.1 or XP_025339084.1
TR1000092_PLAS__plas,,,orphan_no_species_evidence,
T_2_Oxobutanoate_c00109_MitoCyto__mito,,,orphan_no_species_evidence,
R11104__pero,R11104,3.6.1.22,KO->R,XP_025336258.1
