knob,clade,value,rmse
dTopt,I,-12.0,0.4381219319997852
dTopt,I,-11.333333333333334,0.42329394826334577
dTopt,I,-10.666666666666666,0.40705552979878634
dTopt,I,-10.0,0.38935656476060465
dTopt,I,-9.333333333333334,0.3701760786396766
dTopt,I,-8.666666666666668,0.34949056690264846
dTopt,I,-8.0,0.3273373709294346
dTopt,I,-7.333333333333334,0.3037925578425837
dTopt,I,-6.666666666666667,0.2789220628911211
dTopt,I,-6.0,0.2528499255007565
dTopt,I,-5.333333333333334,0.22574517406771483
dTopt,I,-4.666666666666667,0.19776531026108646
dTopt,I,-4.0,0.16913396230068126
dTopt,I,-3.333333333333334,0.1401537307507393
dTopt,I,-2.666666666666668,0.11120808803685239
dTopt,I,-2.0,0.08302097059849597
dTopt,I,-1.333333333333334,0.057368401918259614
dTopt,I,-0.6666666666666679,0.039712616946148575
dTopt,I,0.0,0.041554244840664084
dTopt,I,0.6666666666666661,0.060611090556768686
dTopt,I,1.3333333333333321,0.08551724072734461
dTopt,I,2.0,0.1118524555984103
dTopt,I,2.666666666666666,0.13821179138568182
dTopt,I,3.333333333333332,0.16406314720003062
dTopt,I,4.0,0.18913047157868598
dTopt,II,-12.0,0.30773847767038337
dTopt,II,-11.333333333333334,0.29891350188430293
dTopt,II,-10.666666666666666,0.28865346561013744
dTopt,II,-10.0,0.27685733522805234
dTopt,II,-9.333333333333334,0.26349228818968684
dTopt,II,-8.666666666666668,0.2486050718570698
dTopt,II,-8.0,0.23220802935321175
dTopt,II,-7.333333333333334,0.214379961041295
dTopt,II,-6.666666666666667,0.19527014684956986
dTopt,II,-6.0,0.1749912283594867
dTopt,II,-5.333333333333334,0.15372043424210766
dTopt,II,-4.666666666666667,0.1317056911087264
dTopt,II,-4.0,0.10921466317114716
dTopt,II,-3.333333333333334,0.08668092136183407
dTopt,II,-2.666666666666668,0.06494070448285694
dTopt,II,-2.0,0.045961046016681883
dTopt,II,-1.333333333333334,0.03522601452332444
dTopt,II,-0.6666666666666679,0.04014427281967529
dTopt,II,0.0,0.05649646311468277
dTopt,II,0.6666666666666661,0.07691959882786156
dTopt,II,1.3333333333333321,0.09842832822846818
dTopt,II,2.0,0.11991757184703321
dTopt,II,2.666666666666666,0.1408692449450573
dTopt,II,3.333333333333332,0.16097613073404773
dTopt,II,4.0,0.18003270149093958
dTopt,III,-12.0,0.45598308632177825
dTopt,III,-11.333333333333334,0.4416308731364096
dTopt,III,-10.666666666666666,0.4257843861144349
dTopt,III,-10.0,0.40839130251981853
dTopt,III,-9.333333333333334,0.3894173139517991
dTopt,III,-8.666666666666668,0.3688394210270811
dTopt,III,-8.0,0.3466959794641692
dTopt,III,-7.333333333333334,0.3230534169221471
dTopt,III,-6.666666666666667,0.29798064075115493
dTopt,III,-6.0,0.27160682009945397
dTopt,III,-5.333333333333334,0.24409283757188455
dTopt,III,-4.666666666666667,0.21559032955051918
dTopt,III,-4.0,0.18631389672223797
dTopt,III,-3.333333333333334,0.15653219296526802
dTopt,III,-2.666666666666668,0.1265444624310709
dTopt,III,-2.0,0.09684927936548272
dTopt,III,-1.333333333333334,0.06846635231971043
dTopt,III,-0.6666666666666679,0.0443700630429334
dTopt,III,0.0,0.03480680296286702
dTopt,III,0.6666666666666661,0.048556727775845895
dTopt,III,1.3333333333333321,0.07285653298678157
dTopt,III,2.0,0.09964960277562225
dTopt,III,2.666666666666666,0.1267327911253155
dTopt,III,3.333333333333332,0.15337670932932698
dTopt,III,4.0,0.17925057970229485
dTopt,IV,-12.0,0.5440973453275464
dTopt,IV,-11.333333333333334,0.5291068028067321
dTopt,IV,-10.666666666666666,0.5124266133245786
dTopt,IV,-10.0,0.4939883820269047
dTopt,IV,-9.333333333333334,0.47376394275882316
dTopt,IV,-8.666666666666668,0.45171722224660493
dTopt,IV,-8.0,0.4278790208938718
dTopt,IV,-7.333333333333334,0.4023310467737603
dTopt,IV,-6.666666666666667,0.3751371485869936
dTopt,IV,-6.0,0.34642437733802467
dTopt,IV,-5.333333333333334,0.3163739129550914
dTopt,IV,-4.666666666666667,0.28513493333904627
dTopt,IV,-4.0,0.25291807106545083
dTopt,IV,-3.333333333333334,0.21999589244940773
dTopt,IV,-2.666666666666668,0.1866171365665897
dTopt,IV,-2.0,0.1531346600977013
dTopt,IV,-1.333333333333334,0.12009853405764606
dTopt,IV,-0.6666666666666679,0.08842254977912287
dTopt,IV,0.0,0.06051182693912381
dTopt,IV,0.6666666666666661,0.043856479479344956
dTopt,IV,1.3333333333333321,0.05020290768688216
dTopt,IV,2.0,0.07299907448228903
dTopt,IV,2.666666666666666,0.10093608297708445
dTopt,IV,3.333333333333332,0.130040265581603
dTopt,IV,4.0,0.1590367793268084
dCp_scale,I,0.4,0.14980055865693673
dCp_scale,I,0.6333333333333333,0.08816833668378292
dCp_scale,I,0.8666666666666667,0.0447661223660899
dCp_scale,I,1.1,0.044316650392760906
dCp_scale,I,1.3333333333333333,0.07491263219210442
dCp_scale,I,1.5666666666666664,0.1077862244286618
dCp_scale,I,1.7999999999999998,0.1382372694618054
dCp_scale,I,2.033333333333333,0.16585251135325105
dCp_scale,I,2.2666666666666666,0.19085764019685109
dCp_scale,I,2.4999999999999996,0.2135402399621599
dCp_scale,I,2.733333333333333,0.23421074658320254
dCp_scale,I,2.9666666666666663,0.2531350258734165
dCp_scale,I,3.1999999999999997,0.2704794886100597
dCp_scale,I,3.433333333333333,0.286500355023365
dCp_scale,I,3.666666666666666,0.3013560876900454
dCp_scale,I,3.8999999999999995,0.31516310467287256
dCp_scale,I,4.133333333333333,0.32800825127152083
dCp_scale,I,4.366666666666666,0.3400209699058774
dCp_scale,I,4.6,0.351298039508126
dCp_scale,I,4.833333333333333,0.3619104068692714
dCp_scale,I,5.066666666666666,0.3719184674617743
dCp_scale,I,5.3,0.38137913568671294
dCp_scale,I,5.533333333333333,0.3903397934663091
dCp_scale,I,5.766666666666667,0.3988410730971882
dCp_scale,I,6.0,0.40691557731028305
dCp_scale,II,0.4,0.160319520613628
dCp_scale,II,0.6333333333333333,0.11909108550865506
dCp_scale,II,0.8666666666666667,0.08453395182406398
dCp_scale,II,1.1,0.05684049669631774
dCp_scale,II,1.3333333333333333,0.038662601406987275
dCp_scale,II,1.5666666666666664,0.03583051142064425
dCp_scale,II,1.7999999999999998,0.04626099616435037
dCp_scale,II,2.033333333333333,0.06115630251261899
dCp_scale,II,2.2666666666666666,0.07651743280973547
dCp_scale,II,2.4999999999999996,0.0912247243010027
dCp_scale,II,2.733333333333333,0.10499657556257376
dCp_scale,II,2.9666666666666663,0.11780096435977531
dCp_scale,II,3.1999999999999997,0.12970794445288183
dCp_scale,II,3.433333333333333,0.14078574329513652
dCp_scale,II,3.666666666666666,0.15108723574962568
dCp_scale,II,3.8999999999999995,0.16071618969725826
dCp_scale,II,4.133333333333333,0.16974617705897113
dCp_scale,II,4.366666666666666,0.17823094089255864
dCp_scale,II,4.6,0.1862166324086601
dCp_scale,II,4.833333333333333,0.19375851809445852
dCp_scale,II,5.066666666666666,0.20087372633284648
dCp_scale,II,5.3,0.20761015828881815
dCp_scale,II,5.533333333333333,0.2140067481279546
dCp_scale,II,5.766666666666667,0.22009133468380224
dCp_scale,II,6.0,0.22588743344826345
dCp_scale,III,0.4,0.15591515790439966
dCp_scale,III,0.6333333333333333,0.09214504867054858
dCp_scale,III,0.8666666666666667,0.04527456615958108
dCp_scale,III,1.1,0.03946983324245925
dCp_scale,III,1.3333333333333333,0.06968280285098627
dCp_scale,III,1.5666666666666664,0.102797240043517
dCp_scale,III,1.7999999999999998,0.13344013650554326
dCp_scale,III,2.033333333333333,0.16121618955764586
dCp_scale,III,2.2666666666666666,0.18638523491413775
dCp_scale,III,2.4999999999999996,0.20926970557551045
dCp_scale,III,2.733333333333333,0.23015144659164222
dCp_scale,III,2.9666666666666663,0.2493157038934074
dCp_scale,III,3.1999999999999997,0.2669703136596184
dCp_scale,III,3.433333333333333,0.2832861216816525
dCp_scale,III,3.666666666666666,0.29845375993015427
dCp_scale,III,3.8999999999999995,0.31259671404887757
dCp_scale,III,4.133333333333333,0.325836638022881
dCp_scale,III,4.366666666666666,0.33822891623171025
dCp_scale,III,4.6,0.3498811555944064
dCp_scale,III,4.833333333333333,0.36087420800104447
dCp_scale,III,5.066666666666666,0.3712650783746539
dCp_scale,III,5.3,0.3811032578102714
dCp_scale,III,5.533333333333333,0.39043454055685
dCp_scale,III,5.766666666666667,0.3993079109520716
dCp_scale,III,6.0,0.407757819117192
dCp_scale,IV,0.4,0.1744956652432089
dCp_scale,IV,0.6333333333333333,0.09996574034175872
dCp_scale,IV,0.8666666666666667,0.04997727538344621
dCp_scale,IV,1.1,0.051969291154740964
dCp_scale,IV,1.3333333333333333,0.08677330019175435
dCp_scale,IV,1.5666666666666664,0.12314322887349248
dCp_scale,IV,1.7999999999999998,0.15654301620728103
dCp_scale,IV,2.033333333333333,0.18675602910095648
dCp_scale,IV,2.2666666666666666,0.21414132034626607
dCp_scale,IV,2.4999999999999996,0.2391082752569911
dCp_scale,IV,2.733333333333333,0.2619846605013201
dCp_scale,IV,2.9666666666666663,0.2830352548455463
dCp_scale,IV,3.1999999999999997,0.30253832986780665
dCp_scale,IV,3.433333333333333,0.32067346155284115
dCp_scale,IV,3.666666666666666,0.3375787165169714
dCp_scale,IV,3.8999999999999995,0.3533949153190449
dCp_scale,IV,4.133333333333333,0.36826368427008394
dCp_scale,IV,4.366666666666666,0.3822705386233853
dCp_scale,IV,4.6,0.3954817086798848
dCp_scale,IV,4.833333333333333,0.40798390244393057
dCp_scale,IV,5.066666666666666,0.41982433648744727
dCp_scale,IV,5.3,0.4310378435484232
dCp_scale,IV,5.533333333333333,0.44169983831997406
dCp_scale,IV,5.766666666666667,0.4518525373078539
dCp_scale,IV,6.0,0.46153468137689563
kcat_scale,I,0.25,0.3673005123202701
kcat_scale,I,0.29791666666666666,0.31944810830526615
kcat_scale,I,0.3458333333333333,0.27169866754360444
kcat_scale,I,0.39375,0.22411801017812324
kcat_scale,I,0.44166666666666665,0.17684242568882663
kcat_scale,I,0.4895833333333333,0.13020464299282777
kcat_scale,I,0.5375,0.08525783885572012
kcat_scale,I,0.5854166666666667,0.047118930504424665
kcat_scale,I,0.6333333333333333,0.04251038265517406
kcat_scale,I,0.6812499999999999,0.07765124693894358
kcat_scale,I,0.7291666666666666,0.1220161635396374
kcat_scale,I,0.7770833333333333,0.16846903773325264
kcat_scale,I,0.825,0.215664864270188
kcat_scale,I,0.8729166666666666,0.2544905245221184
kcat_scale,I,0.9208333333333333,0.2822682575012086
kcat_scale,I,0.96875,0.3083550052813119
kcat_scale,I,1.0166666666666666,0.32899372354520134
kcat_scale,I,1.0645833333333332,0.34521502119554864
kcat_scale,I,1.1124999999999998,0.36245196281247355
kcat_scale,I,1.1604166666666667,0.378831847992629
kcat_scale,I,1.2083333333333333,0.39258250274034356
kcat_scale,I,1.2562499999999999,0.4027312478973109
kcat_scale,I,1.3041666666666667,0.41336019997491746
kcat_scale,I,1.3520833333333333,0.42443328348399884
kcat_scale,I,1.4,0.4359166544765644
kcat_scale,II,0.25,0.14919672277028193
kcat_scale,II,0.29791666666666666,0.10734912453959854
kcat_scale,II,0.3458333333333333,0.06766755425891108
kcat_scale,II,0.39375,0.037747214006939006
kcat_scale,II,0.44166666666666665,0.04540591742413486
kcat_scale,II,0.4895833333333333,0.08055701965010614
kcat_scale,II,0.5375,0.12127679249809639
kcat_scale,II,0.5854166666666667,0.16345512622210195
kcat_scale,II,0.6333333333333333,0.20619890175235797
kcat_scale,II,0.6812499999999999,0.2492173484840369
kcat_scale,II,0.7291666666666666,0.2923892566304172
kcat_scale,II,0.7770833333333333,0.3356554169178532
kcat_scale,II,0.825,0.37898355020455515
kcat_scale,II,0.8729166666666666,0.4171569109362065
kcat_scale,II,0.9208333333333333,0.4417438450059329
kcat_scale,II,0.96875,0.4657164109800048
kcat_scale,II,1.0166666666666666,0.4866752515745146
kcat_scale,II,1.0645833333333332,0.50068337492863
kcat_scale,II,1.1124999999999998,0.5153435250713081
kcat_scale,II,1.1604166666666667,0.5306016596318881
kcat_scale,II,1.2083333333333333,0.5464076857470977
kcat_scale,II,1.2562499999999999,0.5599336212614151
kcat_scale,II,1.3041666666666667,0.5689425950854251
kcat_scale,II,1.3520833333333333,0.5771945739452431
kcat_scale,II,1.4,0.5857408289096647
kcat_scale,III,0.25,0.3726979083557339
kcat_scale,III,0.29791666666666666,0.3251114875356596
kcat_scale,III,0.3458333333333333,0.27760668382855164
kcat_scale,III,0.39375,0.23023402361216797
kcat_scale,III,0.44166666666666665,0.18309610453185488
kcat_scale,III,0.4895833333333333,0.13643644859259396
kcat_scale,III,0.5375,0.09099378362342074
kcat_scale,III,0.5854166666666667,0.050190397043460226
kcat_scale,III,0.6333333333333333,0.036503786055441294
kcat_scale,III,0.6812499999999999,0.0687038571050438
kcat_scale,III,0.7291666666666666,0.11261508206970855
kcat_scale,III,0.7770833333333333,0.1588028229653019
kcat_scale,III,0.825,0.20573954310647433
kcat_scale,III,0.8729166666666666,0.2435401117433306
kcat_scale,III,0.9208333333333333,0.27077913921123264
kcat_scale,III,0.96875,0.2959457924058094
kcat_scale,III,1.0166666666666666,0.3176077066470187
kcat_scale,III,1.0645833333333332,0.33411277329412403
kcat_scale,III,1.1124999999999998,0.3515662701854095
kcat_scale,III,1.1604166666666667,0.36983394447095513
kcat_scale,III,1.2083333333333333,0.3840652550862874
kcat_scale,III,1.2562499999999999,0.3937976562561076
kcat_scale,III,1.3041666666666667,0.40399392128525263
kcat_scale,III,1.3520833333333333,0.4146198297867392
kcat_scale,III,1.4,0.42564320565898445
kcat_scale,IV,0.25,0.4619396878760018
kcat_scale,IV,0.29791666666666666,0.41430703932618584
kcat_scale,IV,0.3458333333333333,0.36673503625150555
kcat_scale,IV,0.39375,0.31925079040226556
kcat_scale,IV,0.44166666666666665,0.2719002830257135
kcat_scale,IV,0.4895833333333333,0.22476805161180466
kcat_scale,IV,0.5375,0.17802754427386974
kcat_scale,IV,0.5854166666666667,0.13209523986092436
kcat_scale,IV,0.6333333333333333,0.08824236310615985
kcat_scale,IV,0.6812499999999999,0.05202396830420412
kcat_scale,IV,0.7291666666666666,0.04699455594626938
kcat_scale,IV,0.7770833333333333,0.07932653829565116
kcat_scale,IV,0.825,0.12230751181455352
kcat_scale,IV,0.8729166666666666,0.15863366622719985
kcat_scale,IV,0.9208333333333333,0.18943839831921871
kcat_scale,IV,0.96875,0.2115317571923443
kcat_scale,IV,1.0166666666666666,0.23327782717715775
kcat_scale,IV,1.0645833333333332,0.2555750093217751
