check,value,detail
07_oxygen_fits.R fit-target switch,FIT_TO_SPLINE <- FALSE,line 79
model,O2(t) = O2_0 + (K/r)(1 - exp(r t)),config.R resp_model()
units of K,mg O2 / L / min  (volumetric),-dO2/dt at t = 0
units of r,1 / min,
units of K / r,mg O2 / L,the drawdown amplitude of the fitted curve
solubility / O2ref term required?,NO,"fit is to raw Oxygen (FIT_TO_SPLINE = FALSE), so K is already volumetric"
max rel. error   R_O2_mg_cell_min = K / N0,6.73e-15,1055 series
max rel. error   N0 = N_inoc exp(r delta),1.14e-15,
max rel. error   CUE = 1/(1 + (c/60q) K/(r N0)),6.86e-15,c = 2.252203e+13
isolates whose 'a' varies with temperature,0,of 20 isolates; a = c/(60 q N_inoc)
taxa where argmax(pipeline CUE) != argmin(B_bp),1,"Clade1, Clade2, Clade3, Clade4, para"
