T,OTU,Replicate,group,otu_label,r,K,delta_Ninoc_to_N0_min,cell_carbon_fg,N_inoculation_cells_per_L,N0_cells_per_L,CUE,growth_fgC_h,respiration_fgC_h,B_bp,B_free
22,1,R1,Clade1,Clade1_2068,0.00419449825457765,0.00234424796781076,37.1,1300,42000000,49071847.68841849,0.23317919032351916,327.1708638570567,1075.916879106331,0.4783440870878204,0.5588863853387884
22,1,R2,Clade1,Clade1_2068,0.0050553725258544,0.00201163403041222,65.2,1300,42000000,58397898.63848454,0.3369856242853453,394.31905701664346,775.8170811432165,0.2861856677907156,0.3979200385578385
22,1,R3,Clade1,Clade1_2068,0.00481282570755265,0.0025678160087163,87.2,1300,42000000,63901831.310683526,0.2931852703361621,375.4004051891067,905.0200086968908,0.35067092077131307,0.533536048206917
22,1,R4,Clade1,Clade1_2068,0.00459380050555098,0.0023181687585895,77.2,1300,42000000,59878111.280484736,0.29125443600944984,358.31643943297706,871.9358593555344,0.3539599416074851,0.5046298279144491
22,1,R5,Clade1,Clade1_2068,0.00483946819429432,0.00211070272748527,77.2,1300,42000000,61024569.568018936,0.3264072097279152,377.47851915495704,778.9864972569464,0.30017463895816304,0.43614352708708065
22,2,R1,Clade1,Clade1_2069,0.00382838576707086,0.00324801247122627,64.2,1300,42000000,53702093.428682394,0.17980214526454932,298.6140898315272,1362.1786075646337,0.6635292459391418,0.8484026085258801
22,2,R2,Clade1,Clade1_2069,0.00479116905660675,0.00250614556787633,71.2,1300,42000000,59074588.36924424,0.2811607569534444,373.7111864153268,955.4614565407,0.37188904405465095,0.5230760046800055
22,2,R3,Clade1,Clade1_2069,0.00527708850749317,0.00232394615285709,75.2,1300,42000000,62458770.93620018,0.3293942651319549,411.61290358446774,837.9926516900788,0.2961334997500247,0.4403841530338589
22,2,R4,Clade1,Clade1_2069,0.00378572563047456,0.0054154881671069,75.2,1300,42000000,55832502.712486,0.11907596231235688,295.2865991770158,2184.53043058108,1.0760951414077842,1.4305020214653117
22,2,R5,Clade1,Clade1_2069,0.0038932730840364,0.00323012553134745,56.1,1300,42000000,52252212.70126431,0.17906000308302553,303.6753005548394,1392.2662571699918,0.6668822182698738,0.829668369422105
