OTU,otu_label,group,E_r,r2_r,E_K,E_K_se,r2_K,n,dE
1,Clade1_2068,Clade1,0.8624280601764549,0.8617313070790956,0.6578662897588873,0.046370148702958504,0.7823373928640269,58,-0.20456177041756762
2,Clade1_2069,Clade1,1.1714747949989133,0.7897097679073465,0.5584603937599268,0.05640658799008817,0.6364163956374198,58,-0.6130144012389864
3,Clade1_2070,Clade1,0.7755790103793742,0.8049159185242993,0.6572031971017479,0.04527437433215185,0.7841575346031209,60,-0.11837581327762625
4,Clade2_2071,Clade2,0.8470549632486205,0.8349642304682534,0.5375658656099903,0.06112970948880034,0.6025929771071509,53,-0.3094890976386302
5,Clade2_2072,Clade2,1.196397994325656,0.8379922353309348,0.4805020342623813,0.04634038863019263,0.6698138384916884,55,-0.7158959600632746
6,Clade2_2073,Clade2,1.6449608044115946,0.8891456597850804,0.6265010911680994,0.04356724913707503,0.8084344157677622,51,-1.0184597132434954
7,Clade3_2074,Clade3,1.203966244246495,0.905962520920146,0.5389502779739366,0.030248257707577837,0.8523353562599197,57,-0.6650159662725583
8,Clade3_2075,Clade3,0.7577252979236065,0.822794966417221,0.6752381254162866,0.03637028874011174,0.8559662631945477,60,-0.08248717250731996
9,Clade3_2076,Clade3,0.877086239788523,0.8784450472106397,0.5572584476194333,0.03451134150081094,0.8206019353923732,59,-0.31982779216908963
10,Clade4_2077,Clade4,1.021808672541586,0.9175325599673164,0.6123956095109471,0.028837975147472498,0.8860413319782815,60,-0.40941306303063896
11,Clade4_2078,Clade4,1.051584812080737,0.901763636584805,0.5832764869620632,0.035281242777986895,0.824939254417412,60,-0.4683083251186737
12,Clade4_2079,Clade4,0.959604675729757,0.9301773420405852,0.6263549869810353,0.0336936153259376,0.8670272197941,55,-0.33324968874872174
16,para_2051,para,0.9791428537692356,0.7098832594935838,0.5165667364643334,0.05292587761767248,0.6889947941992006,45,-0.4625761173049022
17,para_2052,para,0.7814557321609708,0.8023002392340378,0.5394855510182582,0.034798110254029166,0.836437721199086,49,-0.24197018114271251
18,para_2053,para,0.8386595561109385,0.7445184235476098,0.5939100144948383,0.0997929505871486,0.46348723187706764,43,-0.24474954161610019
19,Hae_1724,NA,1.0856133981400016,0.878599024223331,0.5878861728961483,0.02832191297312923,0.8813578647217715,60,-0.49772722524385327
20,Hae_1768,NA,0.422217180317931,0.8797158547129005,0.4970034560321883,0.04777735188587847,0.7203948241642099,44,0.07478627571425733
21,Hae_1769,NA,0.48714533311710895,0.7062867723724634,0.45252417312571686,0.05326736932392605,0.6550807851691064,40,-0.03462115999139209
22,Duo_1770,NA,0.5560246587782158,0.9206609884301415,0.535995259535534,0.050186784254642805,0.7355906101676473,43,-0.020029399242681878
23,Duo_1771,NA,0.7313801671357635,0.8720860455939587,0.6006055008601383,0.05542964255296301,0.7319321078790751,45,-0.13077466627562517
