T,OTU,Replicate,n0_factor,status
22,1,R1,0.9907741548355252,ok
22,1,R2,0.9861795714066486,ok
22,1,R3,0.9863324925657242,ok
22,1,R4,0.9872489640813573,ok
22,1,R5,0.9865716615097012,ok
22,2,R1,0.9860956211245755,ok
22,2,R2,0.9822762908403064,ok
22,2,R3,0.9805080555927697,ok
22,2,R4,0.9859778530203305,ok
22,2,R5,0.9863653994647221,ok
22,3,R1,0.9879656634174779,ok
22,3,R2,0.9873176793885613,ok
22,3,R3,0.9878877689968826,ok
22,3,R4,0.9880900119591155,ok
22,3,R5,0.9873752025731688,ok
22,4,R1,0.9911304554047715,ok
22,4,R2,0.9908151545492336,ok
22,4,R3,0.9929556830034251,ok
22,4,R4,0.9896211522087732,ok
22,4,R5,0.9906491780518644,ok
22,5,R1,0.9903399612579117,ok
22,5,R2,0.9905459431567579,ok
22,5,R3,0.9905327265065985,ok
22,5,R4,0.9939912827414559,ok
22,5,R5,0.9935494736240699,ok
22,6,R1,0.9931309764371594,ok
22,6,R2,0.9922698168348099,ok
22,6,R3,0.9907070183304078,ok
22,6,R4,0.9919542239046378,ok
22,6,R5,0.9935200213814701,ok
22,7,R1,0.9942004578528831,ok
22,7,R2,0.9937366634875155,ok
22,7,R3,0.9927200758026679,ok
22,7,R4,0.9949864176652725,ok
22,7,R5,0.9930170165975838,ok
22,8,R1,0.9950583359681427,ok
22,8,R2,0.9951222558994898,ok
22,8,R3,0.9943839424444985,ok
22,8,R4,0.9942936061117683,ok
22,8,R5,0.9939351859898882,ok
22,9,R1,0.994968990996032,ok
22,9,R2,0.9944475719514884,ok
22,9,R3,0.9939650659036129,ok
22,9,R4,0.9941082070120674,ok
22,9,R5,0.994250934121716,ok
22,10,R1,0.9980281529016459,ok
22,10,R2,0.9991561974516511,ok
22,10,R3,0.9969016412023237,ok
22,10,R4,0.9981838150779695,ok
22,10,R5,0.9978680769101561,ok
22,11,R1,0.9966914591438062,ok
22,11,R2,0.9978481761644935,ok
22,11,R3,0.9960738178378418,ok
22,11,R4,0.9963999893529246,ok
22,11,R5,0.9961420969727153,ok
22,12,R1,0.9978005425732065,ok
22,12,R2,0.9961208090804912,ok
22,12,R3,0.9973255570030003,ok
22,12,R4,0.9951851673443,ok
22,12,R5,0.9976453373898844,ok
22,13,R1,0.992455040524527,ok
22,13,R2,0.9878857484142058,ok
22,13,R4,0.9902420664963426,ok
22,13,R5,0.9854374920262327,ok
22,14,R1,0.994829631962477,ok
22,14,R2,0.9936460111352602,ok
22,14,R3,0.9921236609835969,ok
22,14,R4,0.990601985916367,ok
22,14,R5,0.9904363326768232,ok
22,15,R1,0.9879987620880514,ok
22,15,R2,0.9927866567423985,ok
22,15,R3,0.9909650383846366,ok
22,15,R4,0.9831409692622115,ok
22,15,R5,0.9848324770658632,ok
22,16,R1,0.9928031127118748,ok
22,16,R2,0.9899892796003125,ok
22,16,R3,0.9917784735080674,ok
22,16,R4,0.9907173391506021,ok
22,16,R5,0.991711359403784,ok
22,17,R1,0.9909402365242477,ok
22,17,R2,0.990532773253322,ok
22,17,R3,0.9876567029152901,ok
22,17,R4,0.9894891273377294,ok
22,17,R5,0.9922005425929252,ok
22,18,R1,0.9935736087731427,ok
22,18,R2,0.9901374413156044,ok
22,18,R3,0.989791470413632,ok
22,18,R4,0.9902178510501223,ok
22,18,R5,0.991538330799505,ok
24,1,R1,0.9760286345080491,ok
24,1,R2,0.9746697749792489,ok
24,1,R3,0.9721723870481005,ok
24,1,R4,0.9727730078102933,ok
24,1,R5,0.9731677873074858,ok
24,2,R1,0.9735189091497685,ok
24,2,R2,0.9683263491187737,ok
24,2,R3,0.9743343225215959,ok
24,2,R4,0.9837470578997276,ok
24,2,R5,0.9683732780094068,ok
24,3,R1,0.9827128239233484,ok
24,3,R2,0.9765631153178865,ok
24,3,R3,0.97959273676526,ok
24,3,R4,0.9754947112730912,ok
24,3,R5,0.9758981458501608,ok
24,4,R1,0.9832728332799103,ok
24,4,R2,0.9815683106983184,ok
24,4,R3,0.9823752232049018,ok
24,4,R4,0.9851460029883398,ok
24,4,R5,0.9834977398852227,ok
24,5,R1,0.9821415286008839,ok
24,5,R2,0.9804185068391608,ok
24,5,R3,0.9831618945504447,ok
24,5,R4,0.9812635504976642,ok
24,5,R5,0.9855712423461628,ok
