curve_code,series_id,T,OTU,Replicate
C001,T=22 | OTU=1 | Rep=R1,22,1,R1
C002,T=22 | OTU=1 | Rep=R2,22,1,R2
C003,T=22 | OTU=1 | Rep=R3,22,1,R3
C004,T=22 | OTU=1 | Rep=R4,22,1,R4
C005,T=22 | OTU=1 | Rep=R5,22,1,R5
C006,T=22 | OTU=2 | Rep=R1,22,2,R1
C007,T=22 | OTU=2 | Rep=R2,22,2,R2
C008,T=22 | OTU=2 | Rep=R3,22,2,R3
C009,T=22 | OTU=2 | Rep=R4,22,2,R4
C010,T=22 | OTU=2 | Rep=R5,22,2,R5
C011,T=22 | OTU=3 | Rep=R1,22,3,R1
C012,T=22 | OTU=3 | Rep=R2,22,3,R2
C013,T=22 | OTU=3 | Rep=R3,22,3,R3
C014,T=22 | OTU=3 | Rep=R4,22,3,R4
C015,T=22 | OTU=3 | Rep=R5,22,3,R5
C016,T=22 | OTU=4 | Rep=R1,22,4,R1
C017,T=22 | OTU=4 | Rep=R2,22,4,R2
C018,T=22 | OTU=4 | Rep=R3,22,4,R3
C019,T=22 | OTU=4 | Rep=R4,22,4,R4
C020,T=22 | OTU=4 | Rep=R5,22,4,R5
C021,T=22 | OTU=5 | Rep=R1,22,5,R1
C022,T=22 | OTU=5 | Rep=R2,22,5,R2
C023,T=22 | OTU=5 | Rep=R3,22,5,R3
C024,T=22 | OTU=5 | Rep=R4,22,5,R4
C025,T=22 | OTU=5 | Rep=R5,22,5,R5
C026,T=22 | OTU=6 | Rep=R1,22,6,R1
C027,T=22 | OTU=6 | Rep=R2,22,6,R2
C028,T=22 | OTU=6 | Rep=R3,22,6,R3
C029,T=22 | OTU=6 | Rep=R4,22,6,R4
C030,T=22 | OTU=6 | Rep=R5,22,6,R5
C031,T=22 | OTU=7 | Rep=R1,22,7,R1
C032,T=22 | OTU=7 | Rep=R2,22,7,R2
C033,T=22 | OTU=7 | Rep=R3,22,7,R3
C034,T=22 | OTU=7 | Rep=R4,22,7,R4
C035,T=22 | OTU=7 | Rep=R5,22,7,R5
C036,T=22 | OTU=8 | Rep=R1,22,8,R1
C037,T=22 | OTU=8 | Rep=R2,22,8,R2
C038,T=22 | OTU=8 | Rep=R3,22,8,R3
C039,T=22 | OTU=8 | Rep=R4,22,8,R4
C040,T=22 | OTU=8 | Rep=R5,22,8,R5
C041,T=22 | OTU=9 | Rep=R1,22,9,R1
C042,T=22 | OTU=9 | Rep=R2,22,9,R2
C043,T=22 | OTU=9 | Rep=R3,22,9,R3
C044,T=22 | OTU=9 | Rep=R4,22,9,R4
C045,T=22 | OTU=9 | Rep=R5,22,9,R5
C046,T=22 | OTU=10 | Rep=R1,22,10,R1
C047,T=22 | OTU=10 | Rep=R2,22,10,R2
C048,T=22 | OTU=10 | Rep=R3,22,10,R3
C049,T=22 | OTU=10 | Rep=R4,22,10,R4
C050,T=22 | OTU=10 | Rep=R5,22,10,R5
C051,T=22 | OTU=11 | Rep=R1,22,11,R1
C052,T=22 | OTU=11 | Rep=R2,22,11,R2
C053,T=22 | OTU=11 | Rep=R3,22,11,R3
C054,T=22 | OTU=11 | Rep=R4,22,11,R4
C055,T=22 | OTU=11 | Rep=R5,22,11,R5
C056,T=22 | OTU=12 | Rep=R1,22,12,R1
C057,T=22 | OTU=12 | Rep=R2,22,12,R2
C058,T=22 | OTU=12 | Rep=R3,22,12,R3
C059,T=22 | OTU=12 | Rep=R4,22,12,R4
C060,T=22 | OTU=12 | Rep=R5,22,12,R5
C061,T=22 | OTU=13 | Rep=R1,22,13,R1
C062,T=22 | OTU=13 | Rep=R2,22,13,R2
C063,T=22 | OTU=13 | Rep=R3,22,13,R3
C064,T=22 | OTU=13 | Rep=R4,22,13,R4
C065,T=22 | OTU=13 | Rep=R5,22,13,R5
C066,T=22 | OTU=14 | Rep=R1,22,14,R1
C067,T=22 | OTU=14 | Rep=R2,22,14,R2
C068,T=22 | OTU=14 | Rep=R3,22,14,R3
C069,T=22 | OTU=14 | Rep=R4,22,14,R4
C070,T=22 | OTU=14 | Rep=R5,22,14,R5
C071,T=22 | OTU=15 | Rep=R1,22,15,R1
C072,T=22 | OTU=15 | Rep=R2,22,15,R2
C073,T=22 | OTU=15 | Rep=R3,22,15,R3
C074,T=22 | OTU=15 | Rep=R4,22,15,R4
C075,T=22 | OTU=15 | Rep=R5,22,15,R5
C076,T=22 | OTU=16 | Rep=R1,22,16,R1
C077,T=22 | OTU=16 | Rep=R2,22,16,R2
