variable,mean,sd,q2.5,q50,q97.5,rhat,ess_bulk,ess_tail
b_lnB0_GroupClade1,5.70588411657063,0.08858478432517435,5.527597850029743,5.706578746313891,5.882480349986716,1.000528445336958,7014.618568741685,7076.28148229017
b_lnB0_GroupClade2,4.939826635510264,0.0946780366658141,4.751049106426661,4.941643908397818,5.125367795090398,1.0004605426428426,7924.421877541024,8133.308723088606
b_lnB0_GroupClade3,5.6384547746450195,0.08740648612089108,5.460641423164672,5.638546105088609,5.8086846928131415,1.000252245741345,7388.334005158668,8009.302001413459
b_lnB0_GroupClade4,5.630221557025324,0.08904096447236005,5.454009034199252,5.62940007723443,5.808376403115198,1.0002839424042103,8549.580866643997,7721.885893043312
b_lnB0_Grouppara,7.147059354664387,0.0910411025049786,6.964810594699769,7.14697010025515,7.326059645064789,1.0001551019818617,7825.211312329437,7598.662232553074
b_E_GroupClade1,0.9154921452423183,0.06659558208549601,0.7943945626944158,0.912922094476396,1.0579006099238395,1.0004871734670995,9010.843156118535,7608.6283786658105
b_E_GroupClade2,1.144404092048085,0.07240863468856122,1.0086241932984905,1.1417664365132656,1.2925129410668559,1.0002518209834916,8911.770504103686,8273.426303534003
b_E_GroupClade3,0.9478752061669359,0.06062083360851456,0.8328734759972226,0.9465518791169402,1.0726487267776392,1.0004529666804016,11119.689167739418,9369.979579152103
b_E_GroupClade4,1.0202755894236848,0.06466891085115178,0.9002038252091722,1.0178175681390278,1.1538361672855295,1.000073505000153,10443.277758533668,8760.727129455638
b_E_Grouppara,0.8319594858100828,0.07314731128085498,0.6967557962886447,0.8288019411339431,0.9847516175643489,1.0006968751479544,10092.46947908168,8423.106948603649
b_Eh_GroupClade1,2.380245527140616,0.13040099946672995,2.140571062458174,2.3748474095169763,2.6552959956123843,1.0000703983737937,9341.518017224382,8655.99876683779
b_Eh_GroupClade2,3.1902702184171075,0.18451016391797007,2.863491876011155,3.179460781059409,3.5826971944786576,0.9999993783196566,10212.429316186666,9908.33168286398
b_Eh_GroupClade3,2.374692344315468,0.11461396333167272,2.1714273225194924,2.3680325647709584,2.6195946340803147,1.0002881271877033,12124.663582121182,9253.618261970141
b_Eh_GroupClade4,2.2206612092030054,0.11615479083423207,2.016363729362895,2.2122159590701926,2.4664319615012418,0.999850225985284,11371.106345080638,9739.866906724124
b_Eh_Grouppara,3.2195015932276205,0.2825907584546429,2.71853344824343,3.2028525192762154,3.8185264480979657,1.0000130744102618,11379.597203187112,9238.956903103523
b_Th_GroupClade1,309.9437064698913,0.8773521352223781,308.10419607849934,309.97077313937416,311.5808257602278,1.0000518923291248,8864.843340134403,7007.71478586588
b_Th_GroupClade2,309.22928855520837,0.6764690822909376,307.859828328122,309.25726833848364,310.50651888020695,1.0003757486268456,8662.76477128686,7205.354403653935
b_Th_GroupClade3,310.0849959611237,0.8153023164373532,308.4423652078363,310.10617436346035,311.6496024326002,1.00056364501553,10223.2960929267,8003.646439674387
b_Th_GroupClade4,309.9671062894873,0.9047695304757883,308.1551817799705,309.9937870962648,311.6610052512234,0.9999440092523989,9854.162541331334,7647.110151033757
b_Th_Grouppara,308.9186053127556,0.686755117574499,307.49375856138215,308.946345542258,310.1871668113557,1.000903880822915,9713.614672604062,7393.3107518263305
