variable,mean,sd,q2.5,q50,q97.5,rhat,ess_bulk,ess_tail
b_alpha_GroupClade1,6.687687911045646,0.12317797470128268,6.444100671318396,6.687582221003515,6.935884076241633,1.00034024213018,6068.009437170491,6883.685804084128
b_alpha_GroupClade2,6.9385884646677685,0.12591361073812948,6.691235057791383,6.937507228067055,7.191168461122787,1.0003297075720292,6164.8034622868245,7065.129950710078
b_alpha_GroupClade3,6.5138010606627,0.12415632299593583,6.267297893160755,6.5150835681189,6.758776185870858,1.0002022211816521,6416.921388487467,6940.841631084966
b_alpha_GroupClade4,6.475342698974105,0.12566185429422283,6.220311318340426,6.477731708911048,6.71855329467165,1.0003164625185876,6473.456292819252,6970.593060252811
b_alpha_Grouppara,7.921571006784998,0.12780356559777892,7.667275637887079,7.92246659502673,8.174408957380088,1.0004854005297106,6552.51509916854,6971.431677980278
b_E_GroupClade1,0.45449380399446193,0.03332982647579084,0.38872936986079937,0.4541193185734952,0.5208696635882892,1.0005023048274482,11228.096330678127,7562.201752898497
b_E_GroupClade2,0.35657619985362404,0.03655658251743297,0.2840363365804238,0.35651119105477025,0.42882081737809546,1.0001131371347551,10589.551182450588,7592.498177963663
b_E_GroupClade3,0.34021198065548347,0.03356357998884088,0.27263807283655594,0.3399935835973823,0.40691830038189275,1.000472434279771,10157.111794337145,6738.214628064531
b_E_GroupClade4,0.2402583304094582,0.03392454510105545,0.17393393362116294,0.24003033032459142,0.30872780519162196,1.0001962891142195,10370.017146051834,7045.233915332941
b_E_Grouppara,0.30785690139091826,0.04117339629428219,0.22577767726846013,0.3073905352176558,0.39021519879152355,1.000463109364711,12027.646630619352,8418.408322794325
sd_Isolate__alpha_Intercept,0.19574230551278773,0.057730909976924955,0.11522005626361276,0.1854504365705624,0.3381454434007257,1.0003143045347291,4562.798678134493,5931.339400254969
sd_Isolate__E_Intercept,0.03633615247742725,0.021491809336876846,0.0029186757446971762,0.03410116486896753,0.0861354283311353,1.0004857228688677,3531.282486478887,4624.976413558238
sigma,0.24968114241197492,0.009062951419026763,0.23122385467194104,0.24993392971998957,0.2668196870704466,1.0000250316752812,10901.232630721894,8425.562236749685
nu,21.401301578238627,11.144848838018435,8.479096239789651,18.61274419756986,51.07310416098908,0.9999890425131402,11299.43494710338,9365.568426817306
"r_Isolate__alpha[Clade1_2068,Intercept]",-0.04427357923199311,0.12342785689652365,-0.29207806345789156,-0.043041247481819464,0.19672437080426303,1.0004297865029255,6441.563167387975,6861.264356261999
"r_Isolate__alpha[Clade1_2069,Intercept]",0.19925719929428581,0.1257540760824207,-0.04266009188187948,0.19684866232610843,0.45656175177752356,1.0004557754111327,6281.238783051276,6583.498295819515
"r_Isolate__alpha[Clade1_2070,Intercept]",-0.15035532712170566,0.12379687994024006,-0.40318675499589096,-0.14775454391832166,0.08802294231591214,1.0001677468828978,6464.302105053574,7488.700859647184
"r_Isolate__alpha[Clade2_2071,Intercept]",0.053620160130750286,0.12526554537534187,-0.19696608727103784,0.05264041230724471,0.3041760078423814,1.0002886564761162,6524.718816789445,7180.369201045921
"r_Isolate__alpha[Clade2_2072,Intercept]",2.2811497247348262e-4,0.12672698243331315,-0.24879774141852895,1.5447453853891606e-5,0.2565550535212682,1.0004863905114292,6183.530780865632,7405.737006534652
"r_Isolate__alpha[Clade2_2073,Intercept]",-0.04680193546599295,0.12637261089979887,-0.3016477297888701,-0.046115774632383116,0.20357504937611937,1.0002683741381022,6154.6870369467915,7351.175458490529
"r_Isolate__alpha[Clade3_2074,Intercept]",0.10615346095503113,0.12597613431199195,-0.1358081389671242,0.10522302106720352,0.35800026946003166,1.0002182408897342,6601.1050397528215,7279.3884358525
"r_Isolate__alpha[Clade3_2075,Intercept]",-0.07959621856522155,0.12829605551950202,-0.3452913687096568,-0.07917613277850732,0.17626932756166902,1.000532373712096,6280.318456391722,7347.849520085675
"r_Isolate__alpha[Clade3_2076,Intercept]",-0.01742986777037133,0.12465493721354001,-0.2647292340026118,-0.018080593011642998,0.22965967757496117,1.0001903539298906,6606.208974118437,7693.113882807051
"r_Isolate__alpha[Clade4_2077,Intercept]",-0.048956230533789405,0.12565127951449326,-0.29746777633660004,-0.05105359339377667,0.19939596015761876,1.0003369338730088,6569.593596581851,6724.189141969499
"r_Isolate__alpha[Clade4_2078,Intercept]",-0.1073595128509051,0.1251224311391193,-0.3531757346239156,-0.10788805271117993,0.1415224435757357,1.0003942525476273,6847.310190225485,7145.706633573869
"r_Isolate__alpha[Clade4_2079,Intercept]",0.1674386229128633,0.12639405796491904,-0.07914981276050738,0.16469924206949826,0.4216576102519686,1.0004243022207493,6750.641822927208,7205.061495440198
"r_Isolate__alpha[para_2051,Intercept]",0.28513371938450494,0.12579394747063874,0.041058719841217076,0.2822346708106723,0.5386029580649152,1.0005797106910184,6933.144289711847,7256.574221898554
"r_Isolate__alpha[para_2052,Intercept]",-0.05573785755762225,0.12470764490205478,-0.30086044004500156,-0.05526559170997512,0.19229621733002344,1.0007570194996935,6731.515787470597,6876.381006860927
"r_Isolate__alpha[para_2053,Intercept]",-0.22030053672081615,0.12653416365843723,-0.4746791194915621,-0.21804617936949827,0.02443512466750243,1.0006027181842563,6691.685410771406,7552.51919976066
"r_Isolate__E[Clade1_2068,Intercept]",0.006933781155320794,0.03208737999388263,-0.056542202581070546,0.004267551222415405,0.07687831523734939,1.0003053253815852,11182.686231121532,9153.37628133082
"r_Isolate__E[Clade1_2069,Intercept]",-0.020801604387949663,0.03458173859954928,-0.10251515031528925,-0.014908220763854233,0.0391216406045115,1.0002123785682981,8511.718015182918,8963.028823795401
"r_Isolate__E[Clade1_2070,Intercept]",0.011146608038095704,0.03197966701725056,-0.04941843082238075,0.006928582265198558,0.08339804121140901,1.0006926544127543,10766.976045050205,9116.251260133227
"r_Isolate__E[Clade2_2071,Intercept]",0.0012797611607610027,0.03267804918005909,-0.06824636148486073,7.579552448373445e-4,0.06994719639288323,1.000079220478205,12432.924360410067,9503.596806241638
"r_Isolate__E[Clade2_2072,Intercept]",-0.02526713999498064,0.03639196862182016,-0.11189309206931376,-0.01847693606301087,0.03319762026373566,1.0004108219840258,8003.543453069376,9128.781724735421
"r_Isolate__E[Clade2_2073,Intercept]",0.02024297251029821,0.03465699111076924,-0.03945277588286579,0.014533115361503295,0.09992850363327223,1.0010703624265365,9232.507945436999,9688.896257052824
"r_Isolate__E[Clade3_2074,Intercept]",-0.026609473299055813,0.035245208816116425,-0.11187705375763891,-0.020495630320506726,0.029955707258735965,1.0003243170836045,8064.359059422071,8921.449250459267
"r_Isolate__E[Clade3_2075,Intercept]",0.0339309743292977,0.03746883911464269,-0.022412292354005013,0.027882801022000546,0.12039247965594947,1.000552487286201,7269.463243492368,8126.10142639566
"r_Isolate__E[Clade3_2076,Intercept]",-0.012977716460321578,0.03307781350768081,-0.08762467248379534,-0.008444113257871555,0.04737451269274653,1.0003820795415408,10494.757069537995,8658.932209144834
"r_Isolate__E[Clade4_2077,Intercept]",-0.002824759117770802,0.0321053492448605,-0.07234764437462866,-0.0013704400794128952,0.06183771117767836,1.0002410835570827,10956.196502962035,8030.7926386768
"r_Isolate__E[Clade4_2078,Intercept]",-0.011138808013131647,0.03267390107361952,-0.08314898663869201,-0.006804698560977566,0.04956848082848901,1.0008704268784143,10250.571311911812,8450.916558724519
"r_Isolate__E[Clade4_2079,Intercept]",0.008857518936448873,0.03291362837780566,-0.05416860342556424,0.005549105720758008,0.08027693746186688,1.0003534981929538,11907.586838619565,8939.981788204523
"r_Isolate__E[para_2051,Intercept]",0.008038154026520477,0.034268530615208674,-0.06078645741315001,0.004496461103247392,0.08211161030023216,1.0000816742323375,11784.66712205264,9026.814007495645
"r_Isolate__E[para_2052,Intercept]",0.0034188661754512655,0.034010977252995254,-0.06589007041277437,0.0014635335450086005,0.07567088670768493,1.0007873021883025,12456.85325429512,8863.862745278404
"r_Isolate__E[para_2053,Intercept]",-0.016400728019258317,0.03675415546960754,-0.1035101857927173,-0.01046317999487417,0.04863972049824763,1.0001272343299223,11730.62872941238,9604.011314699273
lprior,-23.602494226521607,0.7463504256736541,-25.630541112541625,-23.40713999413879,-22.774341498920837,1.0001736966084693,10348.958746458144,8436.66613226116
lp__,-148.25511555451567,5.9079054142721406,-160.8061917992861,-148.02158311108772,-137.5782265159562,1.000551986203502,2801.449880611991,5790.73409641643
