variable,mean,sd,q2.5,q50,q97.5,rhat,ess_bulk,ess_tail
b_alpha_GroupClade1,7.047474550348082,0.10707863584688071,6.826454432410103,7.048949755008316,7.257138411058631,1.000256241010519,6377.0013365198265,6381.482744056931
b_alpha_GroupClade2,7.081587126565141,0.10687697588944971,6.87108961227683,7.080792833178771,7.296374011077209,1.000718158933015,5609.380283028093,6802.61722985565
b_alpha_GroupClade3,6.799642547330041,0.10586585033325735,6.586174230116356,6.801953352766615,7.0064812332806286,1.0010837514165634,6705.558040242713,6024.1556264605515
b_alpha_GroupClade4,6.697557042143539,0.10436883912960809,6.491035225560594,6.697378776015045,6.903816073451355,1.0003890365934454,6019.703592248024,6694.561405080837
b_alpha_Grouppara,8.24640531739221,0.1122332205703454,8.020908487872099,8.24720548105489,8.465710628461167,1.0005750421045658,6870.714694433443,6812.710453979865
b_E_GroupClade1,0.6541317491180266,0.03122270573571769,0.5925757249154804,0.6542817779143151,0.7156969906310234,1.0001788743898843,12258.36377431532,8048.862581871282
b_E_GroupClade2,0.5529407947467252,0.033994803580008226,0.48613843547812863,0.552474806996623,0.6197875950234171,1.0002391643414121,12449.735358366253,8142.450560178587
b_E_GroupClade3,0.6006244200763365,0.029238143504738207,0.5434140095642698,0.6006435475050333,0.6604588707777376,1.0004708637770081,12870.185097714906,8623.830752799588
b_E_GroupClade4,0.6221770322444025,0.02935881826689276,0.5635489428593854,0.621979693738544,0.6804463931070656,1.0011393043388348,11587.003428280572,7795.260740395444
b_E_Grouppara,0.5515222873892802,0.03818687001996931,0.4782928458873805,0.550946158481185,0.6265224926741447,1.0002893749721793,13799.1727936311,9142.028709025302
sd_Isolate__alpha_Intercept,0.1606837531542273,0.050008736857785306,0.09070474993922481,0.151863073057867,0.28434849523616956,1.0012805766541377,3886.9531432322165,5618.002284868217
sd_Isolate__E_Intercept,0.03025656281774736,0.019208744069611053,0.0017314398153767802,0.028139886908637807,0.07473958980946184,1.0009147232458464,3218.0357549380706,4723.670337531506
sigma,0.22312205352706876,0.011111837939072071,0.2021409310422229,0.22293297741998475,0.24547711638227027,1.0003071277540687,9823.188794435884,8478.649833068359
nu,6.497258351819604,2.009497547376039,4.002651951749609,6.115271125099217,11.41273784721122,1.00028546720391,10693.03179761328,7745.516807662872
"r_Isolate__alpha[Clade1_2068,Intercept]",-0.05570992949516521,0.10561448903090412,-0.26624491781836807,-0.05499148208118132,0.1545989948727494,1.0002448636169823,6442.349457721595,6887.455846587139
"r_Isolate__alpha[Clade1_2069,Intercept]",0.17505162381587985,0.10781056457855825,-0.025308528991009546,0.17064169488087072,0.39828417522933407,1.0002636087626537,6469.88430039695,7110.787402410204
"r_Isolate__alpha[Clade1_2070,Intercept]",-0.1111434483231828,0.10543141568193876,-0.3247962303995292,-0.11029135260846248,0.09607372816322211,1.0001637665668826,6580.777925012442,7575.071363136767
"r_Isolate__alpha[Clade2_2071,Intercept]",0.020894768097153214,0.10509124501594563,-0.1913947912957335,0.020728401074665222,0.23201752543159743,1.0006952275493282,6309.634396906854,6973.15051086614
"r_Isolate__alpha[Clade2_2072,Intercept]",0.02762597550812342,0.1070659242921046,-0.18634920637467262,0.02473939191099875,0.24518387745851528,1.0007248010498953,6209.166352026796,6816.740296366381
"r_Isolate__alpha[Clade2_2073,Intercept]",-0.039189967378676784,0.1069597626454282,-0.2590708598426979,-0.037294013810039675,0.1715661320630101,1.0003254671263468,5879.324373758802,7487.790045326558
"r_Isolate__alpha[Clade3_2074,Intercept]",0.06337369186485407,0.1079729774968972,-0.14276123522325515,0.059389782072210746,0.2910142929586171,1.0008875392049337,6632.859328193895,6052.119257603504
"r_Isolate__alpha[Clade3_2075,Intercept]",-0.05078227868126994,0.11033118403820358,-0.27904999543056447,-0.04794866104756511,0.1608819702771827,1.000191830977888,6281.025221528653,7100.414405845767
"r_Isolate__alpha[Clade3_2076,Intercept]",-0.0019798911495080276,0.10565667957184463,-0.207123399741914,-0.004573440878165626,0.21527016000761415,1.000387385409105,6777.442554099987,6331.532884584302
"r_Isolate__alpha[Clade4_2077,Intercept]",-0.0715278684834219,0.1044733362452865,-0.2803963323426761,-0.07121206254612075,0.1347513475226087,1.0007027483526783,6267.36327162418,7169.83580096734
"r_Isolate__alpha[Clade4_2078,Intercept]",-0.06690991486212064,0.10351187758440994,-0.2695515246206273,-0.06623123934409575,0.13712092222919728,1.00035081471283,6362.583374852311,7394.587817057988
"r_Isolate__alpha[Clade4_2079,Intercept]",0.1468465076214042,0.10445923127104202,-0.059061178732378476,0.14574286229877526,0.35945755410610014,1.0004037734944815,6431.604751033167,7173.807480407922
"r_Isolate__alpha[para_2051,Intercept]",0.22258991701963982,0.10867981270215044,0.01511537259254754,0.2179610513149153,0.4491807163075623,1.0012485400908817,7031.077887169348,7332.466609638442
"r_Isolate__alpha[para_2052,Intercept]",-0.031453006403211053,0.10720476144063279,-0.24218895318973757,-0.03296209343886722,0.1907426397053348,1.0005467649072397,6861.49611733298,7298.599747785813
"r_Isolate__alpha[para_2053,Intercept]",-0.18355951662372857,0.11221817971896204,-0.4163811922372733,-0.18092508360105247,0.030888089692007768,1.0001565029822657,8045.238169228433,7606.534388924048
"r_Isolate__E[Clade1_2068,Intercept]",0.004700609744091819,0.02779072221366785,-0.04960001371556933,0.0020519951703914904,0.0670168200327996,1.0003451018296707,12870.083693085286,8644.390112168781
"r_Isolate__E[Clade1_2069,Intercept]",-0.011979667909661098,0.029410093422317197,-0.08095520960068876,-0.006872316557757754,0.04058739240476313,1.000227535837425,9988.236598321138,8987.86344366802
"r_Isolate__E[Clade1_2070,Intercept]",0.006444539140903962,0.02802897407308789,-0.04829132671089512,0.0033056227477492777,0.06921373541530385,1.0009507145554515,12142.098254662038,8213.013292279293
"r_Isolate__E[Clade2_2071,Intercept]",-0.0016392139071350737,0.028817233001468618,-0.0656377030977844,-5.486654337814587e-4,0.0574283308485655,1.0000355301673538,14543.301478465608,9315.446147732497
"r_Isolate__E[Clade2_2072,Intercept]",-0.01742866851243103,0.03167870729426465,-0.09395924983984769,-0.010710739846540574,0.0338808074872448,1.0005020405555405,10367.426572007642,8617.795761075486
"r_Isolate__E[Clade2_2073,Intercept]",0.017789796719782813,0.031198588216003624,-0.03391152853660135,0.011297057699545168,0.09240963304495348,1.0005954863054625,9680.89977837772,8806.65236482185
"r_Isolate__E[Clade3_2074,Intercept]",-0.019734774764023952,0.03012598368914478,-0.09182482150110467,-0.013437539452974993,0.027967398603164176,1.0008654871660316,8341.059657253516,8938.102863173133
"r_Isolate__E[Clade3_2075,Intercept]",0.031856333289428024,0.03391834768270284,-0.013950485660041222,0.025127998366608662,0.1136649625341829,1.000454862632274,6665.339594989464,9111.499646900724
"r_Isolate__E[Clade3_2076,Intercept]",-0.013550608367022772,0.028362226334933075,-0.0796033756602283,-0.008450627764844003,0.03526947357867086,1.0002969251993592,9382.332359213888,9594.14678197305
"r_Isolate__E[Clade4_2077,Intercept]",-0.005804348524602151,0.02701604427429568,-0.06672838817808796,-0.003020847172263241,0.04828975755010618,1.000370901579472,12246.449216193327,9449.513126588181
"r_Isolate__E[Clade4_2078,Intercept]",-0.0019686740982536683,0.02697893024188566,-0.06064577216118913,-8.207332184416855e-4,0.05239863704422947,1.0007838946789913,12442.191436835834,9094.501543047532
"r_Isolate__E[Clade4_2079,Intercept]",0.008014072404976345,0.02796323144263058,-0.04570402754712358,0.004507128713529514,0.07166452863690914,1.0001542034678916,12879.742085033793,8716.551396244591
"r_Isolate__E[para_2051,Intercept]",4.144059762741922e-4,0.030102363371655783,-0.06592100182082859,1.6531207220226167e-4,0.06422145613512233,1.000618377434888,15237.62659155043,9171.177106260253
"r_Isolate__E[para_2052,Intercept]",-0.005613419263804327,0.029021903844701054,-0.07160360909202382,-0.0024660222863864,0.050345619388590473,1.000721532518244,13072.524870766763,8792.947833136039
"r_Isolate__E[para_2053,Intercept]",0.004023101195218946,0.03165746555675909,-0.059175071669928025,0.0014653605154896837,0.07619142725128938,1.0012459345786986,14719.868096468641,8664.208051703681
lprior,-21.603965711322022,0.11959126203668999,-21.853917620483582,-21.59684424139403,-21.395355457727362,1.0005418814483595,9076.331128434551,8705.9495073184
lp__,-147.03691836397516,6.1576901404798425,-159.74929937762982,-146.75776616494363,-135.75331007069377,1.0015972971133504,2328.2100193932015,4717.428111982401
