clade,E,lwr,upr,rhat,treatment,clade_lab
Clade1,0.5192342387995832,0.4427938224170104,0.5942167522553456,1.0002137340357795,With term (published),Clade I
Clade2,0.4140915210727267,0.3310924958778073,0.4968831778780826,1.0000905587402038,With term (published),Clade II
Clade3,0.4016598801038462,0.3256445302292254,0.4787732536708344,0.9999974974614776,With term (published),Clade III
Clade4,0.3014292031257077,0.2261907074204032,0.3798175743451981,1.0005321117642487,With term (published),Clade IV
para,0.3631819094809718,0.2641859305527019,0.4633302491890274,1.0000671238424246,With term (published),C. parapsilosis
Clade1,0.45449380399446193,0.38872936986079937,0.5208696635882892,1.0005023048274482,Equilibration-corrected,Clade I
Clade2,0.35657619985362404,0.2840363365804238,0.42882081737809546,1.0001131371347551,Equilibration-corrected,Clade II
Clade3,0.34021198065548347,0.27263807283655594,0.4069183003818927,1.000472434279771,Equilibration-corrected,Clade III
Clade4,0.2402583304094582,0.17393393362116294,0.30872780519162196,1.0001962891142195,Equilibration-corrected,Clade IV
para,0.30785690139091826,0.22577767726846013,0.3902151987915235,1.000463109364711,Equilibration-corrected,C. parapsilosis
Clade1,0.6541317491180266,0.5925757249154804,0.7156969906310234,1.0001788743898845,Term-free,Clade I
Clade2,0.5529407947467252,0.48613843547812863,0.6197875950234171,1.000239164341412,Term-free,Clade II
Clade3,0.6006244200763365,0.5434140095642698,0.6604588707777376,1.000470863777008,Term-free,Clade III
Clade4,0.6221770322444025,0.5635489428593854,0.6804463931070656,1.0011393043388348,Term-free,Clade IV
para,0.5515222873892802,0.4782928458873805,0.6265224926741447,1.0002893749721793,Term-free,C. parapsilosis
