variable,mean,sd,q2.5,q50,q97.5,rhat,ess_bulk,ess_tail
b_alpha_GroupClade1,5.662058332691809,0.1822295270193919,5.294224251252144,5.6625359321059,6.024374553267241,1.000405508183999,5675.986213829936,6385.298582848264
b_alpha_GroupClade2,5.7947019658874686,0.17881144550166492,5.445651971489837,5.794744808702793,6.144156837917146,1.0008945653767525,6045.393387440503,6985.678067007192
b_alpha_GroupClade3,5.266456595113269,0.18002490900635645,4.901704712177952,5.268013077446902,5.6177815657505255,1.000129738279652,5263.229655491727,6315.594579593716
b_alpha_GroupClade4,5.5880272859430455,0.18118503695407182,5.225600312167365,5.589598564765884,5.951567029717964,1.0011728357706955,5024.751242379497,5630.053676861982
b_alpha_GroupDuo,5.357196883872932,0.22548977920941052,4.901621753804206,5.357808898372362,5.795860025296189,1.0002505241434203,6348.547524390983,6222.658216617234
b_alpha_GroupHae,5.61829651348428,0.18270600885041996,5.249677462446702,5.621194112071388,5.974178628892445,1.0004217794376984,6651.767866521493,6627.899866888956
b_alpha_Grouppara,6.696931322549707,0.18128410810028972,6.328371096660861,6.696746980586296,7.0537318842793,1.0000909194313552,5516.745635053817,6425.631768469011
b_E_GroupClade1,0.5183428285160666,0.0373645510169814,0.44394224567412666,0.5184327086421238,0.5930526620002498,1.0000579423191414,11645.161730813914,8270.289103353818
b_E_GroupClade2,0.4150616869111537,0.04252321549220499,0.3314470155308839,0.41448603716534005,0.49927521383476126,1.0003789801438452,12456.1136224522,7258.635848054281
b_E_GroupClade3,0.40208579958854174,0.03796018872700683,0.32949754968599093,0.40153153790350915,0.47770194075948935,1.0000493813358102,12238.795739220806,8971.941248053896
b_E_GroupClade4,0.30112816653676033,0.038721926835027426,0.2252521215600432,0.30095079688647697,0.3781046683175749,1.0002373204019706,10562.42163727252,6879.106320037487
b_E_GroupDuo,0.4746537204999028,0.06025932998536316,0.3568594226726152,0.4746319505844048,0.593190618236361,1.000162287567065,14254.673091689903,8348.161561865061
b_E_GroupHae,0.4335837436373456,0.04703281582576277,0.3443498568918785,0.4331457299378385,0.5277558666247811,1.0005236466912277,13774.330138231355,8595.00377503273
b_E_Grouppara,0.36418924387492924,0.04797351722566841,0.2692895918691792,0.3644124136401635,0.4609579471541742,1.0007100325335487,12996.310953515404,7838.949095829047
sd_Isolate__alpha_Intercept,0.2902800865580111,0.06953521024901774,0.1878493282495255,0.2793040054740737,0.4560656471594163,1.0011899553442856,4142.667366948768,5564.576405972311
sd_Isolate__E_Intercept,0.03300795727229416,0.021847481292169665,0.001618801538359299,0.030376089923041645,0.08318171381803915,1.0004072157161634,3697.403756539035,4733.737359195344
sigma,0.32389978571072325,0.011016196148217215,0.3016343635928525,0.3241282929437005,0.34438956467611076,1.0000443254926443,9721.987847480037,8807.550822269866
nu,20.12027121856908,9.768400228773034,8.488897497534168,17.753039114626333,45.45860519422799,1.0002658951879924,9294.595806712663,9599.433562761693
"r_Isolate__alpha[Clade1_2068,Intercept]",-0.03605948328334132,0.18209546081047326,-0.39553919798700865,-0.03619411080885404,0.3248790044941173,1.000408773209263,5734.545639922732,6782.1012648696615
"r_Isolate__alpha[Clade1_2069,Intercept]",0.20762281982001854,0.1814999318586512,-0.14996311557198191,0.20524553065399848,0.5786771158419753,1.00055693444748,5798.247208965721,6554.529811349195
"r_Isolate__alpha[Clade1_2070,Intercept]",-0.15015151080157432,0.18018927085788666,-0.5130882148384723,-0.15020712924765225,0.20634579630125174,1.0005282443947217,5875.43341345405,7074.376669640145
"r_Isolate__alpha[Clade2_2071,Intercept]",0.013988666773799672,0.17695194258486355,-0.33256337981017975,0.01468180077711084,0.3652928758997145,1.0006437383158602,6164.933842596916,6602.668795149416
"r_Isolate__alpha[Clade2_2072,Intercept]",-0.017371504950479275,0.17677050534736694,-0.36435535997542107,-0.017634814832121266,0.3321058130704415,1.000776578795867,5987.697797107632,6810.648060336432
"r_Isolate__alpha[Clade2_2073,Intercept]",0.03733697708902855,0.17769304863895988,-0.31673138105215914,0.03861353540087077,0.390873020555559,1.0007995657554787,6153.200691222956,6192.368123894852
"r_Isolate__alpha[Clade3_2074,Intercept]",0.11717504251432462,0.18079919658779406,-0.23650569443675518,0.11389024062593811,0.47671156292447764,1.0001845031733436,5486.678007750807,6720.8252561410245
"r_Isolate__alpha[Clade3_2075,Intercept]",-0.07822382249047162,0.18284969932567705,-0.4440783218762958,-0.07807411219772584,0.2873980315097027,1.0001614021919534,5400.316947920088,5884.370184017741
"r_Isolate__alpha[Clade3_2076,Intercept]",-0.006646730257505876,0.17976926015294073,-0.3593914045201805,-0.009197642630072497,0.35660380154877663,1.000117116108673,5397.436123394151,6692.999472273118
"r_Isolate__alpha[Clade4_2077,Intercept]",-0.01482085293670019,0.1797017492355326,-0.3728291125157066,-0.01570560530041843,0.3512754068445893,1.0011064179004219,5176.764605075481,6120.932880121844
"r_Isolate__alpha[Clade4_2078,Intercept]",-0.13455979306094934,0.18010082828437202,-0.4936069994986328,-0.1332660166089233,0.22900932201357002,1.00107678461885,5116.0972463543685,5702.575468306442
"r_Isolate__alpha[Clade4_2079,Intercept]",0.16799423511326053,0.17958898071839266,-0.18825293587226086,0.16672656895472304,0.5327899223552913,1.00104049272072,5129.039493331445,5921.378605532304
"r_Isolate__alpha[Duo_1770,Intercept]",0.12959831849693074,0.21700765305675984,-0.2918833672357052,0.1277534493256131,0.5723076567118842,1.0002582948792618,6279.141777446395,6313.913677430225
"r_Isolate__alpha[Duo_1771,Intercept]",-0.10942469444241935,0.2154094480726384,-0.5353838607642687,-0.10843530821209116,0.3264879500449749,1.0002836753262647,6391.501115084241,6411.293605984715
"r_Isolate__alpha[Hae_1724,Intercept]",-0.2746175282305209,0.18137566175405742,-0.6282135179467937,-0.2758823786212592,0.08857217288794966,1.000917269644772,6669.231159347954,7221.99663303581
"r_Isolate__alpha[Hae_1768,Intercept]",-0.3019064374145805,0.17929107982376685,-0.6562340535295539,-0.30290417568854633,0.05515553062816688,1.0006247299524094,6711.459619300195,6834.929495523356
"r_Isolate__alpha[Hae_1769,Intercept]",0.5966389061349815,0.18007608943845355,0.25720622430954226,0.5917004245300659,0.9668302921470703,1.0006025624003796,6621.612916779587,6700.370735566456
"r_Isolate__alpha[para_2051,Intercept]",0.32350041925446427,0.17950050422264144,-0.03143124931852541,0.3229260478907035,0.6865022351843467,1.0000782028968913,5731.8670645183,6847.028066985105
"r_Isolate__alpha[para_2052,Intercept]",-0.10806266667422408,0.17812879358190936,-0.46211611173010064,-0.10798701679160938,0.25369920558605125,1.0005075679628883,5429.650951630823,7040.194014684755
"r_Isolate__alpha[para_2053,Intercept]",-0.19968997346704945,0.17871774225937667,-0.5586894598817237,-0.1964925509700712,0.15964916957197053,1.0000921649424657,5643.357372048146,6608.416351922897
"r_Isolate__E[Clade1_2068,Intercept]",0.004852043989113306,0.03196888125024104,-0.05887710451872528,0.0018335120435275262,0.07770266088995863,1.000217918637922,11711.272090180444,9384.599496907415
"r_Isolate__E[Clade1_2069,Intercept]",-0.0035329953909705018,0.0322153263301105,-0.07642670650390299,-0.0012091710987088501,0.06264687027969615,1.0004885345112886,12808.533111463244,9155.768032539587
"r_Isolate__E[Clade1_2070,Intercept]",-0.0030839879351740934,0.03187781726447145,-0.07440670567649559,-0.0010987436703479474,0.06187860884037907,1.0001804009875983,11895.203666921849,9386.44485050734
"r_Isolate__E[Clade2_2071,Intercept]",9.088012949855426e-4,0.03358315754476494,-0.07058002488997338,3.2402210541751617e-4,0.07222001289008367,1.0003921127665898,12703.287710411085,8844.61898421342
"r_Isolate__E[Clade2_2072,Intercept]",-0.018082185914433932,0.035977368608487645,-0.10532899622083085,-0.009969209505264517,0.04108306232912015,0.9999303994982094,9763.850165997323,9115.755027185922
"r_Isolate__E[Clade2_2073,Intercept]",0.014792586667065257,0.03609256883702682,-0.047116554270446864,0.0076529522663934205,0.10426675457307319,1.0002517302500635,10016.19253288213,8488.758103572534
"r_Isolate__E[Clade3_2074,Intercept]",-0.02849768808248431,0.038410647668459426,-0.12290514932412298,-0.018789645164575867,0.02583362094822091,1.0002361296952698,7433.251125830277,9131.249583723069
"r_Isolate__E[Clade3_2075,Intercept]",0.031044654874307902,0.03866881465357422,-0.022750371310929118,0.021648309584774508,0.12537102192822436,1.0000775863178273,7267.952268754247,8926.446072142535
"r_Isolate__E[Clade3_2076,Intercept]",-0.007185884900129792,0.032343715011462326,-0.08135061609398805,-0.0028877570288316444,0.0545067003203951,1.0002834571356072,11888.536931470688,9163.299719953162
"r_Isolate__E[Clade4_2077,Intercept]",-0.006636706788076146,0.032048923566962144,-0.08088258151725923,-0.0026422474661418147,0.05525049475036427,1.0000222375416736,10385.923899101695,8317.2769118473
"r_Isolate__E[Clade4_2078,Intercept]",-0.004942626534943731,0.03196191657327601,-0.07749738303115582,-0.0017945639890731752,0.05749760079949973,1.0004152333849317,11915.063863416122,7876.977126703251
"r_Isolate__E[Clade4_2079,Intercept]",0.0068453547491475674,0.03256970850633712,-0.05585791894199308,0.002939227945723011,0.08251108358743228,1.0003209770226982,12920.649574922922,9568.38376233448
"r_Isolate__E[Duo_1770,Intercept]",-0.005419252792130432,0.035702707800372165,-0.08692251333059887,-0.00203080378174851,0.06630546157936378,1.0000006613882337,14271.019192246133,9733.117246381193
"r_Isolate__E[Duo_1771,Intercept]",0.003989686964921615,0.035508733174130294,-0.06771681801491275,0.0014357414042550174,0.08515158961676085,1.0003467378363615,14001.098857496736,8752.514276465994
"r_Isolate__E[Hae_1724,Intercept]",-0.016260025630855872,0.03567972297755632,-0.1023886782060414,-0.008514476546548244,0.043071841729739394,1.0001169151630558,11042.55211688493,9156.4307116602
"r_Isolate__E[Hae_1768,Intercept]",0.0023980275622549015,0.034559139702267525,-0.06858639011867994,8.969730727318676e-4,0.07851846338725141,1.0002345494016678,14297.190413719874,10077.103145931129
"r_Isolate__E[Hae_1769,Intercept]",0.011856093532865713,0.03618835810007435,-0.054216508701429134,0.0052939798858116895,0.09946168257903112,1.0004824393558975,12874.573311673725,9255.203448151924
"r_Isolate__E[para_2051,Intercept]",0.0017996272885299645,0.03410610933749769,-0.0694924264273753,5.6042360724e-4,0.07898345815255572,1.0001198576467294,13200.180217196339,9307.10867095891
"r_Isolate__E[para_2052,Intercept]",2.6314474291846724e-4,0.033978704356456495,-0.07330139966927621,1.224782213828311e-4,0.07355316487000906,1.0005282922365213,12131.941370424884,9016.33273886854
"r_Isolate__E[para_2053,Intercept]",-0.006526942220579133,0.0343183585114106,-0.08678384068492352,-0.00260205116066904,0.06015714958134956,1.0005341492555264,13742.019186655247,8904.13037213644
lprior,-27.794134243167182,0.63466023930654,-29.483569326264938,-27.659484182820222,-26.989577724221274,1.0001909540493423,9246.970298163902,9118.929015763542
lp__,-465.0330528935209,6.479700334223992,-478.7407605585431,-464.69380118301876,-453.338864616192,1.0020229457102758,3054.9884509290696,6007.32402094116
