Group,T_C,tax,lo,hi
Clade1,22,1.3659990879911632,1.1419851373395171,1.7064539408536898
Clade1,22.25,1.3499387612939118,1.13444071102735,1.6763933215539246
Clade1,22.5,1.334508789896188,1.1267826685095788,1.6472489289430872
Clade1,22.75,1.3184249905592293,1.1196396413275238,1.6179843715317768
Clade1,23,1.302303963944453,1.1118610183378173,1.5909532934356792
Clade1,23.25,1.287548332262764,1.1047261066731058,1.564442064438829
Clade1,23.5,1.2722587949326503,1.097604855743683,1.5385589653968723
Clade1,23.75,1.2578187740836746,1.0913002830413348,1.5146567449654924
Clade1,24,1.2428725604709707,1.0852170967211243,1.4914381098779177
Clade1,24.25,1.229321835632768,1.0792665147128875,1.4687800538075604
Clade1,24.5,1.2150286039557527,1.0734421740110571,1.4465017339634336
Clade1,24.75,1.202176099531392,1.0676315680308763,1.424948635293176
Clade1,25,1.1886586584361933,1.061801719852674,1.4036069362035586
Clade1,25.25,1.1769642703385168,1.0556377625893492,1.382805279620459
Clade1,25.5,1.1653184591937524,1.0499023192399406,1.3634304164480422
Clade1,25.75,1.153615451729208,1.0444042425143603,1.3446746073864928
Clade1,26,1.1418372617110406,1.0390142872622874,1.3248164219868008
Clade1,26.25,1.1310337692575516,1.0339013324396489,1.3055524280199458
Clade1,26.5,1.1202818907177416,1.028951719083849,1.2867655951467198
Clade1,26.75,1.1100107610667296,1.024613665787463,1.2683015460568168
Clade1,27,1.1006009082292798,1.0202183379926153,1.2507122591535766
Clade1,27.25,1.0909017942856698,1.0163406240090602,1.2333419341530187
Clade1,27.5,1.0815290481020705,1.0127160981704195,1.2171044661581296
Clade1,27.75,1.0729376937383723,1.009406042652325,1.2007881939044454
Clade1,28,1.0644856719465368,1.0066835002926524,1.1844612939000554
Clade1,28.25,1.0564915990409536,1.0044634519150573,1.1693167738804102
Clade1,28.5,1.0491812480041751,1.0026857854848006,1.1539862291817298
Clade1,28.75,1.0421762352989545,1.0015867667358114,1.1408891344951861
Clade1,29,1.0353087632530824,1.0008342669158856,1.1282545956392127
Clade1,29.25,1.0292635436098192,1.0003107888874292,1.1158562665758573
Clade1,29.5,1.023570433846381,1.0001112286784664,1.1048441857978697
Clade1,29.75,1.0184932001671674,1.0000994071239273,1.0943143917376714
Clade1,30,1.0141863739677617,1.0000400472760635,1.084314919824172
Clade1,30.25,1.0105804842738628,1.0000239122306593,1.0744246241482518
Clade1,30.5,1.0077157576613318,1.000029231090473,1.0647280144366564
Clade1,30.75,1.0058227322534528,1.0000172222478119,1.055822301719763
Clade1,31,1.0046758551182582,1.0000053522737444,1.0491148685040625
Clade1,31.25,1.003806477287387,1.0000084463365173,1.0436593606726736
Clade1,31.5,1.0032756891085002,1.0000086502587615,1.0400239325418958
Clade1,31.75,1.0033518961797692,1.0000068462811673,1.042382586338853
Clade1,32,1.0039908016332786,1.000009097330279,1.0492684532969423
Clade1,32.25,1.0051390155139863,1.0000061654708443,1.0569922809180747
Clade1,32.5,1.0065518738144736,1.000014890700974,1.0667869221252217
