Group,T_C,tax,lo,hi
Clade1,37,1.2658343972214725,1.0840330608006825,1.5886734310030701
Clade1,40,1.8343067303415013,1.3946936444997515,2.542526636056748
Clade1,42,2.5548512433958894,1.8146537359285662,3.7460633804532812
Clade1,44,3.7243161482645277,2.510678196529504,5.756670064364894
Clade2,37,1.274610892361328,1.054927790724066,1.6896177822829925
Clade2,40,2.1587103246758783,1.469312683488822,3.295646687624466
Clade2,42,3.4155968898023126,2.118021066315519,5.612769901852146
Clade2,44,5.644259032405623,3.2849881837451567,9.986389041918299
Clade3,37,1.1578071375757697,1.0307983812375527,1.3913209142053462
Clade3,40,1.5759748346089721,1.2415209128265932,2.09800717408001
Clade3,42,2.0984354283798803,1.5428175916936417,2.9586598796663357
Clade3,44,2.9221447331986674,2.0315514760392577,4.329885755686802
Clade4,37,1.0641424448528674,1.0035465623926332,1.205020320244212
Clade4,40,1.3190956533123575,1.1161284773034328,1.6435048306728521
Clade4,42,1.6373944778603144,1.3012936887389939,2.1609684509105462
Clade4,44,2.11997772781549,1.5932854676034898,2.9514619708426064
para,37,1.5368434775011044,1.1713438907579443,2.1986502038326208
para,40,2.9534828052609616,1.8669000685176353,5.001027374029148
para,42,5.097347762522862,2.9012213767836013,9.656563071308328
para,44,9.179339666472263,4.678839670161944,19.58729775776315
Hae,37,2.028809052016733,1.4199584142133999,2.9798991281075518
Hae,40,3.9682681905068238,2.4244508705484775,6.646483859209602
Hae,42,6.63286950490971,3.795107397417617,12.098750136653255
Hae,44,11.335903404431583,6.098846131976169,22.836179399113412
Duo,37,2.3939507102608895,1.1590572655579228,7.415056711884816
Duo,40,15.179687742993455,3.23165404376087,72.12612490402446
Duo,42,63.66372359615592,11.090435806525742,372.6458977101027
Duo,44,271.41574056714705,41.77604563407795,1950.2905536286737
