Isolate,Group,T_C,tax,lo,hi
Clade1_2068,Clade1,37,1.3064311961810557,1.2046524064135777,1.4337901987187693
Clade1_2068,Clade1,40,1.9267477315800794,1.7082823367908018,2.187441227985269
Clade1_2069,Clade1,37,1.4055422226465928,1.288226115663258,1.544835706473212
Clade1_2069,Clade1,40,2.157652229217359,1.903855784019885,2.4555055000509807
Clade1_2070,Clade1,37,1.191783207442107,1.1164465174158833,1.2910029919507946
Clade1_2070,Clade1,40,1.6555159839865725,1.4779258175924512,1.8709256563721512
Clade2_2071,Clade2,37,1.3515426506071426,1.237540164958342,1.4892683886773856
Clade2_2071,Clade2,40,2.377012437137678,2.093518539493173,2.7146419355517692
Clade2_2072,Clade2,37,1.2851469300598106,1.1875336244074952,1.4073649309989547
Clade2_2072,Clade2,40,2.1793454476673064,1.9101214492373502,2.524724260143324
Clade2_2073,Clade2,37,1.3028507146859223,1.1865484929455532,1.44597974941516
Clade2_2073,Clade2,40,2.228369941873127,1.9458645041970488,2.5667270671705005
Clade3_2074,Clade3,37,1.121348879023049,1.058549274621705,1.2039794339917536
Clade3_2074,Clade3,40,1.4879740664853784,1.3358019972859103,1.6640402035853268
Clade3_2075,Clade3,37,1.2256778737464866,1.1451664385046512,1.3363275684371134
Clade3_2075,Clade3,40,1.7345107940163031,1.558215254221336,1.9712543358627
Clade3_2076,Clade3,37,1.1786963681344824,1.110887350248029,1.2604528936913575
Clade3_2076,Clade3,40,1.626972979522979,1.4782445809362499,1.7967163015011574
Clade4_2077,Clade4,37,1.0448284852257537,1.0151675785375667,1.089631799076753
Clade4_2077,Clade4,40,1.2668496095833062,1.1779130390403425,1.372244653805797
Clade4_2078,Clade4,37,1.0767865273185195,1.0361894934759714,1.1316043174814865
Clade4_2078,Clade4,40,1.3497942489317367,1.2500557564800008,1.470355034455991
Clade4_2079,Clade4,37,1.104907751788379,1.0582831150872223,1.1678484204679922
Clade4_2079,Clade4,40,1.4174423183323495,1.3002397882691525,1.5662254224422811
para_2051,para,37,1.6361294463917675,1.387065250290016,1.9436366657728101
para_2051,para,40,3.2454473427636414,2.4569879052962986,4.383263694183503
para_2052,para,37,1.5506838263362868,1.390385510773361,1.744524326621808
para_2052,para,40,3.006907174551113,2.538702593523534,3.5696454610970134
para_2053,para,37,1.6468836282729777,1.4513058433984423,1.8823287497417893
para_2053,para,40,3.2787495142973846,2.6145700800246616,4.160787837200171
Hae_1724,Hae,37,1.1931740499462378,1.077102214802241,1.3160149356016717
Hae_1724,Hae,40,1.7980723260080866,1.520586833713855,2.0684652446490337
Hae_1768,Hae,37,2.919629211363299,2.3598830916391678,3.89901090908163
Hae_1768,Hae,40,6.199404026502156,4.54523387011885,10.082460688908235
Hae_1769,Hae,37,3.9573336464794,3.202398527141802,4.971260865883632
Hae_1769,Hae,40,8.958265084075471,6.627447863136888,12.952745931245342
Duo_1770,Duo,37,3.3688375331611993,2.7788827692915214,4.097339850581329
Duo_1770,Duo,40,25.062612795807233,16.09921927257568,38.840383726332824
Duo_1771,Duo,37,2.4914992969719822,2.095207357891816,2.971780021327974
Duo_1771,Duo,40,16.292113521183794,11.750431604232027,24.322816781434756
