Group,T,CUE_med,lo95,hi95
Clade1,22.0,0.5982,0.4562,0.7223
Clade1,22.1849,0.6,0.4647,0.7226
Clade1,22.3697,0.6018,0.4611,0.7274
Clade1,22.5546,0.6053,0.4628,0.726
Clade1,22.7395,0.6076,0.468,0.7297
Clade1,22.9244,0.6079,0.474,0.7323
Clade1,23.1092,0.6135,0.4657,0.7282
Clade1,23.2941,0.6125,0.4722,0.7306
Clade1,23.479,0.6154,0.4701,0.7326
Clade1,23.6639,0.614,0.4798,0.7328
Clade1,23.8487,0.6204,0.4764,0.7351
Clade1,24.0336,0.6225,0.4764,0.7358
Clade1,24.2185,0.6232,0.483,0.7372
Clade1,24.4034,0.6265,0.4797,0.7425
Clade1,24.5882,0.629,0.4916,0.748
Clade1,24.7731,0.6298,0.4952,0.7463
Clade1,24.958,0.6297,0.4945,0.7455
Clade1,25.1429,0.6317,0.4891,0.7458
Clade1,25.3277,0.6328,0.4908,0.7442
Clade1,25.5126,0.6348,0.4924,0.7474
Clade1,25.6975,0.638,0.4979,0.7504
Clade1,25.8824,0.6403,0.5035,0.753
Clade1,26.0672,0.6426,0.4998,0.7544
Clade1,26.2521,0.646,0.4992,0.7573
Clade1,26.437,0.6455,0.5011,0.7615
Clade1,26.6218,0.6455,0.5022,0.7585
Clade1,26.8067,0.648,0.5095,0.7633
Clade1,26.9916,0.6481,0.5078,0.7593
Clade1,27.1765,0.6511,0.512,0.7655
Clade1,27.3613,0.6545,0.5155,0.76
Clade1,27.5462,0.6544,0.5213,0.764
Clade1,27.7311,0.6539,0.5156,0.767
Clade1,27.916,0.656,0.512,0.7619
Clade1,28.1008,0.6566,0.5201,0.7703
Clade1,28.2857,0.6582,0.52,0.7695
Clade1,28.4706,0.6573,0.5232,0.7721
Clade1,28.6555,0.6608,0.5224,0.7668
Clade1,28.8403,0.6611,0.5249,0.7728
Clade1,29.0252,0.6602,0.5299,0.771
Clade1,29.2101,0.6633,0.5252,0.7706
Clade1,29.395,0.6645,0.5232,0.7708
Clade1,29.5798,0.6659,0.5264,0.7738
Clade1,29.7647,0.663,0.5281,0.7769
Clade1,29.9496,0.6651,0.5252,0.7755
Clade1,30.1345,0.6657,0.5292,0.7723
Clade1,30.3193,0.6673,0.5342,0.7755
Clade1,30.5042,0.6674,0.5277,0.7767
Clade1,30.6891,0.668,0.5331,0.7753
Clade1,30.8739,0.6681,0.53,0.776
Clade1,31.0588,0.6683,0.5331,0.7779
Clade1,31.2437,0.6666,0.5251,0.7777
Clade1,31.4286,0.6691,0.5348,0.7782
Clade1,31.6134,0.6685,0.533,0.7768
Clade1,31.7983,0.6684,0.5343,0.7747
Clade1,31.9832,0.6688,0.5276,0.7793
Clade1,32.1681,0.6669,0.5242,0.7748
Clade1,32.3529,0.667,0.5298,0.7783
Clade1,32.5378,0.6661,0.534,0.7809
Clade1,32.7227,0.6645,0.5282,0.7725
Clade1,32.9076,0.6646,0.5267,0.7753
Clade1,33.0924,0.6614,0.5325,0.7773
Clade1,33.2773,0.6612,0.5266,0.7738
Clade1,33.4622,0.6595,0.5234,0.7723
Clade1,33.6471,0.6605,0.5193,0.771
Clade1,33.8319,0.657,0.5212,0.7691
Clade1,34.0168,0.6568,0.5173,0.7699
Clade1,34.2017,0.6552,0.513,0.7694
Clade1,34.3866,0.6522,0.514,0.7641
Clade1,34.5714,0.6507,0.5074,0.7626
Clade1,34.7563,0.6507,0.5094,0.762
Clade1,34.9412,0.6466,0.505,0.7596
Clade1,35.1261,0.6435,0.5031,0.758
Clade1,35.3109,0.6403,0.4988,0.7584
Clade1,35.4958,0.6378,0.4972,0.7524
Clade1,35.6807,0.6354,0.4871,0.7492
Clade1,35.8655,0.6315,0.4862,0.748
Clade1,36.0504,0.6292,0.4863,0.7488
Clade1,36.2353,0.6244,0.4734,0.7464
Clade1,36.4202,0.6208,0.4791,0.7367
Clade1,36.605,0.6148,0.4743,0.7316
Clade1,36.7899,0.6122,0.468,0.7383
Clade1,36.9748,0.6074,0.461,0.7325
Clade1,37.1597,0.6037,0.4637,0.7271
Clade1,37.3445,0.6014,0.4535,0.7175
Clade1,37.5294,0.5944,0.4413,0.7234
Clade1,37.7143,0.5901,0.4376,0.7187
Clade1,37.8992,0.584,0.4326,0.7153
Clade1,38.084,0.5778,0.4358,0.7085
Clade1,38.2689,0.5751,0.4274,0.7073
Clade1,38.4538,0.5697,0.4286,0.7028
Clade1,38.6387,0.5608,0.4147,0.6903
Clade1,38.8235,0.5546,0.4079,0.6875
Clade1,39.0084,0.5484,0.4045,0.6805
Clade1,39.1933,0.5423,0.393,0.674
Clade1,39.3782,0.537,0.381,0.671
Clade1,39.563,0.5327,0.3878,0.6656
Clade1,39.7479,0.5241,0.3743,0.6533
Clade1,39.9328,0.5195,0.3662,0.6523
Clade1,40.1176,0.5111,0.3599,0.6445
Clade1,40.3025,0.5052,0.3474,0.6413
Clade1,40.4874,0.4945,0.3433,0.633
Clade1,40.6723,0.4856,0.3326,0.6308
Clade1,40.8571,0.4818,0.3323,0.624
Clade1,41.042,0.4715,0.3232,0.6128
Clade1,41.2269,0.4635,0.3163,0.6029
Clade1,41.4118,0.4568,0.308,0.6037
Clade1,41.5966,0.4521,0.3074,0.5929
Clade1,41.7815,0.4407,0.2924,0.5878
Clade1,41.9664,0.4307,0.2884,0.5771
Clade1,42.1513,0.4255,0.281,0.5656
Clade1,42.3361,0.4143,0.2728,0.5593
Clade1,42.521,0.4086,0.2648,0.5448
Clade1,42.7059,0.3971,0.263,0.5443
Clade1,42.8908,0.3929,0.2527,0.5295
Clade1,43.0756,0.3831,0.2498,0.522
Clade1,43.2605,0.3749,0.2425,0.5136
Clade1,43.4454,0.3652,0.2318,0.5095
Clade1,43.6303,0.3589,0.2307,0.4975
Clade1,43.8151,0.3491,0.2183,0.4899
Clade1,44.0,0.3403,0.2137,0.4814
Clade2,22.0,0.2477,0.1576,0.3584
Clade2,22.1849,0.2521,0.1579,0.3676
Clade2,22.3697,0.2574,0.1631,0.3697
Clade2,22.5546,0.261,0.1656,0.363
Clade2,22.7395,0.2612,0.1625,0.3762
Clade2,22.9244,0.2652,0.1692,0.381
Clade2,23.1092,0.2688,0.1737,0.3874
Clade2,23.2941,0.2737,0.1757,0.3942
Clade2,23.479,0.2757,0.1799,0.3965
Clade2,23.6639,0.2819,0.1799,0.3953
Clade2,23.8487,0.2839,0.1836,0.4058
Clade2,24.0336,0.2853,0.1892,0.4043
Clade2,24.2185,0.2914,0.1869,0.4145
Clade2,24.4034,0.2939,0.1918,0.4192
Clade2,24.5882,0.2969,0.1955,0.4216
Clade2,24.7731,0.2972,0.1993,0.4221
Clade2,24.958,0.305,0.2028,0.4262
Clade2,25.1429,0.3087,0.2043,0.4311
Clade2,25.3277,0.3111,0.2118,0.431
Clade2,25.5126,0.3146,0.204,0.4421
Clade2,25.6975,0.3171,0.2098,0.4422
Clade2,25.8824,0.3215,0.2165,0.4418
Clade2,26.0672,0.329,0.2175,0.4499
Clade2,26.2521,0.3281,0.2155,0.4553
Clade2,26.437,0.3308,0.2181,0.4571
Clade2,26.6218,0.3376,0.2236,0.4649
Clade2,26.8067,0.3373,0.2299,0.4704
Clade2,26.9916,0.3415,0.2283,0.4678
Clade2,27.1765,0.3471,0.236,0.4747
Clade2,27.3613,0.3504,0.2377,0.4775
Clade2,27.5462,0.3532,0.2382,0.4928
Clade2,27.7311,0.3564,0.237,0.4849
Clade2,27.916,0.3589,0.2436,0.4938
Clade2,28.1008,0.3624,0.2465,0.4904
Clade2,28.2857,0.367,0.252,0.4958
Clade2,28.4706,0.3672,0.2537,0.4943
Clade2,28.6555,0.3751,0.2531,0.5082
Clade2,28.8403,0.3781,0.2551,0.5064
Clade2,29.0252,0.3797,0.2595,0.5102
Clade2,29.2101,0.3805,0.2613,0.5122
Clade2,29.395,0.3837,0.2655,0.5154
Clade2,29.5798,0.3863,0.2645,0.5164
Clade2,29.7647,0.3902,0.268,0.5227
Clade2,29.9496,0.3892,0.2752,0.5214
Clade2,30.1345,0.3965,0.2711,0.5295
Clade2,30.3193,0.3989,0.2772,0.5278
Clade2,30.5042,0.3998,0.2738,0.5362
Clade2,30.6891,0.4025,0.2821,0.5325
Clade2,30.8739,0.4041,0.2818,0.538
Clade2,31.0588,0.4039,0.2829,0.5361
Clade2,31.2437,0.4064,0.2828,0.5399
Clade2,31.4286,0.4115,0.2838,0.5415
Clade2,31.6134,0.4112,0.2845,0.5471
Clade2,31.7983,0.4108,0.2849,0.5479
Clade2,31.9832,0.4149,0.2825,0.549
Clade2,32.1681,0.4136,0.2879,0.5508
Clade2,32.3529,0.412,0.2924,0.5508
Clade2,32.5378,0.4168,0.2931,0.5518
Clade2,32.7227,0.4142,0.2864,0.55
Clade2,32.9076,0.4166,0.2873,0.553
Clade2,33.0924,0.4174,0.2847,0.5572
Clade2,33.2773,0.4148,0.2885,0.5488
Clade2,33.4622,0.417,0.2915,0.5559
Clade2,33.6471,0.4147,0.2858,0.5499
Clade2,33.8319,0.415,0.2909,0.5472
Clade2,34.0168,0.4122,0.2843,0.5467
Clade2,34.2017,0.41,0.2834,0.5424
Clade2,34.3866,0.4093,0.2833,0.5442
Clade2,34.5714,0.4075,0.2771,0.5438
Clade2,34.7563,0.4066,0.284,0.5387
Clade2,34.9412,0.4043,0.2742,0.5335
Clade2,35.1261,0.4001,0.2723,0.5326
Clade2,35.3109,0.3973,0.2742,0.5324
Clade2,35.4958,0.3936,0.2711,0.5326
