T,OTU,Replicate,parameter,Estimate,SE,t value,p_value,T_end_min,keep,has_curvature,delta_aicc_curv,fit_valid
22,1,R1,r,0.00419449825457765,3.104547819776655e-5,135.10818637927784,0,529.63,TRUE,TRUE,1934.1593353600767,TRUE
22,1,R1,K,0.002344247967810769,2.5069997566662203e-5,93.50810511956823,0,529.63,TRUE,TRUE,1934.1593353600767,TRUE
22,1,R1,O2_0,10.101928778532297,0.005653468916804216,1786.854925213368,0,529.63,TRUE,TRUE,1934.1593353600767,TRUE
22,1,R2,r,0.005055372525854403,2.559471714235639e-5,197.51624906564518,0,547.65,TRUE,TRUE,2436.739398234906,TRUE
22,1,R2,K,0.0020116340304122257,1.9120900060464195e-5,105.20603235470232,0,547.65,TRUE,TRUE,2436.739398234906,TRUE
22,1,R2,O2_0,10.58833745843734,0.005440933582582752,1946.0515916482059,0,547.65,TRUE,TRUE,2436.739398234906,TRUE
22,1,R3,r,0.00481282570755265,3.542822682245362e-5,135.8472082633949,0,495.53,TRUE,TRUE,1868.614740502221,TRUE
22,1,R3,K,0.0025678160087163,2.9707512125995117e-5,86.43658875996455,1.3312574743932782e-299,495.53,TRUE,TRUE,1868.614740502221,TRUE
22,1,R3,O2_0,12.035984988393423,0.00664232687354203,1812.0133527808784,0,495.53,TRUE,TRUE,1868.614740502221,TRUE
22,1,R4,r,0.004593800505550988,3.475765754367946e-5,132.16657364720345,0,522.56,TRUE,TRUE,1911.3957690905402,TRUE
22,1,R4,K,0.0023181687585895052,2.7779200670731608e-5,83.44980066442109,6.68246707158559e-303,522.56,TRUE,TRUE,1911.3957690905402,TRUE
22,1,R4,O2_0,9.901613760004066,0.0065862418172356945,1503.3784113562754,0,522.56,TRUE,TRUE,1911.3957690905402,TRUE
22,1,R5,r,0.004839468194294321,4.393888280178657e-5,110.14090221924226,0,475.4599999999999,TRUE,TRUE,1610.2431066806841,TRUE
