OTU,otu_name,group,species
1,Clade1_2068,Clade1,Candida auris (Clade I)
2,Clade1_2069,Clade1,Candida auris (Clade I)
3,Clade1_2070,Clade1,Candida auris (Clade I)
4,Clade2_2071,Clade2,Candida auris (Clade II)
5,Clade2_2072,Clade2,Candida auris (Clade II)
6,Clade2_2073,Clade2,Candida auris (Clade II)
7,Clade3_2074,Clade3,Candida auris (Clade III)
8,Clade3_2075,Clade3,Candida auris (Clade III)
9,Clade3_2076,Clade3,Candida auris (Clade III)
10,Clade4_2077,Clade4,Candida auris (Clade IV)
11,Clade4_2078,Clade4,Candida auris (Clade IV)
12,Clade4_2079,Clade4,Candida auris (Clade IV)
13,glab_2048,glab,Candida glabrata
14,glab_2049,glab,Candida glabrata
15,glab_2050,glab,Candida glabrata
16,para_2051,para,Candida parapsilosis
17,para_2052,para,Candida parapsilosis
18,para_2053,para,Candida parapsilosis
