clade,T,n,resp,sd_rep_logR,sd_tmp_logR,cue,sd_rep_cue,sd_tmp_cue,sd_tot_logR,resp_lo,resp_hi,sd_tot_cue,cue_lo,cue_hi
clade1,22,15,848.483830174506,0.07946274447966781,0.014056612892660691,0.30237707558816246,0.01831541742431997,0.003086540297530329,0.0806964443222568,724.358182071571,993.879585937316,0.018573670785156125,0.26597268084925646,0.33878147032706846
clade1,24,15,978.4326166282776,0.09348168661650585,0.001229631795118813,0.32456184219813106,0.022938585688858273,2.600278519190259e-4,0.09348977338200247,814.6120313034188,1175.1979451497702,0.02294005945696016,0.27959932566248913,0.369524358733773
clade1,26,15,985.6370565524484,0.035557826202578496,0.05449857023434701,0.3801220599947821,0.009848440859886056,0.012058145385930794,0.06507267600030624,867.6129847048443,1119.716307127267,0.015568900331074038,0.349607015345877,0.4106371046436872
clade1,28,14,942.9358175079267,0.07114142798355666,0.09523869680250963,0.4380817617011372,0.023827446975527692,0.022097675813179316,0.11887603687951553,746.9521941817749,1190.341179616333,0.032496992256452806,0.37438765687848974,0.5017758665237847
clade1,30,15,1834.2365057819425,0.10177598946337305,0.07140956464812609,0.3355674688448852,0.028279135002335073,0.014336970386786703,0.12432891037278304,1437.5548614528695,2340.379243504407,0.031705806981559254,0.27342408716102906,0.39771085052874133
clade1,32,15,1573.402206634525,0.12588842990038066,0.1598193766337617,0.3639386243941329,0.03431483566670595,0.03373244037400524,0.20344564367512818,1055.998562243481,2344.316168937734,0.04811845259792602,0.26962645730219786,0.4582507914860679
clade1,34,15,1766.1146300267535,0.10180019356991692,0.11880372675632112,0.4125122998968844,0.02852631940507206,0.028689785268267643,0.1564532035532132,1299.7003404180698,2399.9077244153123,0.040458060723908874,0.33321450087802307,0.4918100989157458
clade1,36,15,1910.1482737445417,0.0960981547712102,0.01938944229090267,0.32394141408663846,0.027308099189695567,0.003879142140951651,0.0980347174361395,1576.2251187849447,2314.8130201743506,0.027582241118226027,0.2698802214949154,0.3780026066783615
clade1,38,15,2118.422819586245,0.07556623418615614,0.03195664953112409,0.30328076900998263,0.022851873082149216,0.006566366990738167,0.08204561656988195,1803.7402944176235,2488.0052058673405,0.02377656995488861,0.256678691898401,0.3498828461215643
clade1,40,15,2654.326701980047,0.08877981495106578,0.09424869715919923,0.21839934150745105,0.025548452769649174,0.017635536716402216,0.12947846330163149,2059.3970344253385,3421.12284473123,0.031044091131784888,0.15755292288915268,0.2792457601257494
clade1,42,14,3311.6507574702355,0.10090592494139279,0.0734629482937651,0.21169328020527617,0.020983941240767277,0.01266545489270832,0.12481510509666048,2592.9835884190115,4229.502565475155,0.02450998852784723,0.1636537026906956,0.25973285771985677
clade1,44,13,3492.5079617288825,0.10359857774307102,0.24372855656946935,0.09529605912260068,0.016536168404119447,0.025397381071614773,0.264832540670183,2078.2959686310633,5869.0446629572125,0.030306300183067788,0.03589571076378782,0.15469640748141356
clade2,22,15,1148.624094315975,0.06377926986034108,0.008840373854625216,0.1324195211691301,0.01507742820641992,0.001023472503406074,0.06438903224779631,1012.4390120164067,1303.1276890600636,0.01511212550520195,0.10279975517893429,0.16203928715932592
clade2,24,15,1340.4877334102953,0.03954882444938891,0.011114304156647823,0.14263383719931266,0.01249538161547142,0.001385974932708727,0.04108086260310342,1236.7847111958158,1452.8861386765418,0.012572012099515261,0.11799269348426275,0.16727498091436258
clade2,26,15,1253.3468675618894,0.026449131293859517,0.04888975801153639,0.2151264164218485,0.006060787627385512,0.007817725581564605,0.05558565448590495,1123.9728366181282,1397.6123970697959,0.009891914876954762,0.19573826326301716,0.23451456958067982
clade2,28,15,1331.7940707054806,0.057450007853494786,0.07747347844318209,0.29277889761915254,0.022403005388459896,0.015020183752700419,0.09645021132404434,1102.394403263124,1608.9300177106636,0.026972218492371903,0.2399133493741036,0.34564444586420145
clade2,30,15,1254.21457409486,0.11752921132734757,0.06790666882734087,0.2988352212302894,0.027127559725010478,0.012452055164763835,0.13573662433718645,961.2370364320785,1636.4893759304327,0.02984892250082626,0.24033133312866992,0.3573391093319088
clade2,32,15,1817.852179374032,0.10276166517288614,0.03914275697067682,0.2374148641143955,0.02221111517898134,0.007403948700335148,0.10996415439755734,1465.3966260835177,2255.079947117729,0.023412648159727035,0.19152607372133051,0.2833036545074605
clade2,34,14,1700.7140554318448,0.06291570398726339,0.1781149372896893,0.323420158577726,0.018664913145268854,0.03451259649193184,0.18890028240826667,1174.4543326200767,2462.784816750386,0.03923644096162821,0.2465167342929347,0.4003235828625173
clade2,36,14,2083.245979599282,0.08989536238962882,0.027785713525650128,0.27311827626766744,0.02300528572961785,0.005578721892686281,0.09409156208338869,1732.4000907205948,2505.1452229556144,0.023672036445082114,0.2267210848353065,0.31951546770002837
clade2,38,15,2100.451606350259,0.11449660448240546,0.06435082449858853,0.247014087318737,0.02599869684900257,0.013028437791814555,0.13134116282281247,1623.7263001077743,2717.143246572126,0.029080447540254913,0.1900164101398374,0.3040117644976366
clade2,40,14,2390.53952662571,0.09736928537490593,0.041810119830003496,0.1837511683557598,0.016756673642424037,0.006377230084045711,0.10596633359052827,1942.207222685643,2942.363287300382,0.017929171065712048,0.14860999306696418,0.21889234364455543
clade2,42,11,5023.645211946275,0.11696785706850477,0.23366221751335517,0.04939510246939592,0.010892226041528445,0.014174550768109211,0.2613034853966871,3010.1833082385915,8383.87853206128,0.017876198634426053,0.01435775314592086,0.08443245179287098
clade2,44,1,3492.44270869669,0,0.18766767137011986,0.04023078133111103,0,0.008838187580226276,0.18766767137011986,2417.593858088286,5045.163410190651,0.008838187580226276,0.022907933673867526,0.05755362898835453
clade3,22,15,791.0355770223517,0.04520531575957411,0.008577192696597291,0.30450331096812866,0.012919968888160318,0.0018817873407564957,0.046011833341841106,722.8196546161831,865.6893598823777,0.013056290425188235,0.2789129817347597,0.3300936402014976
clade3,24,15,876.0975300020456,0.05813426276296592,0.0028522665554598925,0.3346979279643851,0.018420562079232594,6.583056204861106e-4,0.05820419170040042,781.6422887494537,981.9669343935834,0.018432321438300318,0.29857057794531644,0.3708252779834537
clade3,26,15,952.2306692584716,0.05246022332504048,0.030147408095146933,0.37471559986795766,0.017130368270100095,0.006818430542996644,0.06050571250855949,845.7434885156437,1072.1256028442538,0.018437475752903967,0.3385781473922659,0.41085305234364944
clade3,28,15,1012.5507188252692,0.07147658107219533,0.04706901193588653,0.4061128085612785,0.021936069772718236,0.010772871833166131,0.08558267071312241,856.1844704575564,1197.474368631864,0.02443861543965588,0.358213122299553,0.45401249482300404
clade3,30,15,792.2062734056046,0.07595972076849512,0.2066201436983426,0.5371254804250603,0.022710330123223797,0.043797835036269446,0.2201403256133494,514.5778037601764,1219.622717958682,0.04933568128819219,0.44042754510020354,0.633823415749917
clade3,32,15,969.5888703978842,0.08326445626409477,0.09261143442601917,0.5115201268993,0.023351771915930093,0.020795804673993116,0.12453853806513147,759.5883198370835,1237.6474901576662,0.03126932592257939,0.45023224809104445,0.5728080057075556
