T,OTU,n,mean_r,median_r,mean_growth_fgC_h,median_growth_fgC_h,mean_T_end_min,median_T_end_min
42,1,4,0.010623859080599254,0.010448058616331544,841.409639183461,827.4862424134584,142.42499999999998,128.885
42,2,5,0.007918277062509624,0.007477827312154406,627.1275433507622,592.243923122629,162.316,166.53
42,3,5,0.01226963565052489,0.011656141915893413,971.7551435215713,923.1664397387583,145.43200000000002,133.39999999999998
42,4,3,0.0043021553130938375,0.004222097240816431,340.73070079703194,334.39010147266134,252.17,286.96999999999997
42,5,5,0.003168873741850432,0.002552651221722051,250.97480035455422,202.16997676038642,295.004,244.82
42,6,3,0.0033704386206773163,0.003163996849437617,266.9387387576435,250.58855047545927,254.51000000000002,242.8
42,7,5,0.012092693971000596,0.012299628515896083,957.741362503247,974.1305784589698,192.394,195.6
42,8,5,0.010428171566075612,0.010570068462904878,825.9111880331884,837.1494222620663,188.978,191.58
42,9,5,0.009181196309965209,0.009389986124874204,727.1507477492445,743.6869010900369,208.056,199.62
42,10,5,0.01415927367607041,0.014755773402243988,1121.4144751447764,1168.657253457724,170.70600000000002,166.5
42,11,5,0.014442066002894332,0.014180648006647121,1143.8116274292313,1123.1073221264521,171.10999999999999,168.5
42,12,4,0.011482745265313007,0.012083554491227715,909.4334250127902,957.0175157052349,156.7225,156.485
42,14,5,0.006876066389291407,0.007057717119767921,544.5844580318794,558.9711958856194,342.242,352.25
42,15,5,0.009181178675720209,0.009194587613032008,727.1493511170405,728.211338952135,284.798,278.98
44,1,4,0.006686124903939448,0.006173219147731383,529.5410923920043,488.9189565003256,211.17249999999999,210.17999999999998
44,2,4,0.005195000862251083,0.004818228288864869,411.44406829028577,381.6036804780976,200.89499999999998,193.135
44,3,5,0.006878981503796288,0.006689450814968761,544.815335100666,529.8045045455259,188.006,193.65000000000003
44,4,1,0.0018768360542921316,0.0018768360542921316,148.64541549993683,148.64541549993683,312.03000000000003,312.03000000000003
44,7,3,0.007935310283967344,0.00784311417290156,628.4765744902137,621.1746424938035,201.36666666666667,201.70000000000005
44,8,5,0.004949749672212416,0.004515097068494229,392.0201740392233,357.595687824743,263.074,249.83000000000004
44,9,4,0.006140473491442171,0.00684235212149371,486.3255005222199,541.9142880223018,236.29500000000002,219.74
44,10,5,0.010064505013190072,0.009936573837359491,797.1087970446537,786.9766479188717,198.418,200.63
44,11,5,0.0091934522378884,0.009456257112061852,728.1214172407613,748.9355632752986,218.69,197.61
44,12,1,0.006761355411709481,0.006761355411709481,535.4993486073909,535.4993486073909,190.62,190.62
44,14,5,0.001687247099557639,0.0016055433088672053,133.62997028496503,127.15903006228267,754.7040000000001,742.6500000000001
44,15,5,0.0030787256580369618,0.003186957654029098,243.83507211652736,252.40704619910457,473.25600000000003,450.59999999999997
