T,OTU,Replicate,drawdown
22.0,1,R1,6.8500000000000005
22.0,1,R2,7.930000000000001
22.0,1,R3,7.65
22.0,1,R4,8.16
22.0,1,R5,6.919999999999999
22.0,2,R1,7.579999999999999
22.0,2,R2,7.83
22.0,2,R3,7.74
22.0,2,R4,6.63
22.0,2,R5,7.63
22.0,3,R1,6.620000000000001
22.0,3,R2,7.030000000000001
22.0,3,R3,7.98
22.0,3,R4,6.98
22.0,3,R5,8.15
22.0,4,R1,7.760000000000001
22.0,4,R2,7.979999999999999
22.0,4,R3,7.620000000000001
22.0,4,R4,8.32
22.0,4,R5,7.859999999999999
22.0,5,R1,6.68
22.0,5,R2,7.119999999999999
22.0,5,R3,6.85
22.0,5,R4,6.6
22.0,5,R5,6.28
22.0,6,R1,5.530000000000001
22.0,6,R2,5.050000000000001
22.0,6,R3,4.920000000000001
22.0,6,R4,5.64
22.0,6,R5,5.67
22.0,7,R1,8.35
22.0,7,R2,8.55
22.0,7,R3,8.63
22.0,7,R4,8.31
22.0,7,R5,8.42
22.0,8,R1,8.870000000000001
22.0,8,R2,8.73
22.0,8,R3,8.41
22.0,8,R4,8.61
22.0,8,R5,8.31
22.0,9,R1,8.78
22.0,9,R2,8.579999999999998
22.0,9,R3,8.540000000000001
22.0,9,R4,8.799999999999999
22.0,9,R5,8.559999999999999
22.0,10,R1,7.7299999999999995
22.0,10,R2,7.719999999999999
22.0,10,R3,8.100000000000001
22.0,10,R4,7.309999999999999
22.0,10,R5,8.040000000000001
22.0,11,R1,8.15
22.0,11,R2,7.6899999999999995
22.0,11,R3,7.97
22.0,11,R4,7.800000000000001
22.0,11,R5,7.54
22.0,12,R1,8.08
22.0,12,R2,7.88
22.0,12,R3,8.26
22.0,12,R4,8.219999999999999
22.0,12,R5,8.139999999999999
22.0,13,R1,1.17
22.0,13,R2,1.6400000000000006
22.0,13,R3,1.9299999999999997
22.0,13,R4,1.08
22.0,13,R5,2.24
22.0,14,R1,1.1799999999999997
22.0,14,R2,1.5200000000000014
22.0,14,R3,0.4599999999999991
22.0,14,R4,0.08000000000000007
22.0,14,R5,1.5999999999999996
22.0,15,R1,1.6500000000000004
22.0,15,R2,0.9000000000000004
22.0,15,R3,2.4499999999999993
22.0,15,R4,2.549999999999999
22.0,15,R5,6.579999999999999
22.0,16,R1,7.37
22.0,16,R2,7.99
22.0,16,R3,8.44
22.0,16,R4,8.32
22.0,16,R5,7.09
22.0,17,R1,8.74
22.0,17,R2,8.280000000000001
22.0,17,R3,8.42
22.0,17,R4,7.85
22.0,17,R5,7.36
22.0,18,R1,7.1000000000000005
22.0,18,R2,5.98
22.0,18,R3,7.9399999999999995
22.0,18,R4,7.389999999999999
22.0,18,R5,8.25
22.0,19,R1,8.82
22.0,19,R2,8.46
22.0,19,R3,8.48
22.0,19,R4,7.289999999999999
22.0,19,R5,8.54
22.0,20,R1,8.530000000000001
22.0,20,R2,8.63
22.0,20,R3,8.360000000000001
22.0,20,R4,8.8
22.0,20,R5,8.389999999999999
22.0,21,R1,8.59
22.0,21,R2,8.75
22.0,21,R3,8.879999999999999
22.0,21,R4,8.41
22.0,21,R5,8.540000000000001
22.0,22,R1,7.4399999999999995
22.0,22,R2,7.859999999999999
22.0,22,R3,7.33
22.0,22,R4,7.029999999999999
22.0,22,R5,7.359999999999999
22.0,23,R1,7.8100000000000005
22.0,23,R2,7.71
22.0,23,R3,7.6
22.0,23,R4,6.390000000000001
22.0,23,R5,7.67
24.0,1,R1,7.669999999999999
24.0,1,R2,7.5600000000000005
24.0,1,R3,7.5600000000000005
24.0,1,R4,7.82
24.0,1,R5,7.709999999999999
24.0,2,R1,6.6899999999999995
24.0,2,R2,5.36
24.0,2,R3,6.199999999999999
24.0,2,R4,4.58
24.0,2,R5,7.42
24.0,3,R1,7.75
24.0,3,R2,7.3100000000000005
24.0,3,R3,7.83
24.0,3,R4,8.040000000000001
24.0,3,R5,7.770000000000001
24.0,4,R1,7.9799999999999995
24.0,4,R2,7.91
24.0,4,R3,8.309999999999999
24.0,4,R4,7.789999999999999
24.0,4,R5,8.440000000000001
24.0,5,R1,8.16
24.0,5,R2,8.55
24.0,5,R3,7.180000000000001
24.0,5,R4,7.930000000000001
24.0,5,R5,6.949999999999999
24.0,6,R1,7.91
24.0,6,R2,7.170000000000001
24.0,6,R3,7.9399999999999995
24.0,6,R4,8.16
24.0,6,R5,8.37
24.0,7,R1,8.09
24.0,7,R2,8.22
24.0,7,R3,7.97
24.0,7,R4,2.6100000000000003
24.0,7,R5,8.35
24.0,8,R1,8.25
24.0,8,R2,8.47
24.0,8,R3,7.590000000000001
24.0,8,R4,7.050000000000001
24.0,8,R5,8.100000000000001
24.0,9,R1,8.0
24.0,9,R2,8.25
24.0,9,R3,7.840000000000001
24.0,9,R4,8.260000000000002
24.0,9,R5,8.01
24.0,10,R1,7.459999999999999
24.0,10,R2,6.940000000000001
24.0,10,R3,8.180000000000001
24.0,10,R4,7.659999999999999
24.0,10,R5,7.19
24.0,11,R1,8.41
