T,OTU,Replicate,n_pts,drawdown
22.0,1,R1,600,6.87
22.0,1,R2,605,7.94
22.0,1,R3,579,7.65
22.0,1,R4,615,8.18
22.0,1,R5,578,6.919999999999999
22.0,2,R1,589,7.69
22.0,2,R2,577,7.83
22.0,2,R3,566,7.74
22.0,2,R4,443,6.6499999999999995
22.0,2,R5,588,7.6499999999999995
22.0,3,R1,596,6.720000000000001
22.0,3,R2,583,7.120000000000001
22.0,3,R3,626,8.0
22.0,3,R4,581,6.98
22.0,3,R5,620,8.16
22.0,4,R1,791,7.7700000000000005
22.0,4,R2,750,7.99
22.0,4,R3,762,7.620000000000001
22.0,4,R4,763,8.36
22.0,4,R5,783,7.889999999999999
22.0,5,R1,898,6.710000000000001
22.0,5,R2,898,7.139999999999999
22.0,5,R3,872,6.859999999999999
22.0,5,R4,799,6.619999999999999
22.0,5,R5,794,6.28
22.0,6,R1,898,5.530000000000001
22.0,6,R2,898,5.0600000000000005
22.0,6,R3,898,5.0200000000000005
22.0,6,R4,898,5.64
22.0,6,R5,898,5.699999999999999
22.0,7,R1,708,8.38
22.0,7,R2,689,8.61
22.0,7,R3,663,8.66
22.0,7,R4,707,8.34
22.0,7,R5,701,8.43
22.0,8,R1,748,8.870000000000001
22.0,8,R2,728,8.75
22.0,8,R3,709,8.43
22.0,8,R4,711,8.63
22.0,8,R5,630,8.33
22.0,9,R1,707,8.81
22.0,9,R2,689,8.61
22.0,9,R3,693,8.540000000000001
22.0,9,R4,703,8.799999999999999
22.0,9,R5,695,8.579999999999998
22.0,10,R1,759,7.7700000000000005
22.0,10,R2,725,7.74
22.0,10,R3,742,8.100000000000001
22.0,10,R4,744,7.34
22.0,10,R5,773,8.05
22.0,11,R1,727,8.18
22.0,11,R2,712,7.6899999999999995
22.0,11,R3,689,7.97
22.0,11,R4,687,7.800000000000001
22.0,11,R5,669,7.54
22.0,12,R1,652,8.09
22.0,12,R2,634,7.909999999999999
22.0,12,R3,638,8.26
22.0,12,R4,627,8.33
22.0,12,R5,649,8.4
22.0,13,R1,897,1.3200000000000003
22.0,13,R2,897,2.110000000000001
22.0,13,R3,897,1.9600000000000009
22.0,13,R4,897,1.1800000000000015
22.0,13,R5,897,2.4000000000000004
22.0,14,R1,897,1.4400000000000013
22.0,14,R2,897,1.6600000000000001
22.0,14,R3,897,1.1999999999999993
22.0,14,R4,897,1.42
22.0,14,R5,897,1.6999999999999993
22.0,15,R1,897,1.7799999999999994
22.0,15,R2,897,1.1099999999999994
22.0,15,R3,897,2.5700000000000003
22.0,15,R4,897,2.799999999999999
22.0,15,R5,897,6.69
22.0,16,R1,508,7.38
22.0,16,R2,537,7.99
22.0,16,R3,527,8.44
22.0,16,R4,537,8.37
22.0,16,R5,502,7.109999999999999
22.0,17,R1,551,8.75
22.0,17,R2,513,8.290000000000001
22.0,17,R3,489,8.45
22.0,17,R4,509,7.85
22.0,17,R5,558,7.38
22.0,18,R1,669,7.1000000000000005
22.0,18,R2,607,5.98
22.0,18,R3,650,8.01
22.0,18,R4,634,7.389999999999999
22.0,18,R5,693,8.29
22.0,19,R1,636,8.84
22.0,19,R2,580,8.5
22.0,19,R3,605,8.48
22.0,19,R4,581,7.3100000000000005
22.0,19,R5,614,8.54
22.0,20,R1,539,8.55
22.0,20,R2,516,8.63
22.0,20,R3,514,8.370000000000001
22.0,20,R4,542,8.8
22.0,20,R5,527,8.41
22.0,21,R1,579,8.62
22.0,21,R2,577,8.77
22.0,21,R3,582,8.879999999999999
22.0,21,R4,564,8.44
22.0,21,R5,572,8.58
22.0,22,R1,582,7.470000000000001
22.0,22,R2,566,7.859999999999999
22.0,22,R3,578,7.359999999999999
22.0,22,R4,565,7.029999999999999
22.0,22,R5,576,7.4
22.0,23,R1,648,7.8100000000000005
22.0,23,R2,641,7.739999999999999
22.0,23,R3,629,7.6
22.0,23,R4,600,6.4399999999999995
22.0,23,R5,604,7.699999999999999
