OTU,growth_E_eV,respiration_E_eV,growth_se_E_eV,respiration_se_E_eV,growth_r_squared,respiration_r_squared,growth_n,respiration_n,otu_name,cell_volume_um3,cell_carbon_fg
1,0.20282060070227315,0.5413523749405698,0.04755926684122684,0.04160042070695243,0.24514768289140748,0.7514888320394443,58,58,Clade1_2068,13,1300
2,0.14321353692345506,0.49339757215749874,0.06503704321170001,0.061226521392721,0.07968811729948284,0.536961942399262,58,58,Clade1_2069,13,1300
3,0.2337914633117048,0.5200133074773685,0.05001361063925087,0.05148563540553173,0.27365154501279376,0.637530111581476,60,60,Clade1_2070,13,1300
4,0.19284313896359098,0.43185009481553566,0.0728573689204935,0.062233065287333994,0.12077847764985446,0.48564357431341776,53,53,Clade2_2071,13,1300
5,0.3074690882018873,0.3469894848852544,0.08238725093144665,0.05768602645377467,0.2081020071744746,0.4057090114380304,55,55,Clade2_2072,13,1300
6,0.4645978883718314,0.4831838682136204,0.07332385746630375,0.06253572875346892,0.4503521882865837,0.549214662776487,51,51,Clade2_2073,13,1300
7,0.3192374861862366,0.2923723963268283,0.043063741929229536,0.04182040383003641,0.4997936577500387,0.47052290986693884,57,57,Clade3_2074,13,1300
8,0.1463781754617053,0.5229886954578467,0.060273005761747565,0.04639219630071776,0.092303781190154,0.6866306866211627,60,60,Clade3_2075,13,1300
9,0.21748739135344672,0.38823625276978885,0.054484293892702186,0.05563643075195789,0.21847177066057824,0.4607062951011051,59,59,Clade3_2076,13,1300
10,0.3784866887130028,0.2803212948507195,0.041668715575983645,0.0423131515014616,0.587203706544953,0.43075632064122577,60,60,Clade4_2077,13,1300
11,0.30943770559537787,0.3031667901136198,0.04583842946727974,0.04947848991978914,0.439996801749506,0.39294426287761386,60,60,Clade4_2078,13,1300
12,0.37280076160066333,0.3211352033998132,0.050252433379832186,0.06663025431996811,0.5094184846301343,0.3047277071288023,55,55,Clade4_2079,13,1300
13,0.25935896626011584,0.48530103465906366,0.09920638968429624,0.11489032603122243,0.12695811478730534,0.27516666078759017,49,49,glab_2048,8,800
14,0.07006402364217602,0.7898745420056742,0.09429365520897727,0.1393508875507467,0.009429369630526143,0.35647769749732505,60,60,glab_2049,8,800
15,0.21641838386276047,0.7887622022475218,0.08636914557171645,0.13962671248825187,0.09922323291555653,0.3589172820143684,59,59,glab_2050,8,800
16,0.3162497283322349,0.34037056349455186,0.06359343708457468,0.07704219406484274,0.3651324331393312,0.31220371795875523,45,45,para_2051,38,3800
17,0.1907457501458652,0.36795088012308447,0.06400437249418357,0.06715768880681058,0.1589358031907012,0.38975658012812947,49,49,para_2052,38,3800
18,0.28630966778948047,0.3247196466547368,0.0621690095837441,0.12618839235585314,0.3409334132577189,0.13905038508471496,43,43,para_2053,38,3800
