variable,mean,sd,q2.5,q50,q97.5,rhat,ess_bulk,ess_tail
b_lnB0_GroupClade1,5.68967345292136,0.08804168292493567,5.515442493617312,5.688990926692791,5.862366981306228,1.0003929378703926,6849.897734914768,7646.3005614805425
b_lnB0_GroupClade2,4.925429628770876,0.0935077683394749,4.745124228943562,4.92503371817552,5.109734593136057,1.0006931489871183,7374.0427275304055,7447.55281729959
b_lnB0_GroupClade3,5.620796087777687,0.08660632747451387,5.44763648995379,5.619948327300923,5.7944047514696635,1.0003154807014891,7473.365178813798,7667.660276684546
b_lnB0_GroupClade4,5.613435288780152,0.08549432794976584,5.446305356446382,5.6129408959347575,5.780881742411861,1.0004147639088994,6927.3030137892265,8138.017556619216
b_lnB0_Grouppara,6.819990098182901,0.09133071772390004,6.640794256804199,6.820227238175943,7.003812057816387,1.0013483548898303,6111.03711417257,7138.711209475761
b_E_GroupClade1,0.9164414475848883,0.06707484346814488,0.7953738811963684,0.9136141548351577,1.0548675867878177,1.000089897637496,8457.515244550492,7286.0655990246505
b_E_GroupClade2,1.1452022915068871,0.07254899096091633,1.0101970135954261,1.142916641248109,1.2948776814264655,1.0005086336091447,7917.158096783634,7845.165974530323
b_E_GroupClade3,0.949010118237864,0.06144086387020244,0.8322911786009546,0.9468457138840922,1.0736487971757362,1.00029326728103,8909.249103973472,8008.218640764066
b_E_GroupClade4,1.0213598842922595,0.06520570476699462,0.8994710924569406,1.0192203317623605,1.1539593523910312,0.9999416105876312,9491.061138624773,8205.973614903167
b_E_Grouppara,0.8325417473353675,0.07314644013512789,0.6988865418055611,0.8296673722683561,0.9850897909781593,1.0001266277174186,8531.615663164133,7241.376854862801
b_Eh_GroupClade1,2.379846226951018,0.1323395419470683,2.140595686383844,2.372867210051629,2.654844975395023,1.0001252595424568,9289.144695176563,8937.185194517353
b_Eh_GroupClade2,3.1895287660549143,0.18506425618896152,2.855777276951127,3.179755627912983,3.5842258797725552,1.0001935230734713,8624.585848881912,8724.566772733015
b_Eh_GroupClade3,2.373179452718363,0.11427594993022538,2.1719856635359625,2.365974092607349,2.6198091303330204,1.0004101884405765,9857.902304001636,9385.444261889976
b_Eh_GroupClade4,2.219890266802531,0.11786582158804375,2.017109793215271,2.2101797139207138,2.4736031374438676,1.000145838942015,9925.006229483075,8758.21522358871
b_Eh_Grouppara,3.218324859454626,0.2850737845887204,2.716094943994456,3.196441049950053,3.8301429220241223,0.9999963169389262,9932.649565094456,8671.23920813344
b_Th_GroupClade1,309.93448652206405,0.8843751792487783,308.13339671549926,309.9619124903689,311.6016348932944,1.000138290758668,7654.025410816018,6598.988707401787
b_Th_GroupClade2,309.2241000735638,0.673800583007101,307.8609056658293,309.2411122989706,310.4872638883204,1.0002537393038315,7077.299377285927,7317.33729746947
b_Th_GroupClade3,310.0735438080093,0.8151536707775726,308.4443180480073,310.083150399739,311.6430300926804,1.0008016244938889,7986.36033854963,7136.786401192303
b_Th_GroupClade4,309.949705407363,0.9196280259490449,308.10675361347717,309.96418984161085,311.6836808009897,0.999939630027897,8656.499262712643,7588.223155789145
b_Th_Grouppara,308.9147568101115,0.6951716438821836,307.47025354796284,308.9429850380601,310.184306922497,1.0002340640491305,7922.74175486721,6770.820615730715
sd_Isolate__lnB0_Intercept,0.13301341648845483,0.03863993088444759,0.07927109592277468,0.12606654619309948,0.22627449718801879,1.001718547029024,4714.753162490979,6827.608639399851
sd_Isolate__E_Intercept,0.02395793207573907,0.018796050134452492,8.201573127469973e-4,0.020214138186711965,0.06987791978024742,1.0011468345027434,3851.4418098511146,6356.232657395236
sd_Isolate__Th_Intercept,0.4406950762228175,0.20309910888735663,0.0725198734924134,0.4207509323035055,0.8921237136931403,1.0005419635043291,3379.1018639751883,2822.966628449737
sigma,0.1226901071200826,0.006824562774878952,0.10977141715095237,0.12251954038877617,0.13626596814509626,1.000068509095582,11388.973448956049,10280.353123028948
nu,4.081243579308677,0.7847916953354851,2.8836114563971833,3.9667233776821473,5.9099590810157805,1.000338872380668,11730.247815479535,9532.70046028202
"r_Isolate__lnB0[Clade1_2068,Intercept]",0.01459461431186521,0.08289232312390023,-0.14987248587611446,0.014675893048216586,0.18123833147157187,1.000769434809226,7040.448673695402,7760.10919465496
"r_Isolate__lnB0[Clade1_2069,Intercept]",0.004748018752154141,0.08362218204023027,-0.15944217751471348,0.004705289919757856,0.16994496007275503,1.0001869273550015,7543.401081426434,8013.88836840143
"r_Isolate__lnB0[Clade1_2070,Intercept]",-0.021826719411460506,0.08360973664596759,-0.1891795773177361,-0.020189161855362313,0.1404222129694201,1.0006583571619891,7248.697658534661,7712.09294508031
"r_Isolate__lnB0[Clade2_2071,Intercept]",0.21393341124427526,0.08572517057047865,0.051508267998365734,0.2120222094080014,0.39136232312324404,1.0007564762939565,7807.45503781872,8002.488614291659
"r_Isolate__lnB0[Clade2_2072,Intercept]",0.008039867798273417,0.0838415521859944,-0.161776585840647,0.008344035414641071,0.16966998149055879,1.0007318910956566,8006.237789843716,7353.435441052641
"r_Isolate__lnB0[Clade2_2073,Intercept]",-0.23324135330139598,0.08626312339650068,-0.4143905470510109,-0.22936839688926206,-0.07279252924743383,1.0004228510859903,8197.417281681612,7380.521793287421
"r_Isolate__lnB0[Clade3_2074,Intercept]",-0.050551252923997654,0.08317308630084418,-0.21862021043635155,-0.05040212952238313,0.11662464277955494,1.0003458890292263,7708.730778376695,8188.329283658208
"r_Isolate__lnB0[Clade3_2075,Intercept]",0.06110926611523109,0.08276650155582219,-0.10290016020914365,0.06094381103301692,0.23053204978403583,1.0003081031876204,7761.994107434815,8292.985070641076
"r_Isolate__lnB0[Clade3_2076,Intercept]",-0.009282317126530696,0.08317610986122083,-0.17852754174808189,-0.009178232120372252,0.15620042103571935,1.0007179356902418,7777.6666949407645,7827.918363291854
"r_Isolate__lnB0[Clade4_2077,Intercept]",-0.07623979490166195,0.08215776321846355,-0.24487623492086524,-0.07558764445899074,0.08393107199067978,1.0003527613632741,6956.6733729645775,7675.283037106817
"r_Isolate__lnB0[Clade4_2078,Intercept]",0.037490109869947726,0.08199247361904208,-0.12589026977905138,0.0368205617538345,0.2009984071785814,1.0005842683961357,7037.978159651868,7518.3511140783085
"r_Isolate__lnB0[Clade4_2079,Intercept]",0.03509854637112569,0.08217048393318596,-0.12872729261784022,0.03502347306207094,0.19755294506108811,1.000677858632838,7034.544521935999,8140.80611452263
"r_Isolate__lnB0[para_2051,Intercept]",-0.0596380733368488,0.08384085838122246,-0.22796098946808407,-0.05973942968398731,0.10832400068461263,1.0005584729137669,6467.107268118234,7438.596337209157
"r_Isolate__lnB0[para_2052,Intercept]",0.08223980277259405,0.08403920285671934,-0.08397614556368274,0.08242795529317386,0.24889380162538063,1.000748025261078,6648.816267680137,7468.789665351225
"r_Isolate__lnB0[para_2053,Intercept]",-0.024445631546537613,0.08409046232199945,-0.1943754247974247,-0.02431780508256374,0.1404444531206211,1.0007730816865414,6541.118732712846,7195.641685256503
"r_Isolate__E[Clade1_2068,Intercept]",-0.007166276701383276,0.024267305961486497,-0.06540567803467635,-0.002893849436659145,0.03702555654724353,1.0005107630407049,12773.674609572836,8650.101839097802
"r_Isolate__E[Clade1_2069,Intercept]",-7.839064031599283e-4,0.02640422381237009,-0.05819778591872159,-1.6679424096103487e-4,0.055906440038261104,1.0002386852450866,8515.481966413065,7809.710245203021
