variable,mean,sd,q2.5,q50,q97.5,rhat,ess_bulk,ess_tail
b_alpha_GroupClade1,7.0460170158066635,0.10528725140164336,6.835882688921651,7.046581366804708,7.253467300399078,1.000021388079402,7279.087241580519,7893.797704621047
b_alpha_GroupClade2,7.082403024379519,0.10753156747007624,6.870546970802206,7.081665762027326,7.292225247855915,1.0002849476850548,7670.030703516451,7208.010646912245
b_alpha_GroupClade3,6.8008389160542695,0.10557859517167238,6.590752017914992,6.800666748087525,7.01087583788895,1.000746922135194,7409.824106169235,7291.996168861395
b_alpha_GroupClade4,6.698442836528399,0.10624445931789109,6.489082457598076,6.6996970380720064,6.908105813376204,1.0007495620894695,6332.6270735143125,7343.039149178312
b_alpha_Grouppara,8.247833249268853,0.11297133863057494,8.018905514177263,8.249108375874336,8.46791566652539,1.0003696998937512,7357.019454392822,6787.421568717279
b_E_GroupClade1,0.6537730656701586,0.03186083223295615,0.5912062934301154,0.6538017129149644,0.7157298361783934,1.0003816854012761,11809.22879633417,9008.253658929829
b_E_GroupClade2,0.5525359929826049,0.034315524802042224,0.4842272501362277,0.5524693987414098,0.6195193993182597,1.000142308188316,13671.614951873082,8351.071795474603
b_E_GroupClade3,0.6000726117756285,0.029826821064979345,0.5412874278997588,0.5998427093923087,0.6602432173762095,1.0001665442943464,12497.88369834954,7550.612419026275
b_E_GroupClade4,0.6220996391404632,0.03010554644902999,0.5613443371448698,0.62237156245439,0.681595950719244,1.0005056987207408,10744.20638624215,8062.323905183773
b_E_Grouppara,0.5513832235139527,0.038098914034885564,0.4775367148417344,0.5508043257666608,0.6279472579879862,1.0005974693295072,13816.837239848082,8497.025051802151
sd_Isolate__alpha_Intercept,0.16247342070686707,0.05048743566066844,0.09238263335784509,0.1535056893111871,0.28576750009980895,1.002238458029781,3664.7646688377645,5607.601794243361
sd_Isolate__E_Intercept,0.03124065880244248,0.019710604947990432,0.001954994497280907,0.02879467688014592,0.07790070243800533,1.0014776490230572,3373.0926174773726,5404.288949290477
sigma,0.22299644892792814,0.011055237600980728,0.20178152524584786,0.22293810699798122,0.24501301097929226,1.0002336099661695,11988.937791636925,8560.02422552164
nu,6.454473533357012,1.8791803778659535,4.01712913872504,6.085816611822225,11.19812613519933,1.000160970798986,11847.00683682542,7651.43436853299
"r_Isolate__alpha[Clade1_2068,Intercept]",-0.054644847434932226,0.10368643702512251,-0.2636458475735753,-0.0537826908981097,0.14993884266153173,1.0000037369808963,7583.092417302453,7984.9899850075635
"r_Isolate__alpha[Clade1_2069,Intercept]",0.1767411134438538,0.10654281616217312,-0.02482499128877455,0.17299437538122509,0.39504145069052943,1.0000246650185594,7276.583673865032,7875.888780367956
"r_Isolate__alpha[Clade1_2070,Intercept]",-0.11057963969254238,0.10361356705292593,-0.320129798257221,-0.10942031474501585,0.09056699428151005,0.9999625102999099,7631.388382926452,8182.596459647522
"r_Isolate__alpha[Clade2_2071,Intercept]",0.02142724887539277,0.10627747482011847,-0.1905039977702815,0.019623334464688544,0.23453663505432643,1.0002988584066899,7740.606813724711,7184.145205292278
"r_Isolate__alpha[Clade2_2072,Intercept]",0.027090859315992373,0.10824188676068291,-0.18341925113392854,0.02526134500308687,0.2457021361908709,1.00073499598823,7345.368351302375,6719.66662841422
"r_Isolate__alpha[Clade2_2073,Intercept]",-0.04017643746774643,0.1066055959412251,-0.25721401657076026,-0.038588403816091604,0.17011316697483922,1.0003147617414703,7724.904260909959,7912.053745008343
"r_Isolate__alpha[Clade3_2074,Intercept]",0.06353467726033372,0.10733253597784591,-0.14623870381916482,0.06195299113367497,0.2826782731214681,1.0003193002833142,7621.612134714162,6991.310851940133
"r_Isolate__alpha[Clade3_2075,Intercept]",-0.05320282946243804,0.11052223482561571,-0.28034758331512755,-0.05159349448248085,0.15710487785322802,1.0006512655727409,6722.7893110606365,7810.647343502431
"r_Isolate__alpha[Clade3_2076,Intercept]",-0.0018424316108942163,0.1057250891598397,-0.20726058760636418,-0.002849121635075322,0.2092052946807861,1.0008205050857715,7745.370907411022,7235.10964487759
"r_Isolate__alpha[Clade4_2077,Intercept]",-0.07339710949839472,0.10511383730623114,-0.28040334423360386,-0.07270406178859531,0.13468129551766642,1.000069647953035,6477.237283908731,6990.260755265884
"r_Isolate__alpha[Clade4_2078,Intercept]",-0.06749925512111585,0.1056363651411029,-0.2791187988264383,-0.06643844273282473,0.14168053918774,1.0003731679578947,6586.116652047764,7452.58431863097
"r_Isolate__alpha[Clade4_2079,Intercept]",0.14598471182263312,0.10608213584536179,-0.06331689413833616,0.1437516755391753,0.360515775485469,1.0004694709163782,6832.036721473293,7062.974359264495
"r_Isolate__alpha[para_2051,Intercept]",0.2228379908104458,0.11115177843190832,0.008330336270707962,0.2189375906121973,0.4622544428163026,1.0007140758800916,7400.537060121795,7009.833217933333
"r_Isolate__alpha[para_2052,Intercept]",-0.032530118254379396,0.10808057007678108,-0.2479160715418301,-0.03355965542559873,0.18858434111287373,1.0005341950512792,7592.808719955358,6771.443540330865
"r_Isolate__alpha[para_2053,Intercept]",-0.18641101468346677,0.11268431099573054,-0.42578089594516944,-0.18188381025751849,0.02451578345324308,1.0009024216225593,7834.851404370678,7746.643824205
"r_Isolate__E[Clade1_2068,Intercept]",0.0054753062815542305,0.028749687957946177,-0.05118390226185846,0.0028922951937640244,0.07021275111316723,0.9999691338968292,13262.39659600999,8322.502998249194
"r_Isolate__E[Clade1_2069,Intercept]",-0.01214252953911256,0.029740912522462436,-0.08283127983277735,-0.007115739575691711,0.040871694039025866,1.0005242657511757,11320.401758093292,8636.012914291607
"r_Isolate__E[Clade1_2070,Intercept]",0.007396300038147438,0.02849792998176678,-0.047356361433493074,0.003934539645620046,0.0732363750162549,1.000413314872467,11373.848435961498,8734.7004844617
"r_Isolate__E[Clade2_2071,Intercept]",-0.0016401099479808083,0.028990691906330846,-0.06259632883093612,-5.885897499907453e-4,0.05859523115192493,1.0012281737431188,13327.167368744442,8588.749458076809
"r_Isolate__E[Clade2_2072,Intercept]",-0.017274141515752454,0.03150752500106406,-0.09200742354492544,-0.01149331959599325,0.034469556573919966,1.0005919343405068,10487.983099828612,8881.017853943393
"r_Isolate__E[Clade2_2073,Intercept]",0.018584025658953427,0.03196828700961004,-0.03225813762571235,0.011587134033132968,0.09553915781794758,1.000230634995201,10073.097812579192,8715.690097300148
"r_Isolate__E[Clade3_2074,Intercept]",-0.020260467937061398,0.030585319004219583,-0.0925916996366965,-0.014223939460490626,0.028305242460886695,1.0001696968480485,9421.848987979585,7478.994695110484
"r_Isolate__E[Clade3_2075,Intercept]",0.033451465614177,0.034840257902779594,-0.01458238155367249,0.02641091425130483,0.11731324187587125,1.000415418457768,6480.188673650324,8001.066012702242
"r_Isolate__E[Clade3_2076,Intercept]",-0.013653479084763909,0.028898975824626704,-0.08137173152951528,-0.008685884731594592,0.036970551070690756,1.0001419397891609,11827.943262615527,9037.000131263612
"r_Isolate__E[Clade4_2077,Intercept]",-0.0053481297298720466,0.027840991992772228,-0.0641797053343571,-0.003189685308605538,0.050092586011954966,1.0004930576307756,12228.896665645347,8694.440032644688
"r_Isolate__E[Clade4_2078,Intercept]",-0.0016771891898680563,0.027733880861984497,-0.06122628119529844,-7.795929419403645e-4,0.05536558883401872,1.0004887290197246,11958.31933997979,8372.799817391011
"r_Isolate__E[Clade4_2079,Intercept]",0.008095246416792372,0.028197336363493062,-0.04638023843213462,0.004743018926593407,0.07042067204545815,1.0000065437656505,11741.21765347222,9055.066622417091
"r_Isolate__E[para_2051,Intercept]",-1.1428252128972244e-4,0.030466614386156683,-0.06721425893576842,1.6146327086334346e-4,0.06289488615445972,1.0009404150023269,14537.875179398394,8728.191791227575
"r_Isolate__E[para_2052,Intercept]",-0.0059699297002944645,0.029913476422548626,-0.07438207490503437,-0.002792783868600401,0.0525248679030634,1.0004777228328579,13098.751746886648,9472.350642077543
"r_Isolate__E[para_2053,Intercept]",0.004763824445914611,0.0324221320312131,-0.05888341564932602,0.001505706743433425,0.07819760772628051,1.0007663534640627,13902.606994797903,8410.268962651664
lprior,-21.606285763713082,0.12029467274863033,-21.85942993146114,-21.598933015410175,-21.394404770254727,1.0002914950296622,9571.001557693626,8725.947134245422
lp__,-146.65783127390205,6.106182164109725,-159.05426078615648,-146.5178752193787,-135.26775317050962,1.003738205037684,2422.9666818090036,4731.672864381424
