T,OTU,Replicate,r,K,O2_0,T_end_min,keep,has_curvature,delta_aicc_curv,fit_valid,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,n0_ramp_factor,N_inoculation_cells_per_L,otu_name,cell_volume_um3,cell_carbon_fg,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
22,1,R1,0.00419449825457765,0.002344247967810769,10.101928778532297,529.63,TRUE,TRUE,1934.1593353600772,TRUE,37.1,582.8,0,1,42000000,Clade1_2068,13,1300,42000000,4.594855537634701,82322320518.37077,5.581542780501831e-11,327.1708638570567,1257.0768861167726,0.251669895274659,0.966982220089825,0.20651496198272104,3.8422641652650293
22,1,R2,0.005055372525854403,0.0020116340304122257,10.58833745843734,547.65,TRUE,TRUE,2436.739398234904,TRUE,65.2,619.9,0,1,42000000,Clade1_2068,13,1300,42000000,5.943296047619937,124087398714.80765,4.789604834314823e-11,394.31905701664346,1078.7163634906306,0.3033223515512642,0.8297818180697158,0.2676914971133895,2.7356434955288
22,1,R3,0.00481282570755265,0.0025678160087163,12.035984988393423,495.53,TRUE,TRUE,1868.6147405022225,TRUE,87.2,582.8,0,1,42000000,Clade1_2068,13,1300,42000000,5.2595832279865,86027384682.38864,6.113847639800715e-11,375.4004051891067,1376.9627602033825,0.288769542453159,1.059202123233371,0.21422523173444222,3.667984214107979
22,1,R4,0.004593800505550988,0.0023181687585895052,9.901613760004066,522.56,TRUE,TRUE,1911.3957690905404,TRUE,77.2,599.8,0,1,42000000,Clade1_2068,13,1300,42000000,5.060978320295305,91693535539.55066,5.5194494252131076e-11,358.31643943297706,1243.092200379423,0.27562803033305927,0.9562247695226331,0.2237507844811882,3.4692580735245415
22,1,R5,0.004839468194294321,0.002110702727485273,10.031708971470014,475.4599999999999,TRUE,TRUE,1610.243106680682,TRUE,77.2,552.7,0,1,42000000,Clade1_2068,13,1300,42000000,3.918268753573122,77968008240.62013,5.025482684488744e-11,377.47851915495704,1131.8408498667598,0.29036809165765926,0.8706468075898152,0.25009850592431226,2.9984245259851003
22,2,R1,0.0038283857670708614,0.0032480124712262783,10.393753650006552,392.22999999999996,TRUE,TRUE,878.2065219659394,TRUE,64.2,458.4,0,1,42000000,Clade1_2069,13,1300,42000000,2.959992114307408,38275613133.33708,7.733363026729232e-11,298.6140898315272,1741.7105440473429,0.2297031460242517,1.339777341574879,0.1463561655204989,5.8326468956303605
22,2,R2,0.004791169056606754,0.0025061455678763314,10.843209968366084,514.55,TRUE,TRUE,1539.2504865587598,TRUE,71.2,587.8,0,1,42000000,Clade1_2069,13,1300,42000000,5.631941090245401,94384591550.58116,5.967013256848409e-11,373.7111864153268,1343.8926725671522,0.2874701433964052,1.0337635942824248,0.2175770533239929,3.596072907150301
22,2,R3,0.005277088507493177,0.0023239461528570915,10.411340551584535,480.50000000000006,TRUE,TRUE,2344.974303496475,TRUE,75.2,556.7,0,1,42000000,Clade1_2069,13,1300,42000000,5.1192548016674255,92518796705.20644,5.5332051258502187e-11,411.61290358446774,1246.190263764991,0.3166253104495906,0.9586078952038392,0.24828816333037038,3.0275782243771623
22,2,R4,0.0037857256304745608,0.005415488167106905,10.888941000916384,412.33000000000004,TRUE,TRUE,636.6202126352672,TRUE,75.2,494.6,0,1,42000000,Clade1_2069,13,1300,42000000,5.383595941390183,41752658774.46873,1.2894019445492632e-10,295.2865991770158,2903.995266450628,0.22714353782847369,2.2338425126543293,0.09229777543188919,9.83449731394606
22,2,R5,0.0038932730840364024,0.0032301255313474508,10.04021777070278,494.54999999999995,TRUE,TRUE,2074.298491973689,TRUE,56.1,552.7,0,1,42000000,Clade1_2069,13,1300,42000000,4.860210677394089,63195329862.42771,7.690775074636787e-11,303.6753005548394,1732.1188715818946,0.23359638504218416,1.3323991319860728,0.14916797813410926,5.703851674525959
22,3,R1,0.004951858423273577,0.0017656197437796476,9.98644203228871,510.59000000000003,TRUE,TRUE,1626.5106341241233,TRUE,57.1,568.7,0,1,42000000,Clade1_2070,13,1300,42000000,4.112190675788327,97819481794.753,4.203856532808685e-11,386.24495701533897,946.7939399130904,0.29711150539641457,0.7283030307023772,0.2897477019652761,2.4512784509326044
22,3,R2,0.005069813378800439,0.0019146586990872847,10.577661421672753,530.5999999999999,TRUE,TRUE,1908.039813589814,TRUE,63.2,599.8,0,1,42000000,Clade1_2070,13,1300,42000000,5.186124829675323,113762960965.41736,4.558711188303059e-11,395.44544354643426,1026.7144212021008,0.30418880272802634,0.789780324001616,0.27805976905160135,2.596349099370875
22,3,R3,0.004726998769106449,0.0020517212672499984,10.527535699450967,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE,76.2,568.7,0,1,42000000,Clade1_2070,13,1300,42000000,3.997744498401715,81836295998.39455,4.88505063630952e-11,368.705903990303,1100.2126981570154,0.2836199261463869,0.8463174601207811,0.25100499336812493,2.983984488043216
22,3,R4,0.004714949946162854,0.0021517598568328556,9.650380256114294,581.77,TRUE,TRUE,2127.0569605489404,TRUE,65.2,705.1,0,1,42000000,Clade1_2070,13,1300,42000000,6.632771383588891,129464446149.1005,5.123237754363942e-11,367.7660958007026,1153.8572785986366,0.28289699676977126,0.8875825219989513,0.24169324813762028,3.1374759440139566
22,3,R5,0.004846197373009392,0.002202872356839868,9.841130963364801,433.40999999999997,TRUE,TRUE,1672.5904002568436,TRUE,84.2,518.6,0,1,42000000,Clade1_2070,13,1300,42000000,3.258881291743374,62133883440.06141,5.244934182952066e-11,378.0033950947325,1181.2657879511955,0.29077184238056347,0.9086659907316889,0.2424234373415424,3.125013699030812
22,4,R1,0.003212950463664091,0.0021603025433283582,10.820481443948355,599.02,TRUE,TRUE,2141.177499254232,TRUE,50.1,659.1,0,1,42000000,Clade2_2071,13,1300,42000000,3.935102567542762,76505167457.77626,5.143577484115139e-11,250.61013616579908,1158.4381991694531,0.19277702781984543,0.8911063070534255,0.17785772842645023,4.622471448653025
22,4,R2,0.003236002432599628,0.0025251242132308806,10.970988301919162,710.33,TRUE,TRUE,2872.51746055784,TRUE,55.1,774.5,0,1,42000000,Clade2_2071,13,1300,42000000,6.992094338072803,116298422335.15768,6.012200507692574e-11,252.40818974277101,1354.0697599455373,0.1941601459559777,1.0415921230350287,0.15711898802703372,5.364603111037993
22,4,R3,0.002862510832482427,0.0026933885590683976,10.478394695439471,628.1,TRUE,TRUE,2087.0357449125086,TRUE,39.1,677.2,0,1,42000000,Clade2_2071,13,1300,42000000,4.73960867333446,73908223753.98386,6.412829902543805e-11,223.27584493362932,1444.299642967441,0.17175064994894562,1.11099972535957,0.13389249635388936,6.468678434054394
22,4,R4,0.003413900325157007,0.0023367214644860524,10.472389528665664,625.0699999999999,TRUE,TRUE,2011.4052285824637,TRUE,74.2,699.3,0,1,42000000,Clade2_2071,13,1300,42000000,5.097934792138243,91629774675.30522,5.563622534490601e-11,266.2842253622465,1253.0408824632777,0.20483401950942037,0.9638776018948291,0.1752648093490376,4.705651942989382
22,4,R5,0.003116538633212749,0.002340801556356217,10.743077134470692,729.3900000000001,TRUE,TRUE,2266.8623827484416,TRUE,66.2,797.6,0,1,42000000,Clade2_2071,13,1300,42000000,6.5421109097346974,117382294736.9246,5.5733370389433735e-11,243.09001339059444,1255.2287863256863,0.18699231799276494,0.9655606048659126,0.1622418496228076,5.163637818015988
22,5,R1,0.0024189658906686954,0.0021439817126161467,10.273744487829545,799.6,TRUE,TRUE,2253.2765172919744,TRUE,58.1,859.8,0,1,42000000,Clade2_2072,13,1300,42000000,5.245732044454959,102762418434.18839,5.104718363371777e-11,188.67933947215823,1149.6863353170525,0.14513795344012173,0.8843741040900404,0.14097741971892305,6.093334535372919
22,5,R2,0.0022518034193797663,0.002462565350367921,10.757573677119918,827.7,TRUE,TRUE,2443.174800233671,TRUE,68.2,899.9,0,1,42000000,Clade2_2072,13,1300,42000000,5.958252440558286,101620288966.56883,5.863250834209337e-11,175.64066671162178,1320.5232658857742,0.135108205162786,1.0157871276044417,0.11739399866878429,7.5183230091804125
22,5,R3,0.002247633834199033,0.002508096858497948,10.703764907058213,825.68,TRUE,TRUE,3552.103346357028,TRUE,70.2,898.9,0,1,42000000,Clade2_2072,13,1300,42000000,6.022401511439368,100849719030.3627,5.971659186899877e-11,175.31543906752458,1344.9390304491733,0.134858030051942,1.0345684849609025,0.11531979848298614,7.671537872549582
22,5,R4,0.00141347933266526,0.004517035789815889,10.887893615851482,546.88,TRUE,TRUE,611.6012486071695,TRUE,75.2,622.7,0,1,42000000,Clade2_2072,13,1300,42000000,3.727010172112958,34654236652.64439,1.0754847118609258e-10,110.25138794789028,2422.2101770413606,0.0848087599599156,1.8632385977241235,0.043535266032105904,21.969883754989144
22,5,R5,0.0016126658225202577,0.003711792411670511,10.427962487403914,617.0500000000001,TRUE,TRUE,997.8193226155781,TRUE,58.1,677.2,0,1,42000000,Clade2_2072,13,1300,42000000,3.9242731180707615,44404280379.67622,8.837600980167884e-11,125.7879341565801,1990.4073762009461,0.09675994935121547,1.531082597077651,0.059440607178799836,15.82351590036687
22,6,R1,0.0012822127255584287,0.0031072953761420294,10.248386712347138,730.3900000000001,TRUE,TRUE,1452.0739935802603,TRUE,63.1,800.6,0,1,42000000,Clade2_2073,13,1300,42000000,3.7588554154996796,50806862026.421814,7.398322324147688e-11,100.01259259355744,1666.2525676980663,0.07693276353350573,1.281732744383128,0.0566237702254426,16.660427697035843
22,6,R2,0.001499582160899866,0.0026679373632594325,9.347553969034628,895.97,TRUE,TRUE,2979.1738911867055,TRUE,56.1,1021.3,0,1,42000000,Clade2_2073,13,1300,42000000,5.039790417575849,79338893203.84413,6.352231817284364e-11,116.96740855018956,1430.6517224339489,0.08997492965399197,1.1005013249491915,0.0755789368381673,12.231199615062604
22,6,R3,0.0017183657430096377,0.0023882754752597725,10.042992189072082,878.9000000000001,TRUE,TRUE,3246.0171139292165,TRUE,65.2,945.1,0,1,42000000,Clade2_2073,13,1300,42000000,4.903346067965606,86229807653.22112,5.6863701791899345e-11,134.03252795475174,1280.6861470513838,0.10310194458057827,0.985143190039526,0.09474147074093756,9.555039859307382
22,6,R4,0.0014630977327868735,0.0029819168710240977,10.809507601852749,900,TRUE,TRUE,1971.1083142648763,TRUE,73.2,1004.3,0,1,42000000,Clade2_2073,13,1300,42000000,5.566858041756579,78408637083.66164,7.099802073866899e-11,114.12162315737613,1599.0197395315076,0.08778586396721241,1.2300151842550058,0.06661541519157241,14.011540453875472
22,6,R5,0.0011837598013284898,0.0035128903396173103,10.631589052367977,707.3,TRUE,TRUE,1552.401587941542,TRUE,68.2,776.5,0,1,42000000,Clade2_2073,13,1300,42000000,3.887693740976581,46481136994.10391,8.364024618136453e-11,92.3332645036222,1883.748353430282,0.07102558807970939,1.4490371949463707,0.046725430602487676,20.40162192420244
22,7,R1,0.004241767659380423,0.0018118460657559612,11.708642130164996,642.08,TRUE,TRUE,2521.726521406373,TRUE,34.1,685.2,0,1,42000000,Clade3_2074,13,1300,42000000,6.080128061468425,140942094037.73334,4.31391920418086e-11,330.85787743167305,971.5822906697225,0.2545060595628254,0.7473709928228635,0.25402923338426675,2.9365548077977026
22,7,R2,0.004407111416069935,0.0019039314191829897,10.81847924898367,598.93,TRUE,TRUE,2753.8468924162803,TRUE,37.1,641,0,1,42000000,Clade3_2074,13,1300,42000000,5.619162888237229,123956587368.69704,4.533170045673785e-11,343.7546904534549,1020.962036725817,0.2644266849641961,0.7853554128660131,0.2518872111752893,2.9700308536271667
22,7,R3,0.004458692987633664,0.0021005052272242944,11.622057889692101,594.9,TRUE,TRUE,2363.812069270189,TRUE,50.1,675.1,0,1,42000000,Clade3_2074,13,1300,42000000,6.213445268517477,124239015402.30156,5.0012029219626054e-11,347.77805303542584,1126.3725538288554,0.2675215792580199,0.8664404260221965,0.23591758631446558,3.2387683581462783
22,7,R4,0.0036654717556309888,0.0023139562394328167,10.862308545966208,601.9499999999999,TRUE,TRUE,2551.7288170863294,TRUE,34.1,641,0,1,42000000,Clade3_2074,13,1300,42000000,5.102824401482115,92619999120.97792,5.509419617697182e-11,285.90679693921714,1240.8332838582571,0.21992830533785934,0.9544871414294286,0.18726618927163893,4.339992253216891
22,7,R5,0.004276188647108508,0.0018911154332146407,11.577784768396102,635.0500000000001,TRUE,TRUE,2334.6512266986365,TRUE,50.1,685.2,0,1,42000000,Clade3_2074,13,1300,42000000,6.241634538605842,138621178811.82327,4.502655793368193e-11,333.5427144744636,1014.0896068656546,0.25657131882651046,0.7800689283581959,0.24750275664417182,3.0403590390618302
22,8,R1,0.004344281953674805,0.001476923628695991,10.529532343896339,651.12,TRUE,TRUE,2459.5985741631534,TRUE,50.1,701.3,0,1,42000000,Clade3_2075,13,1300,42000000,5.413192767788338,153937611823.46725,3.516484830228551e-11,338.8539923866348,791.9838607889578,0.2606569172204883,0.6092183544530445,0.2996486113681753,2.337242229937485
22,8,R2,0.004231538816022748,0.0016747113124910508,11.076298896711883,629.0300000000001,TRUE,TRUE,2461.282665243243,TRUE,53.1,690.2,0,1,42000000,Clade3_2075,13,1300,42000000,5.272251688159433,132222532475.35728,3.987407886883454e-11,330.0600276497743,898.0453052570255,0.2538923289613649,0.6908040809669427,0.2687554713800941,2.720854481082267
22,8,R3,0.004702390775922322,0.0015049078303669228,10.954771143228436,521.71,TRUE,TRUE,2108.4933360851855,TRUE,57.2,579.9,0,1,42000000,Clade3_2075,13,1300,42000000,3.4007926744688257,94911654684.437,3.583113881826007e-11,366.78648052194114,806.9900775288237,0.28214344655533935,0.6207615980990951,0.3124840737414675,2.200163093199259
22,8,R4,0.004624358423137088,0.0014767167263539053,10.928035959946795,577.87,TRUE,TRUE,2631.7599935504045,TRUE,62.2,642,0,1,42000000,Clade3_2075,13,1300,42000000,4.302360757734134,122365480528.54373,3.515992205604536e-11,360.6999570046929,791.8729117104084,0.27746150538822534,0.6091330090080065,0.3129519762223837,2.1953784477443277
22,8,R5,0.0052644833156519875,0.0015068080764703443,10.606594552849215,512.6800000000001,TRUE,TRUE,2295.3617765505237,TRUE,53.1,569.9,0,1,42000000,Clade3_2075,13,1300,42000000,3.9684002748548335,110613165768.48286,3.5876382773103436e-11,410.629698620855,808.0090633559823,0.31586899893911924,0.6215454333507556,0.33695768707926577,1.96773167179522
22,9,R1,0.004440157403676067,0.0017393179698902237,11.645815836569053,598.92,TRUE,TRUE,2050.14910255694,TRUE,37.1,674.1,0,1,42000000,Clade3_2076,13,1300,42000000,5.204556830550862,125676495423.62431,4.141233261643389e-11,346.33227748673323,932.6899063491232,0.266409444220564,0.7174537741147102,0.2707789449343748,2.693049325686519
22,9,R2,0.00420859829162858,0.00211563032068852,10.981423835494622,491.60999999999996,TRUE,TRUE,1892.1403839532427,TRUE,53.1,548.8,0,1,42000000,Clade3_2076,13,1300,42000000,3.4770303521532533,69026839595.92255,5.037215049258381e-11,328.2706667470292,1134.4832168881005,0.2525158974977148,0.8726793976062311,0.2244196172846486,3.4559384429019118
22,9,R3,0.00453529628059494,0.0016858961405982944,11.364971680219401,595.9200000000001,TRUE,TRUE,2354.1541376256996,TRUE,54.1,659.1,0,1,42000000,Clade3_2076,13,1300,42000000,5.174292378353652,128904903841.66269,4.014038429995939e-11,353.75310988640535,904.043044865577,0.27211777683569643,0.6954177268196746,0.2812483632979144,2.5555762468233194
22,9,R4,0.004516874812547463,0.0016668219594842602,11.746959066292575,605.95,TRUE,TRUE,2473.785510934953,TRUE,51.1,657.1,0,1,42000000,Clade3_2076,13,1300,42000000,5.328884975343444,134275390176.4504,3.9686237130577626e-11,352.3162353787021,893.8147274992833,0.2710124887528478,0.687549790384064,0.2827280967042298,2.5369671838668704
22,9,R5,0.004358075219691199,0.001914378057383052,11.252670371023534,664.1700000000001,TRUE,TRUE,2826.776669455898,TRUE,53.1,718.3,0,1,42000000,Clade3_2076,13,1300,42000000,7.500346180768944,164551896307.7332,4.558042993769171e-11,339.92986713591347,1026.5639302111665,0.2614845131814719,0.7896645617008973,0.248760636744825,3.0199286072168454
22,10,R1,0.004117108562378504,0.0014303969197611032,10.626611896673628,658.12,TRUE,TRUE,2514.2296304259885,TRUE,18,680.2,0,1,42000000,Clade4_2077,13,1300,42000000,4.871815325399234,143048576825.05472,3.4057069518121506e-11,321.13446786552333,767.0344308684744,0.24702651374271026,0.5900264852834418,0.2951145435594962,2.3885148049248763
22,10,R2,0.004344462231637091,0.001486402103581533,10.707846998697368,587.85,TRUE,TRUE,2720.5720001339314,TRUE,6,635,0,1,42000000,Clade4_2077,13,1300,42000000,4.056737003581832,114627767102.78719,3.539052627575079e-11,338.8680540676931,797.0665874705469,0.26066773389822545,0.613128144208113,0.2983165066687382,2.352144375672907
22,10,R3,0.004057479661381235,0.0016663501362381033,9.981566242306787,591.87,TRUE,TRUE,2194.297098904879,TRUE,37.1,636,0,1,42000000,Clade4_2077,13,1300,42000000,4.12317622462374,103923777883.28905,3.9675003243764365e-11,316.4834135877363,893.5617175339466,0.2434487796828741,0.6873551673338051,0.2615467848660849,2.8234077337712713
22,10,R4,0.004026267244268392,0.0014931381353192289,9.818467319353589,663.12,TRUE,TRUE,2700.833499022946,TRUE,16,683.2,0,1,42000000,Clade4_2077,13,1300,42000000,4.983657926327573,140183703004.14795,3.5550907983791167e-11,314.04884505293455,800.6787095318126,0.2415760346561035,0.6159066996398559,0.28172699576796817,2.54953559659439
22,10,R5,0.003951927561497701,0.001531221341026759,10.459907837395443,649.08,TRUE,TRUE,2358.033120605408,TRUE,21,671.1,0,1,42000000,Clade4_2077,13,1300,42000000,4.650387937878787,127555885068.8039,3.64576509768276e-11,308.2503497968206,821.1004048053184,0.237115653689862,0.6316156960040911,0.2729447415169211,2.6637452491020253
22,11,R1,0.004399982295167769,0.001506402283341277,9.975479454373845,584.87,TRUE,TRUE,2152.624609526314,TRUE,33.1,619,0,1,42000000,Clade4_2078,13,1300,42000000,4.14623667941688,115601219183.79814,3.586672103193517e-11,343.198619023086,807.7914613061566,0.26399893771006616,0.621378047158582,0.2981768695390611,2.353714195020752
22,11,R2,0.004226448297081171,0.0015901156305629233,10.800860572610684,615.95,TRUE,TRUE,2746.4934513395056,TRUE,19,637,0,1,42000000,Clade4_2078,13,1300,42000000,4.705875370012186,124297102513.57135,3.7859895965783884e-11,329.6629671723314,852.6818121976941,0.2535868978248703,0.6559090863059185,0.2788213496810818,2.586525928318647
22,11,R3,0.004936869225507712,0.001314896343432252,10.853024575736615,560.79,TRUE,TRUE,2598.6611781235383,TRUE,38.1,606.9,0,1,42000000,Clade4_2078,13,1300,42000000,3.977942798149753,127062181256.18954,3.1307055796006e-11,385.07579958960156,705.0985320941834,0.29621215353046276,0.542383486226295,0.3532240563716523,1.8310642550003124
22,11,R4,0.004525993362266442,0.001633530236957483,9.566893010934832,598.88,TRUE,TRUE,3566.657083671203,TRUE,38.1,638,0,1,42000000,Clade4_2078,13,1300,42000000,5.066332018401852,130261405610.22018,3.889357707041626e-11,353.02748225678255,875.9624117621784,0.2715596017359866,0.6738172398170603,0.2872501100089079,2.4812867433505565
22,11,R5,0.005005531958600672,0.0012854302462129456,10.708590841713118,556.78,TRUE,TRUE,2634.9095779930517,TRUE,36.1,594.9,0,1,42000000,Clade4_2078,13,1300,42000000,3.911588097153165,127806779531.16798,3.060548205268918e-11,390.43149277085234,689.2976653569281,0.30033191751604027,0.5302289733514831,0.36160132365773046,1.7654766024765396
22,12,R1,0.004410866225504801,0.00207451443501743,11.191177781552296,548.75,TRUE,TRUE,1809.6704022914098,TRUE,20,572.8,0,1,42000000,Clade4_2079,13,1300,42000000,4.821271470536515,97610023022.48732,4.939320083374834e-11,344.04756558937447,1112.4352807315793,0.2646519735302881,0.8557194467165994,0.23621806906853154,3.233376404875616
22,12,R2,0.004705501737940985,0.00209258051117234,10.905543856146231,560.79,TRUE,TRUE,1853.3006315749758,TRUE,44.1,605.9,0,1,42000000,Clade4_2079,13,1300,42000000,5.7796088818320985,116002023215.32391,4.9823345504103324e-11,367.0291355593969,1122.1230130316612,0.28233010427645916,0.8631715484858933,0.24646852634007663,3.0573131784794407
22,12,R3,0.0044201932637321344,0.0023061083124435904,10.077711913993888,444.41,TRUE,TRUE,1225.7008169575763,TRUE,25.1,470.5,0,1,42000000,Clade4_2079,13,1300,42000000,3.198399345321983,58250851349.2942,5.490734077246644e-11,344.77507457110653,1236.6249203414482,0.2652115958239281,0.951249938724191,0.21801889191872123,3.5867584739986946
22,12,R4,0.00559419518653636,0.0015380743313421273,10.373765746907624,451.45,TRUE,TRUE,1706.2483610336355,TRUE,54.2,517.6,0,1,42000000,Clade4_2079,13,1300,42000000,3.1610352547852245,86317987366.14355,3.662081741290779e-11,436.3472245498361,824.7752446023541,0.3356517111921816,0.6344424958479646,0.34599908829090764,1.8901810260240461
22,12,R5,0.004530518020786086,0.0020616174450317727,10.900455029904078,550.7700000000001,TRUE,TRUE,2112.406041611219,TRUE,21,573.8,0,1,42000000,Clade4_2079,13,1300,42000000,5.0624659909948,103134348292.49068,4.908612964361364e-11,353.3804056213147,1105.5194133685418,0.27183108124716515,0.8503995487450321,0.2422239012038507,3.1284117505746067
22,13,R1,0.0018963617656530358,5.514257774872561e-4,11.549437429171588,891.3199999999999,TRUE,TRUE,2839.365986873381,TRUE,157.5,1267.4,0,1,69000000,glab_2048,8,800,69000000,1.2855184991802402,160857145358.03778,7.991677934597917e-12,91.02536475134572,179.9888311878034,0.11378170593918215,0.22498603898475428,0.33586936077615526,1.9773480906061676
22,13,R2,0.0031399351533603083,4.2027783476479477e-4,11.304281558286222,657.48,TRUE,TRUE,1896.5150407980286,TRUE,129.4,791.9,0,1,69000000,glab_2048,8,800,69000000,0.9210056069120843,151208038160.0394,6.090983112533257e-12,150.7168873612948,137.18132039121872,0.1883961092016185,0.17147665048902339,0.5235075568475086,0.9101921011835327
22,13,R4,0.002533295620074734,3.7948671330593337e-4,10.212069144846087,672.53,TRUE,TRUE,1480.5397433616172,TRUE,122.3,794.9,0,1,69000000,glab_2048,8,800,69000000,0.673249448693957,122413276489.16321,5.499807439216426e-12,121.59818976358721,123.86684258846518,0.151997737204484,0.15483355323558146,0.495378867606641,1.0186569621578143
22,13,R5,0.003500205099109313,4.287584549160829e-4,11.317214144629355,654.54,TRUE,TRUE,1954.8040626238608,TRUE,234.7,889.3,0,1,69000000,glab_2048,8,800,69000000,1.0883771948502934,175152292820.36786,6.213890650957723e-12,168.00984475724704,139.94944798172364,0.21001230594655879,0.17493680997715455,0.5455586134874449,0.832983615834732
22,14,R1,0.0023789727307246262,4.01559239798109e-4,11.536395136720596,564.04,TRUE,TRUE,718.7709692080584,TRUE,114.3,679.4,0,1,69000000,glab_2049,8,800,69000000,0.4770255824048404,81967395900.24742,5.819699127508826e-12,114.19069107478205,131.07145362930527,0.14273836384347757,0.16383931703663157,0.4655862861044249,1.1478295857187537
