T,OTU,Replicate,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,n0_ramp_factor,N_inoculation_cells_per_L
22,1,R1,37.1,582.8,0,1,42000000
22,1,R2,65.2,619.9,0,1,42000000
22,1,R3,87.2,582.8,0,1,42000000
22,1,R4,77.2,599.8,0,1,42000000
22,1,R5,77.2,552.7,0,1,42000000
22,2,R1,64.2,458.4,0,1,42000000
22,2,R2,71.2,587.8,0,1,42000000
22,2,R3,75.2,556.7,0,1,42000000
22,2,R4,75.2,494.6,0,1,42000000
22,2,R5,56.1,552.7,0,1,42000000
22,3,R1,57.1,568.7,0,1,42000000
22,3,R2,63.2,599.8,0,1,42000000
22,3,R3,76.2,568.7,0,1,42000000
22,3,R4,65.2,705.1,0,1,42000000
22,3,R5,84.2,518.6,0,1,42000000
22,4,R1,50.1,659.1,0,1,42000000
22,4,R2,55.1,774.5,0,1,42000000
22,4,R3,39.1,677.2,0,1,42000000
22,4,R4,74.2,699.3,0,1,42000000
22,4,R5,66.2,797.6,0,1,42000000
22,5,R1,58.1,859.8,0,1,42000000
22,5,R2,68.2,899.9,0,1,42000000
22,5,R3,70.2,898.9,0,1,42000000
22,5,R4,75.2,622.7,0,1,42000000
22,5,R5,58.1,677.2,0,1,42000000
22,6,R1,63.1,800.6,0,1,42000000
22,6,R2,56.1,1021.3,0,1,42000000
22,6,R3,65.2,945.1,0,1,42000000
22,6,R4,73.2,1004.3,0,1,42000000
22,6,R5,68.2,776.5,0,1,42000000
22,7,R1,34.1,685.2,0,1,42000000
22,7,R2,37.1,641,0,1,42000000
22,7,R3,50.1,675.1,0,1,42000000
22,7,R4,34.1,641,0,1,42000000
22,7,R5,50.1,685.2,0,1,42000000
22,8,R1,50.1,701.3,0,1,42000000
22,8,R2,53.1,690.2,0,1,42000000
22,8,R3,57.2,579.9,0,1,42000000
22,8,R4,62.2,642,0,1,42000000
22,8,R5,53.1,569.9,0,1,42000000
22,9,R1,37.1,674.1,0,1,42000000
22,9,R2,53.1,548.8,0,1,42000000
22,9,R3,54.1,659.1,0,1,42000000
22,9,R4,51.1,657.1,0,1,42000000
22,9,R5,53.1,718.3,0,1,42000000
22,10,R1,18,680.2,0,1,42000000
22,10,R2,6,635,0,1,42000000
22,10,R3,37.1,636,0,1,42000000
22,10,R4,16,683.2,0,1,42000000
22,10,R5,21,671.1,0,1,42000000
22,11,R1,33.1,619,0,1,42000000
22,11,R2,19,637,0,1,42000000
22,11,R3,38.1,606.9,0,1,42000000
22,11,R4,38.1,638,0,1,42000000
22,11,R5,36.1,594.9,0,1,42000000
22,12,R1,20,572.8,0,1,42000000
22,12,R2,44.1,605.9,0,1,42000000
22,12,R3,25.1,470.5,0,1,42000000
22,12,R4,54.2,517.6,0,1,42000000
22,12,R5,21,573.8,0,1,42000000
22,13,R1,157.5,1267.4,0,1,69000000
22,13,R2,129.4,791.9,0,1,69000000
22,13,R3,56.1,1122.1,0,1,69000000
22,13,R4,122.3,794.9,0,1,69000000
22,13,R5,234.7,889.3,0,1,69000000
22,14,R1,114.3,679.4,0,1,69000000
22,14,R2,88.2,624.1,0,1,69000000
22,14,R3,129.4,661.3,0,1,69000000
22,14,R4,144.4,669.3,0,1,69000000
22,14,R5,117.3,685.4,0,1,69000000
22,15,R1,112.3,588,0,1,69000000
22,15,R2,107.3,643.2,0,1,69000000
22,15,R3,144.4,607.1,0,1,69000000
22,15,R4,116.3,580,0,1,69000000
22,15,R5,114.3,563.9,0,1,69000000
22,16,R1,37.1,491.4,0,1,14000000
22,16,R2,47.1,526.5,0,1,14000000
22,16,R3,56.2,513.5,0,1,14000000
22,16,R4,46.1,448.3,0,1,14000000
22,16,R5,49.1,438.3,0,1,14000000
22,17,R1,59.2,572.6,0,1,14000000
22,17,R2,71.2,466.3,0,1,14000000
22,17,R3,110.3,527.5,0,1,14000000
22,17,R4,62.2,436.3,0,1,14000000
22,17,R5,53.2,540.5,0,1,14000000
22,18,R1,34.1,645.8,0,1,14000000
22,18,R2,65.2,603.7,0,1,14000000
22,18,R3,62.2,602.7,0,1,14000000
22,18,R4,90.3,647.8,0,1,14000000
22,18,R5,62.2,649.8,0,1,14000000
24,1,R1,60.1,495.4,0,1,42000000
24,1,R2,58.1,425.2,0,1,42000000
24,1,R3,83.2,478.4,0,1,42000000
24,1,R4,77.2,476.3,0,1,42000000
24,1,R5,71.2,477.3,0,1,42000000
24,2,R1,57.1,445.2,0,1,42000000
24,2,R2,59.1,422.2,0,1,42000000
24,2,R3,58.1,448.3,0,1,42000000
24,2,R4,58.1,393.1,0,1,42000000
24,2,R5,54.1,442.2,0,1,42000000
24,3,R1,51.1,488.4,0,1,42000000
24,3,R2,63.1,541.5,0,1,42000000
24,3,R3,66.2,476.3,0,1,42000000
24,3,R4,92.2,492.4,0,1,42000000
24,3,R5,89.2,510.4,0,1,42000000
24,4,R1,59.2,489.6,0,1,42000000
24,4,R2,81.3,578.8,0,1,42000000
24,4,R3,77.2,577.8,0,1,42000000
24,4,R4,62.2,530.7,0,1,42000000
24,4,R5,60.2,622,0,1,42000000
24,5,R1,54.1,698.2,0,1,42000000
24,5,R2,87.3,648.1,0,1,42000000
24,5,R3,63.2,671.1,0,1,42000000
24,5,R4,89.3,683.2,0,1,42000000
24,5,R5,60.2,556.8,0,1,42000000
24,6,R1,59.2,802.6,0,1,42000000
24,6,R2,31.1,720.3,0,1,42000000
24,6,R3,78.2,786.5,0,1,42000000
24,6,R4,68.2,782.5,0,1,42000000
24,6,R5,87.3,736.4,0,1,42000000
24,7,R1,53.2,469.5,0,1,42000000
24,7,R2,42.1,566.8,0,1,42000000
24,7,R3,37.1,557.8,0,1,42000000
24,7,R4,35.1,612,0,1,42000000
24,7,R5,67.2,511.6,0,1,42000000
24,8,R1,41.1,513.6,0,1,42000000
24,8,R2,60.2,486.5,0,1,42000000
24,8,R3,57.2,487.5,0,1,42000000
24,8,R4,58.2,504.6,0,1,42000000
24,8,R5,53.2,510.6,0,1,42000000
24,9,R1,63.2,489.5,0,1,42000000
24,9,R2,66.2,570.8,0,1,42000000
24,9,R3,58.2,466.5,0,1,42000000
24,9,R4,62.2,512.6,0,1,42000000
24,9,R5,63.2,461.5,0,1,42000000
24,10,R1,48.1,565.8,0,1,42000000
24,10,R2,43.1,558.8,0,1,42000000
24,10,R3,74.2,546.7,0,1,42000000
24,10,R4,72.2,508.6,0,1,42000000
24,10,R5,74.2,569.8,0,1,42000000
24,11,R1,73.2,581.8,0,1,42000000
24,11,R2,71.2,529.7,0,1,42000000
24,11,R3,52.1,533.7,0,1,42000000
24,11,R4,71.2,469.5,0,1,42000000
24,11,R5,68.2,509.6,0,1,42000000
24,12,R1,52.1,503.6,0,1,42000000
24,12,R2,72.2,527.6,0,1,42000000
24,12,R3,80.2,501.6,0,1,42000000
24,12,R4,55.1,510.6,0,1,42000000
24,12,R5,75.2,523.6,0,1,42000000
24,13,R1,43.1,653.3,0,1,69000000
24,13,R2,145.5,660.3,0,1,69000000
24,13,R3,94.3,637.2,0,1,69000000
24,13,R4,120.4,641.2,0,1,69000000
24,13,R5,94.3,628.2,0,1,69000000
24,14,R1,167.6,674.4,0,1,69000000
24,14,R2,120.4,637.2,0,1,69000000
24,14,R3,116.4,604.1,0,1,69000000
24,14,R4,146.5,595.1,0,1,69000000
24,14,R5,215.8,664.3,0,1,69000000
24,15,R1,64.2,463.6,0,1,69000000
24,15,R2,119.4,472.6,0,1,69000000
24,15,R3,193.7,604.1,0,1,69000000
24,15,R4,113.4,526.9,0,1,69000000
24,15,R5,114.4,560,0,1,69000000
24,16,R1,25.1,480.2,0,1,14000000
24,16,R2,70.2,462.2,0,1,14000000
24,16,R3,69.2,467.2,0,1,14000000
24,16,R4,70.2,480.2,0,1,14000000
24,16,R5,66.2,467.2,0,1,14000000
24,17,R1,45.1,419.1,0,1,14000000
24,17,R2,82.2,424.1,0,1,14000000
24,17,R3,25.1,480.2,0,1,14000000
24,17,R4,91.2,449.1,0,1,14000000
24,17,R5,72.2,471.2,0,1,14000000
24,18,R1,50.1,466.2,0,1,14000000
24,18,R2,48.1,460.2,0,1,14000000
24,18,R3,66.2,496.3,0,1,14000000
24,18,R4,70.2,499.3,0,1,14000000
24,18,R5,86.2,438.1,0,1,14000000
26,1,R1,71.2,345,0,1,42000000
26,1,R2,75.2,430.3,0,1,42000000
26,1,R3,72.2,383.1,0,1,42000000
26,1,R4,68.2,428.3,0,1,42000000
26,1,R5,77.2,381.1,0,1,42000000
26,2,R1,69.2,392.1,0,1,42000000
26,2,R2,59.1,420.2,0,1,42000000
26,2,R3,80.2,391.1,0,1,42000000
26,2,R4,75.2,390.1,0,1,42000000
26,2,R5,73.2,390.1,0,1,42000000
26,3,R1,54.1,415.2,0,1,42000000
26,3,R2,61.1,416.2,0,1,42000000
26,3,R3,77.2,351,0,1,42000000
26,3,R4,68.2,432.3,0,1,42000000
26,3,R5,63.2,428.3,0,1,42000000
26,4,R1,65.2,448.5,0,1,42000000
26,4,R2,87.2,450.5,0,1,42000000
26,4,R3,74.2,502.7,0,1,42000000
26,4,R4,64.2,462.6,0,1,42000000
26,4,R5,62.1,508.7,0,1,42000000
26,5,R1,73.2,569.9,0,1,42000000
26,5,R2,85.2,452.5,0,1,42000000
26,5,R3,93.2,567.9,0,1,42000000
26,5,R4,99.2,557.9,0,1,42000000
26,5,R5,91.2,458.5,0,1,42000000
26,6,R1,71.2,462.6,0,1,42000000
26,6,R2,96.2,463.6,0,1,42000000
26,6,R3,100.3,516.8,0,1,42000000
26,6,R4,63.1,518.8,0,1,42000000
26,6,R5,51.1,567.9,0,1,42000000
26,7,R1,36.1,429.4,0,1,42000000
26,7,R2,68.2,388.3,0,1,42000000
26,7,R3,61.2,428.4,0,1,42000000
26,7,R4,73.2,418.4,0,1,42000000
26,7,R5,63.2,376.3,0,1,42000000
26,8,R1,73.2,384.3,0,1,42000000
26,8,R2,62.2,423.4,0,1,42000000
26,8,R3,69.2,449.5,0,1,42000000
26,8,R4,54.1,439.5,0,1,42000000
26,8,R5,70.2,466.6,0,1,42000000
26,9,R1,59.2,479.6,0,1,42000000
26,9,R2,72.2,435.5,0,1,42000000
26,9,R3,61.2,433.4,0,1,42000000
26,9,R4,67.2,424.4,0,1,42000000
26,9,R5,64.2,382.3,0,1,42000000
26,10,R1,82.2,465.5,0,1,42000000
26,10,R2,86.3,475.5,0,1,42000000
26,10,R3,80.2,476.5,0,1,42000000
26,10,R4,87.3,400.3,0,1,42000000
26,10,R5,79.2,472.5,0,1,42000000
26,11,R1,74.2,435.4,0,1,42000000
26,11,R2,80.2,408.3,0,1,42000000
26,11,R3,89.3,396.3,0,1,42000000
26,11,R4,78.2,428.4,0,1,42000000
26,11,R5,89.3,473.5,0,1,42000000
26,12,R1,69.2,396.3,0,1,42000000
26,12,R2,77.2,367.2,0,1,42000000
