OTU,growth_E_eV,respiration_E_eV,growth_se_E_eV,respiration_se_E_eV,growth_r_squared,respiration_r_squared,growth_n,respiration_n,otu_name,cell_volume_um3,cell_carbon_fg
1,0.20282060070227315,0.469938023641926,0.04755926684122684,0.04295776671200914,0.24514768289140748,0.6812267159090847,58,58,Clade1_2068,13,1300
2,0.14321353692345506,0.4047021441557064,0.06503704321170001,0.06027330562929768,0.07968811729948284,0.44600447667179355,58,58,Clade1_2069,13,1300
3,0.2337914633117048,0.443929758941294,0.05001361063925087,0.0475631558695886,0.27365154501279376,0.6003138140419298,60,60,Clade1_2070,13,1300
4,0.19284313896359098,0.3610902082784975,0.0728573689204935,0.06405279299218729,0.12077847764985446,0.38390991233285615,53,53,Clade2_2071,13,1300
5,0.3074690882018873,0.2682663568357844,0.08238725093144665,0.05648704300645657,0.2081020071744746,0.2985203529326242,55,55,Clade2_2072,13,1300
6,0.4645978883718314,0.44223976417927335,0.07332385746630375,0.05856715436505858,0.4503521882865837,0.5378116739348133,51,51,Clade2_2073,13,1300
7,0.3192374861862366,0.24556994354698772,0.043063741929229536,0.04122266698249402,0.4997936577500387,0.3921828012144689,57,57,Clade3_2074,13,1300
8,0.1463781754617053,0.4254269700596039,0.060273005761747565,0.043036879837842656,0.092303781190154,0.6275285440768407,60,60,Clade3_2075,13,1300
9,0.21748739135344672,0.3074542428771619,0.054484293892702186,0.05058139233745536,0.21847177066057824,0.39327506407650603,59,59,Clade3_2076,13,1300
10,0.3784866887130028,0.22582080708818061,0.041668715575983645,0.0404350628404804,0.587203706544953,0.3497009393177855,60,60,Clade4_2077,13,1300
11,0.30943770559537787,0.23055218720165943,0.04583842946727974,0.04474338447219606,0.439996801749506,0.3140234624344173,60,60,Clade4_2078,13,1300
12,0.37280076160066333,0.2471736403911555,0.050252433379832186,0.05924211240711573,0.5094184846301343,0.24724221352675685,55,55,Clade4_2079,13,1300
13,0.25935896626011584,0.38496422146275877,0.09920638968429624,0.10682940586298056,0.12695811478730534,0.21647748466392364,49,49,glab_2048,8,800
14,0.07006402364217602,0.7176734545593366,0.09429365520897727,0.13334444172649132,0.009429369630526143,0.3330805741831208,60,60,glab_2049,8,800
15,0.21641838386276047,0.6528261325909646,0.08636914557171645,0.12240330773258642,0.09922323291555653,0.33290564717686244,59,59,glab_2050,8,800
16,0.3162497283322349,0.28091895133952016,0.06359343708457468,0.07714919187996369,0.3651324331393312,0.235673095445939,45,45,para_2051,38,3800
17,0.1907457501458652,0.26040798452961894,0.06400437249418357,0.05972483873208401,0.1589358031907012,0.2879944611286121,49,49,para_2052,38,3800
18,0.28630966778948047,0.25809790252787773,0.0621690095837441,0.12516267685668073,0.3409334132577189,0.09396779636140055,43,43,para_2053,38,3800
