Isolate,Group,T_C,tax,lo,hi
Clade1_2068,Clade1,37,1.2525451356502924,1.1674051560845202,1.3561324899702185
Clade1_2068,Clade1,40,1.7993027983063552,1.6219993486604323,2.0049361388042386
Clade1_2069,Clade1,37,1.2907470782513188,1.2003255688063352,1.399389183352464
Clade1_2069,Clade1,40,1.8877926411011363,1.6919091845281584,2.121897615871092
Clade1_2070,Clade1,37,1.1739227290913588,1.1027129357242138,1.2674103100424075
Clade1_2070,Clade1,40,1.6153744639255474,1.455920732232647,1.8042801067711594
Clade2_2071,Clade2,37,1.318420105721704,1.2210833449938647,1.4327426454883712
Clade2_2071,Clade2,40,2.2897850130705883,2.0470630495510425,2.5795570767621214
Clade2_2072,Clade2,37,1.2343974923038905,1.1519773930843062,1.3336063298622525
Clade2_2072,Clade2,40,2.049737195355957,1.816447215619077,2.325461563111263
Clade2_2073,Clade2,37,1.251027250061755,1.160124340730739,1.3657712075509656
Clade2_2073,Clade2,40,2.099906706424676,1.870625369984435,2.3765574285771827
Clade3_2074,Clade3,37,1.1007120189310833,1.0500606128592005,1.1623517298326043
Clade3_2074,Clade3,40,1.4400639721251176,1.316811774765016,1.574997286852952
Clade3_2075,Clade3,37,1.1652802577832233,1.1035549396796531,1.2460199438434079
Clade3_2075,Clade3,40,1.5980833542695088,1.4616458736495483,1.772509119312121
Clade3_2076,Clade3,37,1.132568821686346,1.0796506529771024,1.195839551743331
Clade3_2076,Clade3,40,1.5192483372434653,1.4001468408901934,1.6564580960693152
Clade4_2077,Clade4,37,1.0358492303105424,1.0123450315174711,1.0698740319399178
Clade4_2077,Clade4,40,1.2404279362977244,1.1681666028921418,1.3260981023554466
Clade4_2078,Clade4,37,1.0532222712966708,1.0235783772145093,1.0925485069820773
Clade4_2078,Clade4,40,1.2892128056160599,1.2066401144617787,1.3827283918059468
Clade4_2079,Clade4,37,1.06915978150254,1.0351708945251998,1.1183123074775756
Clade4_2079,Clade4,40,1.3317861716981598,1.2388012810283127,1.4494005655147961
para_2051,para,37,1.5543984628614118,1.367398031936049,1.796384075163147
para_2051,para,40,3.0016440087600946,2.3747430806563603,3.909415835783422
para_2052,para,37,1.468434354032992,1.335367241808717,1.6200095006386115
para_2052,para,40,2.7552036670970264,2.3500121440150408,3.23799691924971
para_2053,para,37,1.537274775558922,1.3822119391196324,1.725357246898055
para_2053,para,40,2.952279462525933,2.392394525414931,3.6650687097609382
