T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
42,1,R1,0.010253561620542258,0.009720121198873688,8.824304064147176,193.55,69.2,100539213.48662336,799.777806402296,2177.427882991497,0.2686337088671706,2.7225410177189007
42,1,R3,0.008896404229301092,0.02219916048890919,8.869780112716589,118.38,90.2,108691757.68111895,693.9195298854852,4599.890805804336,0.13108129794662593,6.628853357915201
42,1,R4,0.010642555612120831,0.01390681343291348,8.01128633102629,135.39999999999998,72.2,107470843.0568388,830.1193377454249,2914.3691159896744,0.2216909860991525,3.5107833096684615
42,1,R5,0.012702914860432837,0.014857317242748119,8.061024253012919,122.36999999999999,76.2,135929386.5515572,990.8273591137612,2461.69715159074,0.2869863359526386,2.484486453616489
42,2,R1,0.007477827312154406,0.013928228556034226,7.8715509778262875,179.57,59.1,76790554.37325479,583.2705303480437,4085.0339021008135,0.1249426936027985,7.003669291611956
42,2,R2,0.007181485806657076,0.013287728841469162,8.738107404969501,147.48000000000002,73.2,83643415.2819758,560.1558929192519,3577.8866931478183,0.1353673581816958,6.387305281216744
42,2,R3,0.010656467476803119,0.009122657436771006,7.136411812456141,166.53,49.1,87901786.24113806,831.2044631906433,2337.3903673882633,0.26232589132854867,2.812052233713962
42,2,R4,0.009121751682462674,0.009864096045831793,6.866812032553583,185.6,58.1,86797821.22023425,711.4966312320886,2559.5054098971113,0.2175164131008824,3.5973542214315932
42,2,R5,0.005153853034470844,0.025783515215560025,8.701113398929985,132.39999999999998,75.2,69610684.4355291,402.0005366887258,8342.06954914263,0.04597407531535184,20.751389084840955
42,3,R1,0.010310944829604776,0.009058398649417918,8.706551844210367,188.53000000000003,73.2,105939135.33777662,804.2536967091726,1925.761894133275,0.2945967412812431,2.3944706776146196
