parameter,Estimate,r_squared,rmse_log,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
lnB0,6.599126767902861,0.6908674133041269,0.2656607680028049,58,1,Clade1_2068,13,1300
E,0.7273958359848121,0.6908674133041269,0.2656607680028049,58,1,Clade1_2068,13,1300
Eh,0.8691853514063118,0.6908674133041269,0.2656607680028049,58,1,Clade1_2068,13,1300
Th,314.4537184739768,0.6908674133041269,0.2656607680028049,58,1,Clade1_2068,13,1300
lnB0,7.573770063832809,0.44590958312040996,0.3828525640548687,58,2,Clade1_2069,13,1300
E,0.42805922672019614,0.44590958312040996,0.3828525640548687,58,2,Clade1_2069,13,1300
Eh,0.05,0.44590958312040996,0.3828525640548687,58,2,Clade1_2069,13,1300
Th,320.3901534503479,0.44590958312040996,0.3828525640548687,58,2,Clade1_2069,13,1300
lnB0,7.148656270988384,0.6001578581977036,0.310050768794703,60,3,Clade1_2070,13,1300
E,0.46485042061047493,0.6001578581977036,0.310050768794703,60,3,Clade1_2070,13,1300
Eh,0.05,0.6001578581977036,0.310050768794703,60,3,Clade1_2070,13,1300
Th,325.15,0.6001578581977036,0.310050768794703,60,3,Clade1_2070,13,1300
lnB0,7.168415719675642,0.4006160539893192,0.3563413753917135,53,4,Clade2_2071,13,1300
E,1.089853750190779,0.4006160539893192,0.3563413753917135,53,4,Clade2_2071,13,1300
Eh,1.042332068237535,0.4006160539893192,0.3563413753917135,53,4,Clade2_2071,13,1300
Th,297.9563014827526,0.4006160539893192,0.3563413753917135,53,4,Clade2_2071,13,1300
lnB0,7.644488525585029,0.29829962407939614,0.3244944764886868,55,5,Clade2_2072,13,1300
E,0.29222675726968605,0.29829962407939614,0.3244944764886868,55,5,Clade2_2072,13,1300
Eh,0.05,0.29829962407939614,0.3244944764886868,55,5,Clade2_2072,13,1300
Th,316.6269681431291,0.29829962407939614,0.3244944764886868,55,5,Clade2_2072,13,1300
lnB0,7.522162249587073,0.5374832637641402,0.3141722925199655,51,6,Clade2_2073,13,1300
E,0.46655760633551946,0.5374832637641402,0.3141722925199655,51,6,Clade2_2073,13,1300
Eh,0.05,0.5374832637641402,0.3141722925199655,51,6,Clade2_2073,13,1300
Th,307.53585989788945,0.5374832637641402,0.3141722925199655,51,6,Clade2_2073,13,1300
lnB0,7.3345602665025655,0.3920459357420618,0.256349678354178,57,7,Clade3_2074,13,1300
E,0.2697500685506334,0.3920459357420618,0.256349678354178,57,7,Clade3_2074,13,1300
Eh,0.05,0.3920459357420618,0.256349678354178,57,7,Clade3_2074,13,1300
Th,318.4269718408549,0.3920459357420618,0.256349678354178,57,7,Clade3_2074,13,1300
lnB0,6.994553803408952,0.6270800029020223,0.280659373681724,60,8,Clade3_2075,13,1300
E,0.44157870283097694,0.6270800029020223,0.280659373681724,60,8,Clade3_2075,13,1300
Eh,0.05,0.6270800029020223,0.280659373681724,60,8,Clade3_2075,13,1300
Th,298.82021662393913,0.6270800029020223,0.280659373681724,60,8,Clade3_2075,13,1300
lnB0,7.150128642357622,0.39293526780897314,0.3227973748536187,59,9,Clade3_2076,13,1300
E,0.3319032961921831,0.39293526780897314,0.3227973748536187,59,9,Clade3_2076,13,1300
Eh,0.05,0.39293526780897314,0.3227973748536187,59,9,Clade3_2076,13,1300
Th,309.58985133663816,0.39293526780897314,0.3227973748536187,59,9,Clade3_2076,13,1300
lnB0,7.090579556309296,0.3494216806738615,0.2635899140374992,60,10,Clade4_2077,13,1300
E,0.24665353280189123,0.3494216806738615,0.2635899140374992,60,10,Clade4_2077,13,1300
Eh,0.05,0.3494216806738615,0.2635899140374992,60,10,Clade4_2077,13,1300
Th,313.06729746222936,0.3494216806738615,0.2635899140374992,60,10,Clade4_2077,13,1300
lnB0,6.910376797740489,0.31364789814498795,0.2916924050048549,60,11,Clade4_2078,13,1300
E,0.2547267955200041,0.31364789814498795,0.2916924050048549,60,11,Clade4_2078,13,1300
Eh,0.05,0.31364789814498795,0.2916924050048549,60,11,Clade4_2078,13,1300
Th,325.15,0.31364789814498795,0.2916924050048549,60,11,Clade4_2078,13,1300
lnB0,7.2074747406461865,0.2469006362297953,0.3434177498509547,55,12,Clade4_2079,13,1300
E,0.27108942053989765,0.2469006362297953,0.3434177498509547,55,12,Clade4_2079,13,1300
Eh,0.05,0.2469006362297953,0.3434177498509547,55,12,Clade4_2079,13,1300
Th,325.15,0.2469006362297953,0.3434177498509547,55,12,Clade4_2079,13,1300
lnB0,5.1690839894434015,0.21634735912876246,0.5195841870482927,49,13,glab_2048,8,800
E,0.40598628882490173,0.21634735912876246,0.5195841870482927,49,13,glab_2048,8,800
Eh,0.05,0.21634735912876246,0.5195841870482927,49,13,glab_2048,8,800
Th,298.3549439076685,0.21634735912876246,0.5195841870482927,49,13,glab_2048,8,800
lnB0,4.280402576303607,0.33300787976214463,0.8691125508129635,60,14,glab_2049,8,800
E,0.7423053945490093,0.33300787976214463,0.8691125508129635,60,14,glab_2049,8,800
Eh,0.05,0.33300787976214463,0.8691125508129635,60,14,glab_2049,8,800
Th,308.71704525753177,0.33300787976214463,0.8691125508129635,60,14,glab_2049,8,800
lnB0,4.397793107289295,0.3309687684483298,0.7952336613392961,59,15,glab_2050,8,800
E,0.6313577154863422,0.3309687684483298,0.7952336613392961,59,15,glab_2050,8,800
Eh,0.05,0.3309687684483298,0.7952336613392961,59,15,glab_2050,8,800
Th,303.9180987217303,0.3309687684483298,0.7952336613392961,59,15,glab_2050,8,800
lnB0,8.232423973180165,0.2430701505648586,0.32850247987119924,45,16,para_2051,38,3800
E,0.34153844946392076,0.2430701505648586,0.32850247987119924,45,16,para_2051,38,3800
Eh,3.723750952229086,0.2430701505648586,0.32850247987119924,45,16,para_2051,38,3800
Th,315.0682649719673,0.2430701505648586,0.32850247987119924,45,16,para_2051,38,3800
lnB0,8.477405894169802,0.28781295875151935,0.2910334448246154,49,17,para_2052,38,3800
E,0.28451371909739986,0.28781295875151935,0.2910334448246154,49,17,para_2052,38,3800
Eh,0.05,0.28781295875151935,0.2910334448246154,49,17,para_2052,38,3800
Th,311.460701009846,0.28781295875151935,0.2910334448246154,49,17,para_2052,38,3800
lnB0,7.74004728181322,0.10858170259122613,0.5217801909763269,43,18,para_2053,38,3800
E,5,0.10858170259122613,0.5217801909763269,43,18,para_2053,38,3800
Eh,4.842170901391893,0.10858170259122613,0.5217801909763269,43,18,para_2053,38,3800
Th,293.42565160865723,0.10858170259122613,0.5217801909763269,43,18,para_2053,38,3800
