"gene","logFC","logCPM","PValue","FDR","is_metab"
"CJI97_001151",-10.9372590142921,5.18833961178479,0,0,TRUE
"CJI97_004977",-5.93862481555277,8.12792881784623,0,0,FALSE
"CJI97_001150",-3.78004196403956,4.84779157409626,2.28386956681828e-240,4.10792006085048e-237,TRUE
"CJI97_002130",11.8290025742063,4.91296965968024,1.01047321995555e-176,1.36312837372004e-173,FALSE
"CJI97_004538",-3.71054968026144,2.3650462806489,5.62265156309137e-173,6.06796556688821e-170,FALSE
"CJI97_000008",-3.96753367347091,3.16079617984305,5.80133701426751e-154,5.21733575483125e-151,FALSE
"CJI97_005089",-2.84412643951802,7.46439945815245,3.75188068208696e-147,2.89216402293446e-144,FALSE
"CJI97_004556",7.25693975998365,3.00524341164342,7.03746730670107e-147,4.74677169836987e-144,FALSE
"CJI97_000658",-3.80865193822184,5.76432552673992,3.89528919524487e-146,2.33544227750459e-143,FALSE
"CJI97_004560",9.95180200781756,6.40689507511738,2.02479650596929e-140,1.09258019462103e-137,FALSE
"CJI97_001843",-3.15259763418533,5.90526348664511,1.8450171691811e-132,9.05064785900113e-130,FALSE
"CJI97_001951",-4.58002157448044,2.99400459910304,5.17092715119047e-129,2.32519357565198e-126,FALSE
"CJI97_001781",8.6562858793154,3.32471212706367,3.31116962060505e-128,1.37439009790653e-125,FALSE
"CJI97_004555",10.5638798418285,6.14791577814037,1.18436171632573e-127,4.56486844378117e-125,TRUE
"CJI97_004566",8.75978249085452,3.71996549242543,1.16664368593963e-126,4.19680621955349e-124,TRUE
"CJI97_002132",11.0234825782534,2.52547083771441,2.37100234929673e-126,7.99620542300322e-124,TRUE
"CJI97_005622",5.84160830497992,5.86027746124777,1.36201715881563e-125,4.3232026993936e-123,FALSE
"CJI97_001952",-3.50333066553648,8.67272996824549,1.39647128870539e-121,4.1863105965857e-119,FALSE
"CJI97_004220",-2.39412058979214,4.68044807988805,3.98790087825781e-121,1.13256384942522e-118,TRUE
"CJI97_000877",-3.64080747299236,3.95320489963292,2.15723282453743e-120,5.82021416060199e-118,FALSE
"CJI97_001780",7.9946477134353,2.30213840522885,2.01504612358257e-118,5.17770899183407e-116,TRUE
"CJI97_000350",-3.12116223857369,5.45879136763045,2.37569746056054e-118,5.82693795326576e-116,TRUE
"CJI97_004553",8.93668026179548,4.34734371069866,1.64029124450332e-112,3.84826589362604e-110,FALSE
"CJI97_004978",9.8083268050304,4.77036214314232,7.776147530005e-109,1.74833716966279e-106,FALSE
"CJI97_001786",12.8346100654775,9.19803281508072,7.35419212853062e-105,1.58732882902205e-102,TRUE
"CJI97_004904",-2.19256710444792,5.60457757942,1.10621297195487e-103,2.29581738333403e-101,FALSE
"CJI97_001762",-4.68133974263459,2.93663840247409,4.25490306521874e-100,8.50350257034085e-98,FALSE
"CJI97_004569",8.63786942801313,4.03912267597882,9.95786686764042e-95,1.91902320063527e-92,FALSE
"CJI97_002545",-3.44954013120057,4.34373241573647,4.5405762424635e-94,8.44860324287346e-92,FALSE
"CJI97_002127",9.60852740082531,3.91098882501672,1.22801739989117e-90,2.20879396327092e-88,TRUE
"CJI97_001089",-2.81934668118241,5.15206458468058,6.85234077608878e-90,1.19274938154113e-87,FALSE
"CJI97_004170",8.00888854129363,3.41785757796562,4.24099722855326e-86,7.15138157664793e-84,FALSE
"CJI97_004861",-2.89919633931972,7.07495949187165,1.17883484283815e-83,1.92757357938019e-81,TRUE
"CJI97_000637",-2.51838567493685,6.2449181245371,1.64719250519804e-83,2.61419139942607e-81,FALSE
"CJI97_004562",8.49686308173223,3.45138543689718,6.4148380044641e-80,9.88984739202522e-78,TRUE
"CJI97_002131",9.59484145387353,3.41079309549994,1.3498862523655e-76,2.02332950493452e-74,FALSE
"CJI97_005626",5.82728484082507,4.88389472174834,1.83117088161724e-75,2.67054002086665e-73,FALSE
"CJI97_001872",-2.87383733499567,8.7664690527901,1.91327731894567e-73,2.71685379290285e-71,FALSE
"CJI97_001778",8.12057462303559,4.57269298891103,2.36926885056587e-73,3.27809608144959e-71,FALSE
"CJI97_003821",-1.87132210944573,6.38934861190791,3.9085306472516e-72,5.27260784314241e-70,FALSE
"CJI97_004411",-1.61230152742079,5.74121870459147,1.4490445935017e-71,1.90708405525248e-69,FALSE
"CJI97_002947",-1.93066256976055,5.83287504125955,4.12795447114339e-70,5.30343864911661e-68,FALSE
"CJI97_004737",-2.91717392373442,2.7260193229608,3.11627821323427e-69,3.91056679967724e-67,FALSE
"CJI97_000509",-1.6055160368653,6.86414481795957,3.93326988027594e-69,4.82361915317477e-67,FALSE
