T,OTU,Replicate,r,K,O2_0
28,15,R2,1e-6,0.0025035103681112433,10.320485094869449
40,18,R4,1e-6,0.00628170558613873,7.157646691279548
40,18,R5,1e-6,0.008874751382731388,8.389620084480415
42,16,R4,1e-6,0.005554105494304433,8.34787352166883
42,17,R1,0.15,9.936951449985456e-6,8.5361321353802
42,18,R1,0.15,7.884960837142033e-5,7.887176252428956
42,18,R2,0.15,8.519974412038896e-6,8.693289622130314
44,1,R2,1e-6,0.022359895948809248,8.553160917353322
44,4,R1,1e-6,0.008101860345054284,7.972797788260409
44,4,R5,1e-6,0.013323066550333612,9.924819324121664
44,5,R1,1e-6,0.006676687461287413,8.652830809592626
44,6,R2,1e-6,0.01239417198531299,8.030707592731737
44,6,R3,1e-6,0.01010561929236717,7.817658606194943
44,6,R4,1e-6,0.005817444360050226,6.997099249384891
44,13,R5,1e-6,0.003595078208537183,9.511068804870623
44,17,R5,0.15,3.082207405909671e-4,7.208466711459494
44,18,R1,0.15,2.6860127907803886e-6,8.442871775380778
