T,OTU,n_replicates
22,1,5
22,2,5
22,3,5
22,4,5
22,5,5
22,6,5
22,7,5
22,8,5
22,9,5
22,10,5
22,11,5
22,12,5
22,13,4
22,14,5
22,15,5
22,16,5
22,17,5
22,18,5
24,1,5
24,2,5
24,3,5
24,4,5
24,5,5
24,6,5
24,7,5
24,8,5
24,9,5
24,10,5
24,11,5
24,12,5
24,13,5
24,14,5
24,15,5
24,16,5
24,17,5
24,18,5
26,1,5
26,2,5
26,3,5
26,4,5
26,5,5
26,6,5
26,7,5
26,8,5
26,9,5
26,10,5
26,11,5
26,12,5
26,13,5
26,14,5
26,15,5
26,16,5
26,17,5
26,18,5
28,1,5
28,2,4
28,3,5
28,4,5
28,5,5
28,6,5
28,7,5
28,8,5
28,9,5
28,10,5
28,11,5
28,12,5
28,13,5
28,14,5
28,15,4
28,16,5
28,17,5
28,18,4
30,1,5
30,2,5
30,3,5
30,4,5
30,5,5
30,6,5
30,7,5
30,8,5
30,9,5
30,10,5
30,11,5
30,12,5
30,13,5
30,14,5
30,15,5
30,16,5
30,17,5
30,18,5
32,1,5
32,2,5
32,3,5
32,4,5
32,5,5
32,6,5
32,7,5
32,8,5
32,9,5
32,10,5
32,11,5
32,12,5
32,13,5
32,14,5
32,15,5
32,16,5
32,17,5
32,18,5
34,1,5
34,2,5
34,3,5
34,4,5
34,5,5
34,6,4
34,7,5
34,8,5
34,9,5
34,10,5
34,11,5
34,12,5
34,13,5
34,14,5
34,15,5
34,16,5
34,17,5
34,18,5
36,1,5
36,2,5
36,3,5
36,4,4
36,5,5
36,6,5
36,7,4
36,8,5
36,9,5
36,10,5
36,11,5
36,12,5
36,13,5
36,14,5
36,15,5
36,16,5
36,17,5
36,18,4
38,1,5
38,2,5
38,3,5
38,4,5
38,5,5
38,6,5
38,7,5
38,8,5
38,9,5
38,10,5
38,11,5
38,12,5
38,13,5
38,14,5
38,15,5
38,16,5
38,17,5
38,18,5
40,1,5
40,2,5
40,3,5
40,4,5
40,5,5
40,6,4
40,7,5
40,8,5
40,9,5
40,10,5
40,11,5
40,12,5
40,13,5
40,14,5
40,15,5
40,17,4
42,1,4
42,2,5
42,3,5
42,4,3
42,5,5
42,6,3
42,7,5
42,8,5
42,9,5
42,10,5
42,11,5
42,12,4
42,14,5
42,15,5
44,1,4
44,2,4
44,3,5
44,4,1
44,7,3
44,8,5
44,9,4
44,10,5
44,11,5
44,12,1
44,14,5
44,15,5
