alpha,E_eV,se_E_eV,r_squared,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
6.514516986946625,0.5413523749405698,0.04160042070695243,0.7514888320394443,58,1,Clade1_2068,13,1300
6.8268760765126775,0.49339757215749874,0.061226521392721,0.536961942399262,58,2,Clade1_2069,13,1300
6.418645268356958,0.5200133074773685,0.05148563540553173,0.637530111581476,60,3,Clade1_2070,13,1300
6.853126256201127,0.43185009481553566,0.062233065287333994,0.48564357431341776,53,4,Clade2_2071,13,1300
6.908328642351257,0.3469894848852544,0.05768602645377467,0.4057090114380304,55,5,Clade2_2072,13,1300
6.805698457680795,0.4831838682136204,0.06253572875346892,0.549214662776487,51,6,Clade2_2073,13,1300
6.639671690281864,0.2923723963268283,0.04182040383003641,0.47052290986693884,57,7,Clade3_2074,13,1300
6.172031459974162,0.5229886954578467,0.04639219630071776,0.6866306866211627,60,8,Clade3_2075,13,1300
6.393065763646829,0.38823625276978885,0.05563643075195789,0.4607062951011051,59,9,Clade3_2076,13,1300
6.354569522620779,0.2803212948507195,0.0423131515014616,0.43075632064122577,60,10,Clade4_2077,13,1300
6.194003483505929,0.3031667901136198,0.04947848991978914,0.39294426287761386,60,11,Clade4_2078,13,1300
6.4916734580535564,0.3211352033998132,0.06663025431996811,0.3047277071288023,55,12,Clade4_2079,13,1300
4.353028839195234,0.48530103465906366,0.11489032603122243,0.27516666078759017,49,13,glab_2048,8,800
3.5266278881991475,0.7898745420056742,0.1393508875507467,0.35647769749732505,60,14,glab_2049,8,800
3.450077107380368,0.7887622022475218,0.13962671248825187,0.3589172820143684,59,15,glab_2050,8,800
8.195077578096415,0.34037056349455186,0.07704219406484274,0.31220371795875523,45,16,para_2051,38,3800
7.703539293951713,0.36795088012308447,0.06715768880681058,0.38975658012812947,49,17,para_2052,38,3800
7.654857373131709,0.3247196466547368,0.12618839235585314,0.13905038508471496,43,18,para_2053,38,3800
