Group,T_C,tax,lo,hi
Clade1,22,1.3511658287117885,1.1953563057870005,1.5276601444262026
Clade1,22.25,1.334890044994839,1.1860244477323452,1.5047187563867648
Clade1,22.5,1.3188429167137121,1.1763434641401904,1.481751143341942
Clade1,22.75,1.302841862097126,1.1675908731876552,1.459593520597517
Clade1,23,1.2877021395198103,1.1591963916539916,1.43755028030862
Clade1,23.25,1.2729790875931641,1.1503195177718888,1.416527168791395
Clade1,23.5,1.257813445145859,1.1418314088575188,1.3958296567323252
Clade1,23.75,1.243351169568935,1.132912504529719,1.3754562291161576
Clade1,24,1.2293972471187198,1.123713548217726,1.3550607331726838
Clade1,24.25,1.215744059590787,1.1160024264244068,1.3352134526099064
Clade1,24.5,1.2024735106901092,1.10791448718411,1.3162850987700638
Clade1,24.75,1.1895275753727748,1.099936540486843,1.297484070678622
Clade1,25,1.1764884624019174,1.0918908206863818,1.27921753579199
Clade1,25.25,1.1636265705676723,1.0849455445043712,1.2631131425130637
Clade1,25.5,1.1516555791835605,1.0781466865671847,1.2462054766241033
Clade1,25.75,1.1398415385804497,1.070650927512368,1.229406598669572
Clade1,26,1.1288333805902298,1.0633093771409197,1.2137018248701434
Clade1,26.25,1.1182889213828,1.0567816886144779,1.1990115202774043
Clade1,26.5,1.1078365385548719,1.0508030323898927,1.1847492101034822
Clade1,26.75,1.0974334955035223,1.0449223214478855,1.1715164061927734
Clade1,27,1.0876777520875058,1.0393113424830012,1.1578408378303098
Clade1,27.25,1.0783612394824749,1.0338181285965118,1.1452345056529862
Clade1,27.5,1.0696978811016882,1.0288303861104384,1.1324531179384003
Clade1,27.75,1.0613463230512326,1.023910869309343,1.1193431643313536
Clade1,28,1.0536856749865544,1.0191527805685745,1.1076664173821538
Clade1,28.25,1.0462927131192044,1.0148918976735781,1.0967619755290723
Clade1,28.5,1.0392016152477874,1.0110152413725328,1.085844795561693
Clade1,28.75,1.0328029994742463,1.0076943975231685,1.075341075292896
Clade1,29,1.0269615944117072,1.0049865657556234,1.0661786747333641
Clade1,29.25,1.0215216001684144,1.0028682751620237,1.057508985665302
Clade1,29.5,1.0167131375994922,1.0013099352425998,1.0496275604568766
Clade1,29.75,1.0124458897517472,1.0004581299658006,1.0419180781169903
Clade1,30,1.0087611460166914,1.0002089992671461,1.0344966022615512
Clade1,30.25,1.0056757919506243,1.0000306829682448,1.027850273812524
Clade1,30.5,1.0033637240699516,1.0000096804949967,1.0219201654831889
Clade1,30.75,1.0017934388788259,1.0000030245396543,1.0166943512942526
Clade1,31,1.0010136963071932,1.0000026546007128,1.0134535439865948
Clade1,31.25,1.0008970380031785,1.000001391208505,1.0121598123544469
Clade1,31.5,1.0011031734919313,1.0000024147737276,1.0141770319789691
Clade1,31.75,1.0018865149036604,1.000002875390623,1.0186007072822096
Clade1,32,1.003616298136586,1.0000156217306946,1.0244314799177812
Clade1,32.25,1.0062978610252862,1.0000356831748394,1.0312887545896978
Clade1,32.5,1.0101123857444048,1.0001963948497368,1.039542441268519
Clade1,32.75,1.0147083305704026,1.0007513268314705,1.0489397656340709
Clade1,33,1.0204130253341428,1.002203083798336,1.0593006884639766
Clade1,33.25,1.027160893675953,1.0045794426820653,1.0708751270465908
Clade1,33.5,1.0350180911015703,1.0077946194291703,1.0837491672778063
Clade1,33.75,1.0438907993109878,1.0119199671761088,1.0974719095479255
Clade1,34,1.0540242687337196,1.0171408227856467,1.112332188176064
Clade1,34.25,1.0655796990168902,1.0235459694955353,1.1290703461994558
Clade1,34.5,1.0785019053499225,1.0308403310991112,1.1476654473264043
Clade1,34.75,1.092873947952366,1.039515425253716,1.1681304880441394
Clade1,35,1.1085147875702945,1.0491788297619933,1.189768220456442
Clade1,35.25,1.1258600077622098,1.0602528691195152,1.213648869254326
Clade1,35.5,1.1451516410482139,1.073024755050314,1.2389881267134568
Clade1,35.75,1.1660627437413114,1.086553158792747,1.2662005964125784
Clade1,36,1.1887048598640555,1.1022989324200545,1.296375062114675
Clade1,36.25,1.2132438318690628,1.1198458812569463,1.3272270026565307
Clade1,36.5,1.2398057383779886,1.1391969410675826,1.3628468543494832
Clade1,36.75,1.2686180361012127,1.1604335203544263,1.400942097173385
Clade1,37,1.2994298337315522,1.1839720670262182,1.440529436287216
Clade1,37.25,1.3328632301907781,1.209551148998349,1.4838022024785091
Clade1,37.5,1.3688822474590516,1.2360579038100945,1.5289078280740962
Clade1,37.75,1.4072779607117993,1.2654375586162392,1.5782686250386102
Clade1,38,1.4492876419219347,1.2967265946207802,1.6309170743084533
Clade1,38.25,1.4931757445384004,1.3311498322892528,1.6872459518501586
Clade1,38.5,1.5399961922590557,1.3686711507085585,1.746391697125424
Clade1,38.75,1.5903364261083484,1.4085371334508685,1.808351518491357
Clade1,39,1.642608045590861,1.4513799265214629,1.8755412682621553
Clade1,39.25,1.7002529131080162,1.4968772418054241,1.947738699849729
Clade1,39.5,1.7637758671104902,1.5448768377735491,2.026244721338741
Clade1,39.75,1.8283215041942829,1.5957832426025633,2.1086661204026997
Clade1,40,1.9000011271755612,1.6520805414813522,2.1946784313853414
Clade1,40.25,1.974923631881991,1.7094831897768952,2.292449299003649
Clade1,40.5,2.0543167807274876,1.7735842158995783,2.3934600490525098
Clade1,40.75,2.138365292887478,1.8426615252512244,2.5006391999470186
Clade1,41,2.2283314468470063,1.9138531883442034,2.617217086723917
Clade1,41.25,2.3229994934444447,1.9911595367531973,2.7418408177190297
Clade1,41.5,2.424159901126572,2.0726342085093714,2.8720134721800687
Clade1,41.75,2.5317305630777547,2.158609137354338,3.008835517034493
Clade1,42,2.6431430815371275,2.2505613739788837,3.16013077248963
Clade1,42.25,2.765415276645576,2.346541907758237,3.316522301723791
Clade1,42.5,2.8919699551314135,2.446954339304442,3.487994558959619
Clade1,42.75,3.025417801715964,2.555390361505489,3.6670315551376653
Clade1,43,3.168174415715246,2.67048948196823,3.855462098650689
Clade1,43.25,3.321598242555937,2.7823905045541553,4.0633239815987165
Clade1,43.5,3.481080786306855,2.9029706471696173,4.278456130453502
Clade1,43.75,3.6579504636419773,3.0363124580930028,4.519617050257153
Clade1,44,3.839383948282225,3.1813563312238697,4.764629205174805
Clade2,22,2.148489846061059,1.831108637507321,2.540160514851321
Clade2,22.25,2.096893921574477,1.794902942733621,2.4685667870925165
Clade2,22.5,2.046967135887332,1.759654869028127,2.399202365734601
Clade2,22.75,1.9989860591360493,1.7252334789145598,2.3334588705796886
Clade2,23,1.9536595068345861,1.6935199886975814,2.2718883614434557
Clade2,23.25,1.909249436889692,1.6611897181149158,2.211165270834399
Clade2,23.5,1.864885745595637,1.628388875801869,2.154596958677706
Clade2,23.75,1.82174303405366,1.596417612153079,2.094765047211793
