Group,T_C,tax,lo,hi
Clade1,37,1.2982955582248428,1.1844401214283204,1.4370921383798922
Clade1,40,1.899008669603532,1.654037269892391,2.1912262064730346
Clade1,42,2.6478982596141654,2.2495151378323692,3.1450365240206386
Clade1,44,3.8536597330090716,3.16820220163497,4.743778340048113
Clade2,37,1.300853100004588,1.1785355811893041,1.4550583793316756
Clade2,40,2.2466129874340703,1.9117711021257016,2.6601942516208026
Clade2,42,3.6106732446862235,2.9258568012760637,4.4870398780390985
Clade2,44,6.066700859119997,4.603810318906476,8.089446356175065
Clade3,37,1.1706662265579348,1.094854472601776,1.2657892850007115
Clade3,40,1.608426255082515,1.4333105541124342,1.8139323026027987
Clade3,42,2.153430379452149,1.8710050248766241,2.500891052006621
Clade3,44,3.014265717969189,2.5416538175038745,3.6325559568484
Clade4,37,1.0730567165231961,1.0311704969432935,1.1349450111934187
Clade4,40,1.341000132393308,1.2299821405667468,1.4825629021051459
Clade4,42,1.6707632803778953,1.4844179352265368,1.9068599727817124
Clade4,44,2.1694134467551898,1.852222126098096,2.5796317593873126
para,37,1.5967341787274987,1.3863000674636774,1.8641604029587788
para,40,3.127264103550607,2.4866399985092493,4.068902300015037
para,42,5.420311999232092,3.9130761656691733,7.867792197907693
para,44,9.766887241407897,6.28615953395286,16.283247558455997
