Isolate,Group,T_C,tax,lo,hi
Clade1_2068,Clade1,37,1.3186302038438695,1.216439293070042,1.4428091283690594
Clade1_2068,Clade1,40,1.945984627799875,1.7394905430683885,2.188997773688228
Clade1_2069,Clade1,37,1.367486171014308,1.259198090314035,1.498537956471689
Clade1_2069,Clade1,40,2.0577082379527085,1.8262396219052774,2.3321839474759374
Clade1_2070,Clade1,37,1.2267031279284548,1.1394525068089212,1.3377648639963886
Clade1_2070,Clade1,40,1.733468541468731,1.5455646681295263,1.959601339859251
Clade2_2071,Clade2,37,1.3616825138345332,1.2535254529201054,1.4919748950301686
Clade2_2071,Clade2,40,2.4207088801237093,2.1575957386670646,2.7469299169795995
Clade2_2072,Clade2,37,1.271298721186925,1.1792667705507436,1.3802189128186975
Clade2_2072,Clade2,40,2.158049610518485,1.903648978844399,2.455183729563437
Clade2_2073,Clade2,37,1.2858861976648197,1.1851736440478966,1.4131749600984653
Clade2_2073,Clade2,40,2.2026811071028485,1.9491949704785738,2.5075386614397464
Clade3_2074,Clade3,37,1.13098325618585,1.0703466126892365,1.2069838301468505
Clade3_2074,Clade3,40,1.5147595104117129,1.3735730383834865,1.6755550581287477
Clade3_2075,Clade3,37,1.2161753809465297,1.141182594632121,1.318086425616396
Clade3_2075,Clade3,40,1.7148623613187661,1.552399662330715,1.926903755892289
Clade3_2076,Clade3,37,1.1742738096472256,1.1104406265621614,1.2517499591476116
Clade3_2076,Clade3,40,1.6171938949069826,1.4802133016210723,1.7785275680585038
Clade4_2077,Clade4,37,1.0527164765332397,1.0217083329914356,1.095850188397862
Clade4_2077,Clade4,40,1.2880454777112065,1.2030829923817654,1.3890483633631534
Clade4_2078,Clade4,37,1.0754011231738456,1.0380246398413744,1.12311209254098
Clade4_2078,Clade4,40,1.346804139514782,1.2542716122816684,1.4562403842544527
Clade4_2079,Clade4,37,1.0951669868609866,1.052785861416408,1.1563835038808912
Clade4_2079,Clade4,40,1.3962411688315974,1.289118948946597,1.5355881525510757
para_2051,para,37,1.6424508543132719,1.4278918630922726,1.9017600777312702
para_2051,para,40,3.260569079090861,2.564494299418556,4.244749943009982
para_2052,para,37,1.5523685955765334,1.3950730174431112,1.7376440438374063
para_2052,para,40,3.0070115770434267,2.538994832435331,3.55136940363267
para_2053,para,37,1.6198518606106345,1.4440192928658715,1.83286975976792
para_2053,para,40,3.203890626206713,2.59254430722673,4.011836511910106
