b0,b1_T,b2_T2,T_opt_C,CUE_at_opt,concave,r_squared,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
-0.6756986021977092,0.07214673952417854,-0.0012205006668214355,29.556206516490953,0.3904933642363413,TRUE,0.5156016218816257,58,1,Clade1_2068,13,1300
-1.3366548036005848,0.10957551940371765,-0.0017692892673288572,30.965970750827736,0.3599013608305537,TRUE,0.4481010563504931,58,2,Clade1_2069,13,1300
-1.466494546827124,0.12208140001319634,-0.0019427676850696973,31.419454047800016,0.45137092207573337,TRUE,0.516438795685243,60,3,Clade1_2070,13,1300
-1.0580091265921738,0.08701887443261785,-0.0014063325464870595,30.938228177249457,0.2880957698697011,TRUE,0.33241951224788696,53,4,Clade2_2071,13,1300
-1.9797773717214886,0.14341133082394925,-0.0022389561346714873,32.026382429549336,0.31669569112771967,TRUE,0.565489867515343,55,5,Clade2_2072,13,1300
-1.9244420801633473,0.13782890449724178,-0.002169690595380102,31.762340858811694,0.2644422422556518,TRUE,0.6423001661175336,51,6,Clade2_2073,13,1300
-1.4000593687592702,0.11259589741979423,-0.0017069844562522276,32.98093811205649,0.45669979347757694,TRUE,0.43877136065038497,57,7,Clade3_2074,13,1300
-1.7265640737411276,0.14446242345542012,-0.002320019933296821,31.133875485745182,0.5222734783738945,TRUE,0.6654074515775694,60,8,Clade3_2075,13,1300
-2.2500817577644368,0.17218115438253015,-0.002671938442015099,32.22026968792666,0.523779856927391,TRUE,0.6403189205610085,59,9,Clade3_2076,13,1300
-1.6310624246032837,0.12979836921597204,-0.0019238815710594772,33.733461344112875,0.5582117106346582,TRUE,0.4809820055777818,60,10,Clade4_2077,13,1300
-2.069597265665076,0.16323382221715207,-0.002470231055760144,33.0401931099764,0.6270412384020543,TRUE,0.6141528041818712,60,11,Clade4_2078,13,1300
-2.5410522558365174,0.19110654023952897,-0.0029459187535691425,32.43581310720007,0.5582957555499681,TRUE,0.5611563686090923,55,12,Clade4_2079,13,1300
-3.2129452253866795,0.26212316978948796,-0.004333390828927893,30.244579837994767,0.7509573426565339,TRUE,0.37990386093138556,49,13,glab_2048,8,800
-1.399071293495079,0.14732683332935023,-0.0024951960285443824,29.522095988445443,0.7756271641163113,TRUE,0.35188831794382436,60,14,glab_2049,8,800
-3.234012377850888,0.26550031800791185,-0.004237597226486267,31.32675238086036,0.9246189817858781,TRUE,0.6927092272368682,59,15,glab_2050,8,800
-1.3293960983723274,0.10925908477990283,-0.00182095599448808,30.00047368267637,0.30951605039406305,TRUE,0.1760638366155069,45,16,para_2051,38,3800
-2.359987984453561,0.18777890644545034,-0.003111954105798866,30.17057772406413,0.47271106147255226,TRUE,0.464888198054716,49,17,para_2052,38,3800
-1.7258810884675722,0.14597215661920132,-0.0024527328310845835,29.757043810322653,0.44596884133485526,TRUE,0.14121911787281338,43,18,para_2053,38,3800
