T,OTU,n,mean_r,median_r,mean_growth_fgC_h,median_growth_fgC_h,mean_T_end_min,median_T_end_min
42,1,4,0.010623859080599254,0.010448058616331544,828.6610082867419,814.9485720738605,142.42499999999998,128.885
42,2,5,0.007918277062509624,0.007477827312154406,617.6256108757507,583.2705303480437,162.316,166.53
42,3,5,0.01226963565052489,0.011656141915893413,957.0315807409414,909.1790694396863,145.43200000000002,133.39999999999998
42,4,3,0.0043021553130938375,0.004222097240816431,335.56811442131936,329.32358478368167,252.17,286.96999999999997
42,5,5,0.003168873741850432,0.002552651221722051,247.1721518643337,199.10679529431997,295.004,244.82
42,6,3,0.0033704386206773163,0.003163996849437617,262.89421241283065,246.79175425613414,254.51000000000002,242.8
42,7,5,0.012092693971000596,0.012299628515896083,943.2301297380463,959.3710242398945,192.394,195.6
42,8,5,0.010428171566075612,0.010570068462904878,813.3973821538978,824.4653401065805,188.978,191.58
42,9,5,0.009181196309965209,0.009389986124874204,716.1333121772863,732.4189177401879,208.056,199.62
42,10,5,0.01415927367607041,0.014755773402243988,1104.423346733492,1150.950325375031,170.70600000000002,166.5
42,11,5,0.014442066002894332,0.014180648006647121,1126.481148225758,1106.0905445184753,171.10999999999999,168.5
42,12,4,0.011482745265313007,0.012083554491227715,895.6541306944146,942.5172503157617,156.7225,156.485
42,14,5,0.006876066389291407,0.007057717119767921,330.05118668598755,338.7704217488602,342.242,352.25
42,15,5,0.009181178675720209,0.009194587613032008,440.69657643457003,441.3402054255364,284.798,278.98
44,1,4,0.006686124903939448,0.006173219147731383,521.5177425072769,481.51109352304786,211.17249999999999,210.17999999999998
44,2,4,0.005195000862251083,0.004818228288864869,405.2100672555845,375.82180653145974,200.89499999999998,193.135
44,3,5,0.006878981503796288,0.006689450814968761,536.5605572961105,521.7771635675633,188.006,193.65000000000003
44,4,1,0.0018768360542921316,0.0018768360542921316,146.39321223478626,146.39321223478626,312.03000000000003,312.03000000000003
44,7,3,0.007935310283967344,0.00784311417290156,618.9542021494528,611.7629054863216,201.36666666666667,201.70000000000005
44,8,5,0.004949749672212416,0.004515097068494229,386.0804744325684,352.1775713425499,263.074,249.83000000000004
44,9,4,0.006140473491442171,0.00684235212149371,478.9569323324893,533.7034654765093,236.29500000000002,219.74
44,10,5,0.010064505013190072,0.009936573837359491,785.0313910288256,775.0527593140404,198.418,200.63
44,11,5,0.0091934522378884,0.009456257112061852,717.0892745552952,737.5880547408244,218.69,197.61
44,12,1,0.006761355411709481,0.006761355411709481,527.3857221133395,527.3857221133395,190.62,190.62
44,14,5,0.001687247099557639,0.0016055433088672053,80.98786077876667,77.06607882562585,754.7040000000001,742.6500000000001
44,15,5,0.0030787256580369618,0.003186957654029098,147.77883158577416,152.9739673933967,473.25600000000003,450.59999999999997
