Group,T_C,tax,lo,hi
Clade1,22,1.1635580497465923,1.0588187941671123,1.2939897678480392
Clade1,22.25,1.1547038189396146,1.0545089643197492,1.279307918585331
Clade1,22.5,1.1459212304511857,1.0508815886496403,1.2646647870266148
Clade1,22.75,1.1371801347361084,1.0472076337327123,1.2505991965014098
Clade1,23,1.128771072311096,1.0434336737128815,1.2372332612356292
Clade1,23.25,1.1204611849537676,1.0397910866066242,1.2240089851414924
Clade1,23.5,1.1125687949217113,1.0363506110547385,1.211016114811863
Clade1,23.75,1.1046178656247716,1.033182875737334,1.1979089734082848
Clade1,24,1.0971418579945098,1.0300931348227391,1.1863534212639082
Clade1,24.25,1.0898980053795322,1.0270028506024222,1.1750557309821805
Clade1,24.5,1.0826678893211357,1.0240432016728582,1.162886686460924
Clade1,24.75,1.0756823043961061,1.0211862182241314,1.1507225598514415
Clade1,25,1.0688078212294012,1.018328468176116,1.1387728919207107
Clade1,25.25,1.0623753371368343,1.0156332449390366,1.1285550494607417
Clade1,25.5,1.056431465406424,1.0131097783112688,1.1182957877623443
Clade1,25.75,1.0503140573501617,1.010782414018204,1.1079930826307318
Clade1,26,1.044606557607492,1.008767098453196,1.0988572138155845
Clade1,26.25,1.0390417170453259,1.007083371062967,1.0895266648404582
Clade1,26.5,1.033934448120158,1.005323417183114,1.0806916279140086
Clade1,26.75,1.0290971180197848,1.003891399800665,1.0725310195429012
Clade1,27,1.0244636910494949,1.0025137481717357,1.0641434749777
Clade1,27.25,1.020385742795317,1.001700382970943,1.0567617291785507
Clade1,27.5,1.0164435453371863,1.0008838083830853,1.0491904433403627
Clade1,27.75,1.01294410867792,1.0004164736835683,1.0424920781393445
Clade1,28,1.0098101296024242,1.0001286220921624,1.0361881100006036
Clade1,28.25,1.0071248629334209,1.000048199053226,1.030440981041898
Clade1,28.5,1.0048253009575108,1.0000480571260608,1.0254085762592005
Clade1,28.75,1.0030292865380468,1.0000097742367116,1.0207378403580027
Clade1,29,1.001820598167268,1.000005960077799,1.0166166357231785
Clade1,29.25,1.001112971191359,1.0000018916097793,1.0133850226266978
Clade1,29.5,1.00087008376804,1.0000016342354052,1.0109639386912455
Clade1,29.75,1.0009374318824333,1.000001860744673,1.011633919861799
Clade1,30,1.001305016022607,1.0000031393479398,1.0141508710454614
Clade1,30.25,1.0022261137580601,1.0000035576453397,1.017904421180911
Clade1,30.5,1.0039505303414846,1.000010744148652,1.0226981801976966
Clade1,30.75,1.0064720538767802,1.0000377767818618,1.0285276690984577
Clade1,31,1.0096485307496952,1.000160568434171,1.034857484334855
Clade1,31.25,1.0136389079670403,1.0007948258527426,1.0421471507374689
Clade1,31.5,1.018291520855597,1.0020678689799611,1.0505202408726027
Clade1,31.75,1.0237528146177652,1.0040280560072343,1.0594973551864593
Clade1,32,1.0301918623179347,1.0069615827169245,1.0694424087493066
Clade1,32.25,1.03744286801938,1.0105697469470087,1.080618963945406
Clade1,32.5,1.0457235189066552,1.015112421547851,1.0928315983574874
Clade1,32.75,1.0550303199558235,1.0205405011036937,1.1065703867243069
Clade1,33,1.0655274611195942,1.02668630463554,1.1217975342646112
Clade1,33.25,1.0771766194103705,1.033633957113437,1.1381345305115955
Clade1,33.5,1.0897428518394892,1.041930165255772,1.1567301523302382
Clade1,33.75,1.1036531852503875,1.0508504503313607,1.1752590112028596
Clade1,34,1.1191084705729892,1.0613008734288312,1.1959915739352076
Clade1,34.25,1.1361919039791708,1.0728740496858147,1.2185504646882284
Clade1,34.5,1.154537735176139,1.0859321101288197,1.2431077053887432
Clade1,34.75,1.174547490096968,1.1002242268334705,1.2701148805089721
Clade1,35,1.1963848327272362,1.1160093642005373,1.299655300794587
Clade1,35.25,1.2199372436758762,1.1334901540310458,1.3316612872804257
Clade1,35.5,1.2454878287535047,1.152637351677992,1.3654365215789408
Clade1,35.75,1.2731232287733207,1.1735524456807596,1.4013377841972265
Clade1,36,1.3030495939679492,1.1961711704493316,1.4393338606338053
Clade1,36.25,1.3349302511355545,1.2205396193106735,1.4805381795517354
Clade1,36.5,1.3698354396832029,1.2466786820888482,1.5245011343253503
Clade1,36.75,1.407189155661206,1.2762832505353636,1.5727785611929384
Clade1,37,1.447448863065752,1.3080571956018812,1.621687750170333
Clade1,37.25,1.4913357263220175,1.3402849927727551,1.6772402052539308
