Isolate,Group,T_C,tax,lo,hi
Clade1_2068,Clade1,37,1.4766376017772966,1.3516882776074348,1.6296474231333602
Clade1_2068,Clade1,40,2.286612967102501,2.0377282195748814,2.5813371903212445
Clade1_2069,Clade1,37,1.5186702603015099,1.3826398406373899,1.6751483820631698
Clade1_2069,Clade1,40,2.3872009918370236,2.1051037311792196,2.708780577822105
Clade1_2070,Clade1,37,1.3667842899543494,1.2552907824071502,1.509093456527088
Clade1_2070,Clade1,40,2.038271099939272,1.8061003131337905,2.3144637665839722
Clade2_2071,Clade2,37,1.4737192259703398,1.3428712626378512,1.6216196030405103
Clade2_2071,Clade2,40,2.748978504253498,2.4412571326800827,3.101392925361842
Clade2_2072,Clade2,37,1.3645410501171802,1.2548658708894138,1.4903117262388996
Clade2_2072,Clade2,40,2.43544740504879,2.149744197021842,2.7686437836740776
Clade2_2073,Clade2,37,1.3852515670799161,1.2635158236338828,1.5330843299273638
Clade2_2073,Clade2,40,2.498404543193634,2.204977572430319,2.830369446987036
Clade3_2074,Clade3,37,1.2693308563861905,1.1781908102834133,1.3719178888357892
Clade3_2074,Clade3,40,1.8287040962134127,1.6391077263824363,2.035405915631285
Clade3_2075,Clade3,37,1.4025282024960797,1.292519186384645,1.5414435609279895
Clade3_2075,Clade3,40,2.1269617089479542,1.9027061347621066,2.4122230785510905
Clade3_2076,Clade3,37,1.324918250764704,1.2331743199398293,1.427480904865584
Clade3_2076,Clade3,40,1.9551516253295058,1.7749486849952358,2.1544972353685976
Clade4_2077,Clade4,37,1.2237224380761305,1.1502775808510153,1.3083142041670333
Clade4_2077,Clade4,40,1.6813029064383742,1.534568579346144,1.83855623522261
Clade4_2078,Clade4,37,1.2778689502981446,1.1961369271943072,1.3705537432467425
Clade4_2078,Clade4,40,1.7989414089978726,1.6425835201276484,1.9746469185524442
Clade4_2079,Clade4,37,1.3143442734882917,1.2280344777238832,1.417078593627665
Clade4_2079,Clade4,40,1.8784526173489677,1.7065072355588635,2.0827691159397728
para_2051,para,37,1.8989754656761288,1.6371663232151248,2.2173268090363325
para_2051,para,40,4.016096987210538,3.183697537141855,5.207821620862989
para_2052,para,37,1.787278141527545,1.5898753407961155,2.003890710086302
para_2052,para,40,3.69249468676953,3.1543875495747833,4.2995634802823055
para_2053,para,37,1.9074153982539424,1.6842142820570514,2.1761530368031097
para_2053,para,40,4.05459742437287,3.2951661120310836,5.056074712125866
