T,OTU,Replicate,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,n0_ramp_factor,N_inoculation_cells_per_L
22,1,R1,37.1,582.8,37.1,0.9907741548355252,42000000
22,1,R2,65.2,619.9,65.2,0.9861795714066486,42000000
22,1,R3,87.2,582.8,87.2,0.9863324925657242,42000000
22,1,R4,77.2,599.8,77.2,0.9872489640813572,42000000
22,1,R5,77.2,552.7,77.2,0.9865716615097012,42000000
22,2,R1,64.2,458.4,64.2,0.9860956211245756,42000000
22,2,R2,71.2,587.8,71.2,0.9822762908403064,42000000
22,2,R3,75.2,556.7,75.2,0.9805080555927695,42000000
22,2,R4,75.2,494.6,75.2,0.9859778530203304,42000000
22,2,R5,56.1,552.7,56.1,0.986365399464722,42000000
22,3,R1,57.1,568.7,57.1,0.987965663417478,42000000
22,3,R2,63.2,599.8,63.2,0.9873176793885612,42000000
22,3,R3,76.2,568.7,76.2,0.9878877689968826,42000000
22,3,R4,65.2,705.1,65.2,0.9880900119591156,42000000
22,3,R5,84.2,518.6,84.2,0.9873752025731688,42000000
22,4,R1,50.1,659.1,50.1,0.9911304554047716,42000000
22,4,R2,55.1,774.5,55.1,0.9908151545492336,42000000
22,4,R3,39.1,677.2,39.1,0.9929556830034252,42000000
22,4,R4,74.2,699.3,74.2,0.9896211522087732,42000000
22,4,R5,66.2,797.6,66.2,0.9906491780518644,42000000
22,5,R1,58.1,859.8,58.1,0.9903399612579116,42000000
22,5,R2,68.2,899.9,68.2,0.990545943156758,42000000
22,5,R3,70.2,898.9,70.2,0.9905327265065984,42000000
22,5,R4,75.2,622.7,75.2,0.993991282741456,42000000
22,5,R5,58.1,677.2,58.1,0.99354947362407,42000000
22,6,R1,63.1,800.6,63.1,0.9931309764371594,42000000
22,6,R2,56.1,1021.3,56.1,0.99226981683481,42000000
22,6,R3,65.2,945.1,65.2,0.9907070183304078,42000000
22,6,R4,73.2,1004.3,73.2,0.9919542239046378,42000000
22,6,R5,68.2,776.5,68.2,0.99352002138147,42000000
22,7,R1,34.1,685.2,34.1,0.9942004578528832,42000000
22,7,R2,37.1,641,37.1,0.9937366634875155,42000000
22,7,R3,50.1,675.1,50.1,0.992720075802668,42000000
22,7,R4,34.1,641,34.1,0.9949864176652724,42000000
22,7,R5,50.1,685.2,50.1,0.9930170165975838,42000000
22,8,R1,50.1,701.3,50.1,0.9950583359681427,42000000
22,8,R2,53.1,690.2,53.1,0.9951222558994898,42000000
22,8,R3,57.2,579.9,57.2,0.9943839424444983,42000000
22,8,R4,62.2,642,62.2,0.9942936061117684,42000000
22,8,R5,53.1,569.9,53.1,0.9939351859898882,42000000
22,9,R1,37.1,674.1,37.1,0.994968990996032,42000000
22,9,R2,53.1,548.8,53.1,0.9944475719514884,42000000
22,9,R3,54.1,659.1,54.1,0.9939650659036128,42000000
22,9,R4,51.1,657.1,51.1,0.9941082070120674,42000000
22,9,R5,53.1,718.3,53.1,0.994250934121716,42000000
22,10,R1,18,680.2,18,0.998028152901646,42000000
22,10,R2,6,635,6,0.9991561974516512,42000000
22,10,R3,37.1,636,37.1,0.9969016412023236,42000000
22,10,R4,16,683.2,16,0.9981838150779696,42000000
22,10,R5,21,671.1,21,0.997868076910156,42000000
22,11,R1,33.1,619,33.1,0.9966914591438062,42000000
22,11,R2,19,637,19,0.9978481761644936,42000000
22,11,R3,38.1,606.9,38.1,0.9960738178378418,42000000
22,11,R4,38.1,638,38.1,0.9963999893529246,42000000
22,11,R5,36.1,594.9,36.1,0.9961420969727152,42000000
22,12,R1,20,572.8,20,0.9978005425732064,42000000
22,12,R2,44.1,605.9,44.1,0.9961208090804912,42000000
22,12,R3,25.1,470.5,25.1,0.9973255570030004,42000000
22,12,R4,54.2,517.6,54.2,0.9951851673443,42000000
22,12,R5,21,573.8,21,0.9976453373898844,42000000
22,13,R1,157.5,1267.4,157.5,0.992455040524527,69000000
22,13,R2,129.4,791.9,129.4,0.9878857484142058,69000000
22,13,R3,56.1,1122.1,56.1,1,69000000
22,13,R4,122.3,794.9,122.3,0.9902420664963426,69000000
22,13,R5,234.7,889.3,234.7,0.9854374920262328,69000000
22,14,R1,114.3,679.4,114.3,0.994829631962477,69000000
22,14,R2,88.2,624.1,88.2,0.9936460111352602,69000000
22,14,R3,129.4,661.3,129.4,0.9921236609835968,69000000
22,14,R4,144.4,669.3,144.4,0.990601985916367,69000000
22,14,R5,117.3,685.4,117.3,0.9904363326768232,69000000
22,15,R1,112.3,588,112.3,0.9879987620880514,69000000
22,15,R2,107.3,643.2,107.3,0.9927866567423984,69000000
22,15,R3,144.4,607.1,144.4,0.9909650383846366,69000000
22,15,R4,116.3,580,116.3,0.9831409692622116,69000000
22,15,R5,114.3,563.9,114.3,0.9848324770658632,69000000
22,16,R1,37.1,491.4,37.1,0.9928031127118748,14000000
22,16,R2,47.1,526.5,47.1,0.9899892796003124,14000000
22,16,R3,56.2,513.5,56.2,0.9917784735080674,14000000
22,16,R4,46.1,448.3,46.1,0.990717339150602,14000000
22,16,R5,49.1,438.3,49.1,0.991711359403784,14000000
22,17,R1,59.2,572.6,59.2,0.9909402365242476,14000000
22,17,R2,71.2,466.3,71.2,0.990532773253322,14000000
22,17,R3,110.3,527.5,110.3,0.98765670291529,14000000
22,17,R4,62.2,436.3,62.2,0.9894891273377294,14000000
22,17,R5,53.2,540.5,53.2,0.9922005425929252,14000000
22,18,R1,34.1,645.8,34.1,0.9935736087731428,14000000
22,18,R2,65.2,603.7,65.2,0.9901374413156044,14000000
22,18,R3,62.2,602.7,62.2,0.989791470413632,14000000
22,18,R4,90.3,647.8,90.3,0.9902178510501224,14000000
22,18,R5,62.2,649.8,62.2,0.991538330799505,14000000
24,1,R1,60.1,495.4,60.1,0.9760286345080492,42000000
24,1,R2,58.1,425.2,58.1,0.9746697749792488,42000000
24,1,R3,83.2,478.4,83.2,0.9721723870481004,42000000
