Group,T_C,tax,lo,hi
Clade1,37,1.2977578748862086,1.1855595588177228,1.4380310689582785
Clade1,40,1.8993346513741065,1.6575296278515228,2.189725664067595
Clade1,42,2.649042196661963,2.2482302077746295,3.1369423023402137
Clade1,44,3.8547306156110013,3.1617306113250154,4.734364220175961
Clade2,37,1.301866098637348,1.178808463772955,1.455285442137905
Clade2,40,2.248168485798253,1.9181556397566282,2.6642782190494607
Clade2,42,3.6145130900791056,2.9272880490539204,4.489393612954206
Clade2,44,6.073299731304763,4.5852778237061225,8.119427068559927
Clade3,37,1.169893637961622,1.093871870138407,1.2656631851127755
Clade3,40,1.6068112029294244,1.4342786681778112,1.8154537740799117
Clade3,42,2.151663855772397,1.871313107263462,2.4953583758449813
Clade3,44,3.0123337503198346,2.5396148276115746,3.6083651081135213
Clade4,37,1.0733486848696265,1.0309992357010667,1.1354704575767751
Clade4,40,1.3415355981409731,1.2307139230186468,1.481935399933764
Clade4,42,1.6712178014377943,1.4893760355941923,1.906148389689641
Clade4,44,2.1696254261115575,1.8599394047657434,2.5834264554043562
para,37,1.5965213780452852,1.3836712942007998,1.8573539157744032
para,40,3.1347701369231857,2.483754680521333,4.026678746285977
para,42,5.446986852317921,3.9200852077490667,7.861849456977771
para,44,9.810078986331503,6.286363194356979,16.289329016754785
