Isolate,Group,T_C,tax,lo,hi
Clade1_2068,Clade1,37,1.31893816354683,1.2174758371526695,1.4416085634704938
Clade1_2068,Clade1,40,1.9467364595898111,1.7388566166481523,2.1955080529372806
Clade1_2069,Clade1,37,1.3670986951040502,1.2594216804676575,1.5024413184362528
Clade1_2069,Clade1,40,2.057331454710864,1.8291303873539204,2.3398403830960994
Clade1_2070,Clade1,37,1.227235650220698,1.139956106768173,1.336385887787592
Clade1_2070,Clade1,40,1.7364399487828885,1.5438646836305667,1.9566557135414047
Clade2_2071,Clade2,37,1.3632249587888365,1.250848178292008,1.4932694702709464
Clade2_2071,Clade2,40,2.4230344271040183,2.156135971670506,2.744369269092949
Clade2_2072,Clade2,37,1.2716764399679599,1.1787269998954288,1.3811604761175305
Clade2_2072,Clade2,40,2.1599194470044596,1.9011612297376481,2.470566467888499
Clade2_2073,Clade2,37,1.2869162573282857,1.1837314556838932,1.4072778046187788
Clade2_2073,Clade2,40,2.204364402301886,1.948472316015667,2.502785058478217
Clade3_2074,Clade3,37,1.1308893675875298,1.067923827596549,1.2063789585408309
Clade3_2074,Clade3,40,1.5139913351055938,1.3695273353246227,1.673715122470819
Clade3_2075,Clade3,37,1.2151395666018177,1.140062973808365,1.3183707403460712
Clade3_2075,Clade3,40,1.7127243332554198,1.552989408105799,1.9297201331618208
Clade3_2076,Clade3,37,1.1727389574727776,1.1093684827079515,1.2521621215337189
Clade3_2076,Clade3,40,1.6152218926346602,1.478394420324062,1.775991682647868
Clade4_2077,Clade4,37,1.0530344496168023,1.0219693238820367,1.0964872310561946
Clade4_2077,Clade4,40,1.2889509164742765,1.2031532652911796,1.3889299396639219
Clade4_2078,Clade4,37,1.0756233250508112,1.0379059599366969,1.124027853731538
Clade4_2078,Clade4,40,1.3469310938402277,1.2541887550389454,1.4537820753126185
Clade4_2079,Clade4,37,1.0958062306363698,1.052047764560452,1.1567848935485063
Clade4_2079,Clade4,40,1.3977392842206027,1.289065070332531,1.5371387838987438
para_2051,para,37,1.6379278861869806,1.4313895657008304,1.9048666819393096
para_2051,para,40,3.25492457563226,2.571772089660282,4.246511655406429
para_2052,para,37,1.5507196089659083,1.3923091762328004,1.7362939285581631
para_2052,para,40,3.0073956001132682,2.5424922537446326,3.5320017328694644
para_2053,para,37,1.6209954700376015,1.442694937946132,1.8326235425543675
para_2053,para,40,3.2078742142375267,2.5917674753275657,4.013690199219349
