T,OTU,Replicate,fit_start,fit_end
22,1,R1,37.1,582.8
22,1,R2,65.2,619.9
22,1,R3,87.2,582.8
22,1,R4,77.2,599.8
22,1,R5,77.2,552.7
22,2,R1,64.2,458.4
22,2,R2,71.2,587.8
22,2,R3,75.2,556.7
22,2,R4,75.2,494.6
22,2,R5,56.1,552.7
22,3,R1,57.1,568.7
22,3,R2,63.2,599.8
22,3,R3,76.2,568.7
22,3,R4,65.2,705.1
22,3,R5,84.2,518.6
22,4,R1,50.1,659.1
22,4,R2,55.1,774.5
22,4,R3,39.1,677.2
22,4,R4,74.2,699.3
22,4,R5,66.2,797.6
22,5,R1,58.1,859.8
22,5,R2,68.2,899.9
22,5,R3,70.2,898.9
22,5,R4,75.2,622.7
22,5,R5,58.1,677.2
22,6,R1,63.1,800.6
22,6,R2,56.1,1021.3
22,6,R3,65.2,945.1
22,6,R4,73.2,1004.3
22,6,R5,68.2,776.5
22,7,R1,34.1,685.2
22,7,R2,37.1,641
22,7,R3,50.1,675.1
22,7,R4,34.1,641
22,7,R5,50.1,685.2
22,8,R1,50.1,701.3
22,8,R2,53.1,690.2
22,8,R3,57.2,579.9
22,8,R4,62.2,642
22,8,R5,53.1,569.9
22,9,R1,37.1,674.1
22,9,R2,53.1,548.8
22,9,R3,54.1,659.1
22,9,R4,51.1,657.1
22,9,R5,53.1,718.3
22,10,R1,18,680.2
22,10,R2,6,635
22,10,R3,37.1,636
22,10,R4,16,683.2
22,10,R5,21,671.1
22,11,R1,33.1,619
22,11,R2,19,637
22,11,R3,38.1,606.9
22,11,R4,38.1,638
22,11,R5,36.1,594.9
22,12,R1,20,572.8
22,12,R2,44.1,605.9
22,12,R3,25.1,470.5
22,12,R4,54.2,517.6
22,12,R5,21,573.8
22,13,R1,157.5,1267.4
22,13,R2,129.4,791.9
22,13,R3,56.1,1122.1
22,13,R4,122.3,794.9
22,13,R5,234.7,889.3
22,14,R1,114.3,679.4
22,14,R2,88.2,624.1
22,14,R3,129.4,661.3
22,14,R4,144.4,669.3
22,14,R5,117.3,685.4
22,15,R1,112.3,588
22,15,R2,107.3,643.2
22,15,R3,144.4,607.1
22,15,R4,116.3,580
22,15,R5,114.3,563.9
22,16,R1,37.1,491.4
22,16,R2,47.1,526.5
22,16,R3,56.2,513.5
22,16,R4,46.1,448.3
22,16,R5,49.1,438.3
22,17,R1,59.2,572.6
22,17,R2,71.2,466.3
22,17,R3,110.3,527.5
22,17,R4,62.2,436.3
22,17,R5,53.2,540.5
22,18,R1,34.1,645.8
22,18,R2,65.2,603.7
22,18,R3,62.2,602.7
22,18,R4,90.3,647.8
22,18,R5,62.2,649.8
24,1,R1,60.1,495.4
24,1,R2,58.1,425.2
24,1,R3,83.2,478.4
24,1,R4,77.2,476.3
24,1,R5,71.2,477.3
24,2,R1,57.1,445.2
24,2,R2,59.1,422.2
24,2,R3,58.1,448.3
24,2,R4,58.1,393.1
24,2,R5,54.1,442.2
24,3,R1,51.1,488.4
24,3,R2,63.1,541.5
24,3,R3,66.2,476.3
24,3,R4,92.2,492.4
24,3,R5,89.2,510.4
24,4,R1,59.2,489.6
24,4,R2,81.3,578.8
24,4,R3,77.2,577.8
24,4,R4,62.2,530.7
24,4,R5,60.2,622
24,5,R1,54.1,698.2
24,5,R2,87.3,648.1
24,5,R3,63.2,671.1
24,5,R4,89.3,683.2
24,5,R5,60.2,556.8
24,6,R1,59.2,802.6
24,6,R2,31.1,720.3
24,6,R3,78.2,786.5
24,6,R4,68.2,782.5
24,6,R5,87.3,736.4
24,7,R1,53.2,469.5
24,7,R2,42.1,566.8
24,7,R3,37.1,557.8
24,7,R4,35.1,612
24,7,R5,67.2,511.6
24,8,R1,41.1,513.6
24,8,R2,60.2,486.5
24,8,R3,57.2,487.5
24,8,R4,58.2,504.6
24,8,R5,53.2,510.6
24,9,R1,63.2,489.5
24,9,R2,66.2,570.8
24,9,R3,58.2,466.5
24,9,R4,62.2,512.6
24,9,R5,63.2,461.5
24,10,R1,48.1,565.8
24,10,R2,43.1,558.8
24,10,R3,74.2,546.7
24,10,R4,72.2,508.6
24,10,R5,74.2,569.8
24,11,R1,73.2,581.8
24,11,R2,71.2,529.7
24,11,R3,52.1,533.7
24,11,R4,71.2,469.5
24,11,R5,68.2,509.6
24,12,R1,52.1,503.6
24,12,R2,72.2,527.6
24,12,R3,80.2,501.6
24,12,R4,55.1,510.6
24,12,R5,75.2,523.6
24,13,R1,43.1,653.3
24,13,R2,145.5,660.3
24,13,R3,94.3,637.2
24,13,R4,120.4,641.2
24,13,R5,94.3,628.2
24,14,R1,167.6,674.4
24,14,R2,120.4,637.2
24,14,R3,116.4,604.1
24,14,R4,146.5,595.1
24,14,R5,215.8,664.3
24,15,R1,64.2,463.6
24,15,R2,119.4,472.6
24,15,R3,193.7,604.1
24,15,R4,113.4,526.9
24,15,R5,114.4,560
24,16,R1,25.1,480.2
24,16,R2,70.2,462.2
24,16,R3,69.2,467.2
24,16,R4,70.2,480.2
24,16,R5,66.2,467.2
24,17,R1,45.1,419.1
24,17,R2,82.2,424.1
24,17,R3,25.1,480.2
24,17,R4,91.2,449.1
24,17,R5,72.2,471.2
24,18,R1,50.1,466.2
24,18,R2,48.1,460.2
24,18,R3,66.2,496.3
24,18,R4,70.2,499.3
24,18,R5,86.2,438.1
26,1,R1,71.2,345
26,1,R2,75.2,430.3
26,1,R3,72.2,383.1
26,1,R4,68.2,428.3
26,1,R5,77.2,381.1
26,2,R1,69.2,392.1
26,2,R2,59.1,420.2
26,2,R3,80.2,391.1
26,2,R4,75.2,390.1
26,2,R5,73.2,390.1
26,3,R1,54.1,415.2
26,3,R2,61.1,416.2
26,3,R3,77.2,351
26,3,R4,68.2,432.3
26,3,R5,63.2,428.3
26,4,R1,65.2,448.5
26,4,R2,87.2,450.5
26,4,R3,74.2,502.7
26,4,R4,64.2,462.6
26,4,R5,62.1,508.7
26,5,R1,73.2,569.9
26,5,R2,85.2,452.5
26,5,R3,93.2,567.9
26,5,R4,99.2,557.9
