reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R07054__cyto,2.6479,CPAR2_500140,C00219,1
R00894__cyto,1.139,CPAR2_208390,C00025,2
TO0000182_CYTMEM__plas,14.3407,CPAR2_402410,C00212,2
R01853__pero,0.1348,CPAR2_104430,C00797,2
R03936__cyto,8.5953,CPAR2_207220,C02700,1
R02354__cyto,1.6651,CPAR2_500140,C00468,1
R00658__cyto,20.1113,CPAR2_207210,C00631,2
R00763__cyto,26.5083,CPAR2_301740,C00665,3
R01220__cyto,11.9586,CPAR2_204710,C00143,2
R08657__mito,41.9421,CPAR2_501330,C00093,2
R06520__mito,7.6349,CPAR2_207800,C01120,5
R04591__cyto,3.2144,CPAR2_500190,C04751,2
R02485__cyto,13.8505,CPAR2_302050,C00881,1
TO1002511_CYTMEM__plas,11.3569,CPAR2_209780,C04058,1
R00527__cyto,8.4897,CPAR2_701120,C01031,1
TR2900096_CYTMEM__plas,19.507,CPAR2_404540,C00062,6
R00489__cyto,20.0219,CPAR2_804600,C00049,3
TO1000438_CYTMEM__plas,8.1265,CPAR2_209780,C00559,1
R00848__mito,41.9421,CPAR2_501330,C00093,1
R07895__cyto,26.8076,CPAR2_212970,C00024,6
R01072__cyto,7.2314,CPAR2_208260,C00064,2
R02464__cyto,3.5483,CPAR2_806890,C01120,1
R00548__cyto,130.228,CPAR2_804710,C00061,6
R00768__cyto,0.0922,CPAR2_405140,C00064,2
R04891__cyto,79.6718,CPAR2_203980,C05583,3
TR1000310_CYTMEM__plas,2.7614,CPAR2_203510,C00386,11
R00243__cyto,3.4985,CPAR2_104190,C00025,1
TO1000249_CYTMEM__plas,10.5184,CPAR2_209780,C00299,1
R03293__cyto,0.6454,CPAR2_402200,C01157,1
R08657__cyto,41.9421,CPAR2_501330,C00093,2
TR2901123_CYTMEM__plas,2.7718,CPAR2_406100,C01226,2
R04639__cyto,7.5862,CPAR2_101130,C06148,1
R12120__mito,0.3495,CPAR2_303740,C21920,1
TR2900814_CYTMEM__plas,1.0897,CPAR2_406070,C00144,1
TR2000161_CYTMEM__plas,0.6143,CPAR2_703450,C00188,1
TO1002738_CYTMEM__plas,90.7337,CPAR2_201900,C04489,3
R03657__cyto,40.0821,CPAR2_101390,C00123,1
R01466__cyto,166.0429,CPAR2_304350,C01102,1
R03652__cyto,36.4348,CPAR2_301040,C00064,2
R02295__cyto,3.1149,CPAR2_103240,C05841,1
R00937__cyto,7.0826,CPAR2_704170,C00101,1
R00717__cyto,1.7979,CPAR2_207700,C00048,1
R09419__cyto,4.766,CPAR2_807310,C00083,3
R02874__cyto,11.2303,CPAR2_210480,C00751,1
R02359__cyto,0.2665,CPAR2_301880,C01537,1
R00248__cyto,6.6662,CPAR2_206810,C00025,2
R01372__cyto,6.3923,CPAR2_104630,C00166,1
TR2900231_CYTMEM__plas,6.5761,CPAR2_103870,C01081,2
R02003__cyto,22.1599,CPAR2_103950,C00129,4
R00674__cyto,101.5528,CPAR2_501440,C00463,4
R02849__cyto,19.1668,CPAR2_204260,C00738,6
R02413__cyto,6.4999,CPAR2_400020,C00493,1
R01801_Cyto__cyto,28.2581,CPAR2_805350,C00093,1
R01398__cyto,711.2137,CPAR2_601520,C00169,2
TR2901159_CYTMEM__plas,4.0538,CPAR2_406100,C08362,2
R04208__cyto,3.3002,CPAR2_208400,C04640,1
R10949__cyto,5.6769,CPAR2_203160,C20969,3
TI6900005_CYTMEM__plas,179.5016,CPAR2_109970,C00399,16
TO0000924_CYTMEM__plas,1.2724,CPAR2_107960,C01260,1
R01030__cyto,8.7356,CPAR2_803790,C00670,2
TR1000388_CYTMEM__plas,242.2023,CPAR2_203500,C00499,11
TR2900858_CYTMEM__plas,3.0031,CPAR2_600780,C00059,2
R00763__mito,26.5083,CPAR2_301740,C00665,3
R02722__cyto,122.1248,CPAR2_501440,C03506,4
TR2900990_CYTMEM__plas,2.8879,CPAR2_406100,C06423,2
R00220__pero,10.423,CPAR2_304120,C00065,4
TR2900267_CYTMEM__plas,6.5761,CPAR2_103870,C01081,2
R02739__cyto,28.0367,CPAR2_204880,C00668,2
TR2901179_CYTMEM__plas,27.9517,CPAR2_700120,C00750,22
R01157__cyto,1.7215,CPAR2_602270,C00179,2
R01330__cyto,19.1668,CPAR2_204260,C00159,3
R00227__cyto,20.4334,CPAR2_101620,C00024,1
R01220__mito,11.9586,CPAR2_204710,C00143,2
R12205__mito,2.2544,CPAR2_801860,C02050,1
TR1000121_CYTMEM__plas,6.2053,CPAR2_210080,C00137,1
R01787__cyto,0.2935,CPAR2_101350,C00794,1
TR2900277_CYTMEM__plas,26.0365,CPAR2_805840,C00158,2
TR2900030_CYTMEM__plas,52.3648,CPAR2_211030,C00053,2
R01288__cyto,5.6389,CPAR2_110340,C00283,2
R07396__cyto,124.0524,CPAR2_500520,C01180,6
R03036__cyto,56.3619,CPAR2_303020,C00882,3
TO0010516_PLAS__plas,11.803,CPAR2_805630,C14819,2
R01960__cyto,2.2743,CPAR2_504050,C00328,1
TR0000111_CYTMEM__plas,183.2147,CPAR2_807910,C00127,8
TR2900287_CYTMEM__plas,752.689,CPAR2_805840,C02341,2
TR2900308_CYTMEM__plas,81.3504,CPAR2_303940,C00147,2
R01274__pero,12.2988,CPAR2_209830,C00154,1
TR0001563_CYTMEM__plas,1.2496,CPAR2_803540,C02341,1
R01051__cyto,19.6183,CPAR2_201350,C00121,1
R00974__cyto,0.7547,CPAR2_602820,C00380,1
R03661__cyto,59.3859,CPAR2_703820,C00148,3
R11764__cyto,0.2845,CPAR2_101350,C00272,1
TR0000559_CYTMEM__plas,13.4593,CPAR2_105400,C00751,3
R00278__cyto,3.1549,CPAR2_204180,C00627,1
TR1000157_CYTMEM__plas,45.1268,CPAR2_108350,C00184,10
R02558__cyto,2.805,CPAR2_200980,C00844,2
TR2916905_CYTMEM__plas,2.9017,CPAR2_404450,C00036,2
R01926__mito,10.364,CPAR2_804970,C00319,1
R04882__pero,31.0626,CPAR2_203980,C05577,3
R01736__cyto,47.06,CPAR2_407100,C03451,1
R01626__cyto,3.5494,CPAR2_302650,C00083,2
R05733__cyto,2.2343,CPAR2_400970,C04814,2
