reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R00894__cyto,10.4843,XP_025338126.1,C00025,2
R03936__cyto,1.7766,XP_025335432.1,C02700,1
R00658__cyto,27.1191,XP_025335431.1,C00631,1
R00763__cyto,4.0869,XP_025337151.1,C00665,5
R12120__cyto,3.8694,XP_025336625.1,C21920,1
R08657__mito,15.3724,XP_025338295.1,C00093,2
R04591__cyto,16.6499,XP_025338827.1,C04751,2
R02485__cyto,119.7739,XP_025337858.1,C00881,1
R00527__cyto,18.3503,XP_025335263.1,C01031,1
R02590__cyto,2.5268,XP_025339452.1,C06459,2
R03893__cyto,181.1824,XP_025337424.1,C04431,1
R00489__cyto,7.8369,XP_025338709.1,C00049,2
R03352__cyto,31.243,XP_025337750.1,C04047,3
R00848__mito,15.3724,XP_025338295.1,C00093,1
R07895__cyto,0.834,XP_025336658.1,C00024,2
R01072__cyto,16.4561,XP_025337387.1,C00064,2
R01187__cyto,5.579,XP_025337899.1,C04006,5
R02464__cyto,3.3149,XP_025336042.1,C01120,1
R00548__cyto,296.4833,XP_025336664.1,C00061,1
R00768__cyto,0.0431,XP_025338502.1,C00064,2
R00243__cyto,3.436,XP_025339257.1,C00025,1
R03293__cyto,13.5005,XP_025334601.1,C01157,1
R04639__cyto,1.4979,XP_025339437.1,C06148,1
R03657__cyto,10.3169,XP_025338267.1,C00123,2
R01466__cyto,5.3424,XP_025335870.1,C01102,1
R03652__cyto,0.9536,XP_025339085.1,C00064,1
R02295__cyto,10.2384,XP_025336292.1,C05841,1
R09419__cyto,0.6748,XP_025334439.1,C00083,2
R09076__cyto,0.1749,XP_025337949.1,C00750,1
R00827__cyto,38.8978,XP_025336496.1,C00090,13
R03357__cyto,104.1412,XP_025338347.1,C04036,6
R02874__cyto,9.526,XP_025335444.1,C00751,1
R00248__cyto,16.0578,XP_025335158.1,C00025,2
R01372__cyto,6.2312,XP_025337317.1,C00166,1
R08310__cyto,145.6051,XP_025334696.1,C16595,4
R02003__cyto,1.4036,XP_025338951.1,C00129,4
R00674__cyto,2.611,XP_025339135.1,C00065,2
R07070__cyto,37.6148,XP_025336358.1,C00051,4
R02849__cyto,39.152,XP_025335695.1,C00081,8
R02413__cyto,7.8635,XP_025336072.1,C00493,1
R01398__cyto,176.468,XP_025335778.1,C00169,2
R04208__cyto,10.8623,XP_025338127.1,C04640,1
R12366__cyto,18.8148,XP_025338347.1,C22111,5
R01030__cyto,13.9202,XP_025339340.1,C00670,1
R08306__mito,86.1815,XP_025334696.1,C16586,4
