reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R00894__cyto,5.1671,XP_085453936.1,C00025,2
R03936__cyto,15.2043,XP_085453106.1,C02700,1
R00658__cyto,59.1315,XP_085453107.1,C00631,1
R00763__cyto,49.8024,XP_085455657.1,C00665,7
R12120__cyto,2.3385,XP_085452763.1,C21920,1
R08657__mito,10.5878,XP_085454125.1,C00093,2
R04591__cyto,26.993,XP_085454692.1,C04751,2
R02485__cyto,12.382,XP_085455436.1,C00881,1
R00527__cyto,3.6344,XP_085453380.1,C01031,1
R02590__cyto,2.2742,XP_085450973.1,C06459,2
R03893__cyto,793.0199,XP_085450431.1,C04431,1
R00489__cyto,5.9201,XP_085453922.1,C00049,2
R03352__cyto,69.2272,XP_085453593.1,C04047,3
R00848__mito,10.5878,XP_085454125.1,C00093,1
R07895__cyto,0.508,XP_085452799.1,C00024,2
R01072__cyto,8.9833,XP_085450394.1,C00119,2
R01187__cyto,27.8026,XP_085455657.1,C04006,7
R02464__cyto,76.1065,XP_085452156.1,C01120,1
R00548__cyto,245.1638,XP_085455287.1,C00061,2
R00768__cyto,0.0528,XP_085454342.1,C00064,2
R00243__cyto,3.8342,XP_085450770.1,C00025,1
R03293__cyto,4.4778,XP_085455185.1,C01157,1
R04639__cyto,0.6028,XP_085450867.1,C06148,1
R03657__cyto,14.1311,XP_085453037.1,C00123,2
R01466__cyto,10.7845,XP_085451280.1,C01102,1
R03652__cyto,1.197,XP_085454975.1,C00064,1
R02295__cyto,9.3383,XP_085452422.1,C05841,1
R09419__cyto,3.368,XP_085455607.1,C00083,2
R09076__cyto,0.5108,XP_085451092.1,C00750,1
R00827__cyto,28.3803,XP_085455431.1,C00090,14
R03357__cyto,71.7783,XP_085454179.1,C04036,7
R02874__cyto,2.3446,XP_085453095.1,C00751,1
R00248__cyto,15.7923,XP_085453432.1,C00025,2
R01372__cyto,6.4469,XP_085452075.1,C00166,1
R08310__cyto,34.4339,XP_085455283.1,C16595,4
R02003__cyto,23.8037,XP_085454813.1,C00129,4
R00674__cyto,5.0311,XP_085455034.1,C00463,2
R07070__cyto,35.3815,XP_085452152.1,C00051,8
R02849__cyto,29.0623,XP_085455502.1,C00081,8
R02413__cyto,2.5972,XP_085452194.1,C00493,1
R01398__cyto,27.4636,XP_085451380.1,C00169,2
R04208__cyto,4.0895,XP_085453937.1,C04640,1
R12366__cyto,4.1775,XP_085454552.1,C22111,5
R01030__cyto,1.4958,XP_085450963.1,C00670,1
R08306__mito,24.0973,XP_085455283.1,C16586,4
R00264__cyto,127.6898,XP_085453865.1,C00433,3
R01956__cyto,8.8216,XP_085455643.1,C00328,2
R02722__cyto,5.4435,XP_085455034.1,C03506,2
R00220__pero,10.9804,XP_085454794.1,C00065,3
R02549__cyto,36.8122,XP_085453865.1,C00555,3
R02739__cyto,209.5039,XP_085451881.1,C00668,2
R08221__cyto,10.8049,XP_085455436.1,C16635,1
R00351__pero,98.9882,XP_085454362.1,C00036,2
R08310__mito,34.4339,XP_085455283.1,C16595,4
R01330__cyto,22.9348,XP_085455502.1,C00159,4
R01626__mito,3.4576,XP_085452617.1,C00083,1
R05801__cyto,8.2911,XP_085451463.1,C11555,1
R00227__cyto,3.353,XP_085451777.1,C00024,2
R01220__mito,33.2288,XP_085451695.1,C00143,2
