gene,length_aa,MW_kDa
XP_085453936.1,753,86.11
XP_085453396.1,1541,172.52
XP_085453106.1,453,50.3
XP_085453107.1,439,47.11
XP_085450454.1,173,19.85
XP_085452195.1,542,61.5
XP_085455705.1,608,69.51
XP_085455684.1,460,52.07
XP_085455657.1,451,51.49
XP_085450809.1,880,102.11
XP_085454014.1,476,54.29
XP_085452763.1,524,59.65
XP_085454125.1,649,71.85
XP_085450368.1,423,45.16
XP_085450519.1,1876,205.55
XP_085454692.1,307,35.04
XP_085455436.1,139,15.16
XP_085453380.1,286,31.66
XP_085450973.1,425,48.87
XP_085452095.1,454,51.27
XP_085452388.1,427,48.27
XP_085450431.1,269,30.37
XP_085453922.1,567,63.84
XP_085454568.1,499,55.94
XP_085451777.1,470,52.79
XP_085453593.1,467,52.66
XP_085454314.1,315,34.9
XP_085452799.1,416,43.62
XP_085450394.1,534,59.08
XP_085452156.1,594,65.95
XP_085452803.1,461,51.63
XP_085455287.1,163,18.61
XP_085454342.1,684,76.31
XP_085450770.1,1061,120.16
XP_085455185.1,276,29.07
XP_085450867.1,283,31.64
XP_085454092.1,1092,124.39
XP_085453037.1,926,103.89
XP_085451280.1,516,57.74
XP_085454975.1,794,90.35
XP_085452422.1,307,33.19
XP_085453332.1,331,38.27
XP_085455607.1,323,36.82
XP_085451092.1,471,52.77
XP_085452695.1,302,34.49
XP_085454552.1,907,99.44
XP_085454029.1,810,88.01
XP_085454277.1,240,27.9
XP_085452734.1,335,37.46
XP_085454410.1,262,29.65
XP_085453181.1,287,32.92
XP_085454643.1,398,44.49
XP_085452745.1,797,90.74
XP_085453159.1,164,19.19
XP_085453724.1,251,28.83
XP_085452032.1,262,29.61
XP_085454129.1,314,33.13
XP_085454636.1,491,56.31
XP_085455431.1,426,48.42
XP_085454330.1,344,38.32
XP_085454829.1,245,27.87
XP_085454179.1,231,24.94
XP_085454535.1,296,32.93
XP_085455215.1,286,31.67
XP_085454977.1,268,28.64
XP_085454953.1,270,29.39
XP_085450463.1,290,32.73
XP_085453095.1,494,54.97
XP_085453556.1,455,48.99
XP_085453432.1,2123,234.7
XP_085452075.1,478,53.49
XP_085455234.1,379,40.17
XP_085450897.1,348,36.77
XP_085455283.1,348,36.59
XP_085454475.1,380,40.38
XP_085454813.1,350,40.57
XP_085453885.1,351,39.84
XP_085451602.1,388,42.41
XP_085455034.1,701,75.34
XP_085452493.1,320,35.97
XP_085452152.1,240,27.06
XP_085452146.1,254,29.86
XP_085455726.1,240,27.36
XP_085455502.1,504,55.95
XP_085450664.1,484,53.71
XP_085451463.1,572,63.24
XP_085451797.1,472,52.11
XP_085452194.1,1566,171.57
XP_085451380.1,338,37.23
XP_085453937.1,791,83.87
XP_085453729.1,351,38.83
XP_085450963.1,1289,145.15
XP_085454779.1,520,56.61
XP_085453865.1,512,55.4
XP_085452122.1,499,53.91
XP_085451293.1,679,76.25
XP_085455643.1,435,49.04
XP_085452883.1,314,33.94
XP_085454743.1,350,37.58
XP_085454794.1,570,63.28
XP_085451970.1,214,24.14
XP_085453621.1,552,61.38
XP_085451881.1,304,34.39
XP_085454362.1,461,51.33
XP_085452617.1,2060,229.37
XP_085451695.1,946,101.64
XP_085454386.1,990,107.29
XP_085454910.1,589,66.65
XP_085453977.1,490,55.22
XP_085451333.1,209,23.2
XP_085452160.1,657,74.63
XP_085451775.1,285,33.55
XP_085450966.1,1312,146.86
XP_085452223.1,553,65.27
XP_085455383.1,461,52.23
XP_085453727.1,550,59.3
XP_085453996.1,716,84.23
XP_085450896.1,509,58.23
XP_085451607.1,524,60.45
XP_085455513.1,686,78.93
XP_085454714.1,719,81.74
XP_085452828.1,754,86.18
XP_085455241.1,463,53.13
XP_085453771.1,432,49.99
XP_085453213.1,553,58.91
XP_085450476.1,391,44.86
XP_085452712.1,422,48.12
XP_085454233.1,435,50.53
XP_085451234.1,695,79.73
XP_085454748.1,692,80.15
XP_085455049.1,423,48.15
XP_085453785.1,722,83.64
XP_085454783.1,616,70.63
XP_085453235.1,1441,165.01
XP_085455138.1,356,42.14
XP_085452971.1,457,52.47
XP_085454260.1,556,64.81
XP_085451816.1,452,49.53
XP_085454232.1,433,49.22
XP_085452819.1,456,51.1
XP_085453766.1,574,62.86
XP_085451597.1,538,61.23
XP_085454804.1,480,54.23
XP_085454671.1,337,38.78
XP_085454414.1,1656,185.07
XP_085455608.1,328,34.68
XP_085451960.1,150,16.54
XP_085455176.1,562,63.52
XP_085452264.1,685,76.43
XP_085451772.1,1178,129.68
XP_085451419.1,229,26.95
XP_085453664.1,316,36.12
XP_085451923.1,390,40.55
XP_085451224.1,383,39.54
XP_085453992.1,814,90.45
XP_085452137.1,825,90.97
XP_085450344.1,830,91.42
XP_085451545.1,425,48.31
XP_085451684.1,842,94.6
XP_085451185.1,862,96.86
XP_085450402.1,486,55.04
XP_085453499.1,255,28.28
XP_085453196.1,303,36.03
XP_085452854.1,588,63.04
XP_085455048.1,680,74.91
XP_085455661.1,672,74.82
XP_085452239.1,711,80.76
XP_085453721.1,639,72.13
XP_085451991.1,368,40.09
XP_085454469.1,697,77.44
XP_085453199.1,279,30.27
XP_085453974.1,404,45.0
XP_085455189.1,458,50.2
XP_085454750.1,245,28.28
XP_085454083.1,679,73.19
XP_085453625.1,318,35.77
XP_085452120.1,293,33.55
XP_085452265.1,551,62.01
XP_085452262.1,496,56.18
XP_085450702.1,392,43.62
XP_085454807.1,424,47.92
XP_085455606.1,268,29.15
XP_085450493.1,439,48.58
XP_085455504.1,408,44.05
XP_085453784.1,487,51.95
XP_085454068.1,704,79.41
XP_085454067.1,708,78.37
XP_085455297.1,711,79.12
XP_085453666.1,204,23.52
XP_085452528.1,500,53.2
XP_085453468.1,324,33.83
XP_085451876.1,292,33.67
XP_085452271.1,234,26.5
XP_085454571.1,326,36.64
XP_085451779.1,565,63.73
XP_085453932.1,247,27.23
XP_085452048.1,1046,117.78
XP_085454730.1,409,47.15
XP_085454717.1,612,70.72
XP_085451384.1,461,52.47
XP_085452466.1,597,69.17
XP_085453589.1,423,48.51
XP_085450883.1,582,64.43
XP_085451363.1,778,85.78
XP_085454781.1,760,85.32
XP_085450818.1,343,38.78
XP_085454379.1,994,110.29
XP_085450594.1,186,20.74
XP_085453656.1,320,35.64
XP_085450700.1,686,75.8
XP_085454551.1,790,89.02
XP_085455518.1,456,51.23
XP_085450632.1,722,82.23
XP_085452336.1,431,48.03
XP_085452266.1,463,52.02
XP_085453903.1,385,44.24
XP_085452437.1,399,46.07
XP_085453902.1,385,43.96
XP_085450526.1,391,44.42
XP_085454903.1,612,69.88
XP_085452147.1,416,47.08
XP_085451418.1,561,63.99
XP_085454916.1,751,84.97
XP_085450877.1,979,107.63
XP_085451508.1,944,102.75
XP_085454956.1,1391,154.18
XP_085451127.1,223,25.3
XP_085451128.1,207,23.75
XP_085451523.1,218,24.44
XP_085452255.1,342,37.79
XP_085455077.1,152,16.63
XP_085454775.1,307,34.32
XP_085450727.1,398,45.82
XP_085451629.1,577,66.05
XP_085453710.1,576,63.3
XP_085452379.1,562,61.9
XP_085451024.1,300,32.86
XP_085454339.1,680,74.09
XP_085455452.1,400,44.33
XP_085451778.1,362,39.1
XP_085452782.1,382,41.95
XP_085451319.1,485,51.51
XP_085453629.1,151,16.93
XP_085454275.1,1054,118.64
XP_085452949.1,566,63.02
XP_085454378.1,553,61.34
XP_085451031.1,586,63.55
XP_085454950.1,579,65.31
XP_085451627.1,890,101.14
XP_085452389.1,387,45.19
XP_085452618.1,1144,128.86
XP_085454824.1,327,37.3
XP_085455184.1,838,96.24
XP_085451781.1,457,49.23
XP_085451356.1,390,43.32
XP_085452121.1,371,40.57
XP_085454042.1,562,62.18
XP_085451346.1,437,47.47
XP_085455142.1,860,92.81
XP_085454887.1,1804,204.68
XP_085452648.1,760,83.34
XP_085454543.1,970,110.53
XP_085451032.1,324,37.21
XP_085452329.1,2370,268.41
XP_085452079.1,300,33.92
XP_085455674.1,933,103.7
XP_085454311.1,251,28.71
XP_085452601.1,355,39.68
XP_085451942.1,587,65.97
XP_085455300.1,300,33.94
XP_085454262.1,299,32.73
XP_085455532.1,707,80.14
XP_085453063.1,368,39.45
XP_085452263.1,316,36.91
XP_085452087.1,528,58.52
XP_085455351.1,344,37.57
