id,pred_tm
auris|XP_085450344.1,54.199588
auris|XP_085450368.1,58.673209
auris|XP_085450385.1,52.883977
auris|XP_085450394.1,55.574387
auris|XP_085450402.1,52.396238
auris|XP_085450407.1,51.819885
auris|XP_085450431.1,59.193951
auris|XP_085450451.1,57.067305
auris|XP_085450452.1,56.471568
auris|XP_085450453.1,58.725590
auris|XP_085450454.1,53.867191
auris|XP_085450460.1,53.935498
auris|XP_085450463.1,56.434393
auris|XP_085450465.1,51.312548
auris|XP_085450476.1,52.426940
auris|XP_085450477.1,54.996639
auris|XP_085450482.1,53.192598
auris|XP_085450493.1,51.679677
auris|XP_085450519.1,53.490943
auris|XP_085450526.1,51.853871
auris|XP_085450528.1,52.558768
auris|XP_085450548.1,53.422356
auris|XP_085450549.1,55.815846
auris|XP_085450552.1,64.120901
auris|XP_085450557.1,50.543839
auris|XP_085450568.1,56.206602
auris|XP_085450576.1,53.192872
auris|XP_085450594.1,57.681781
auris|XP_085450611.1,53.452265
auris|XP_085450629.1,51.070476
auris|XP_085450632.1,51.607025
auris|XP_085450635.1,54.146969
auris|XP_085450636.1,53.718179
auris|XP_085450652.1,55.931920
auris|XP_085450664.1,53.172296
auris|XP_085450673.1,60.491842
auris|XP_085450700.1,51.993698
auris|XP_085450702.1,53.019398
auris|XP_085450704.1,52.067393
auris|XP_085450723.1,52.579701
auris|XP_085450727.1,51.621151
auris|XP_085450728.1,53.147513
auris|XP_085450731.1,52.957171
auris|XP_085450736.1,54.454786
auris|XP_085450760.1,52.249014
auris|XP_085450767.1,49.637753
auris|XP_085450769.1,55.506045
auris|XP_085450770.1,54.732877
auris|XP_085450775.1,54.398954
auris|XP_085450790.1,53.147954
auris|XP_085450795.1,54.732555
auris|XP_085450798.1,50.637054
auris|XP_085450799.1,55.929226
auris|XP_085450802.1,55.159974
auris|XP_085450809.1,51.860708
auris|XP_085450813.1,51.004690
auris|XP_085450818.1,55.091029
auris|XP_085450834.1,61.834574
auris|XP_085450857.1,55.787045
auris|XP_085450858.1,52.131456
auris|XP_085450861.1,53.598809
auris|XP_085450863.1,52.930337
auris|XP_085450865.1,53.618532
auris|XP_085450867.1,52.615869
auris|XP_085450877.1,53.056234
auris|XP_085450883.1,52.835947
auris|XP_085450896.1,54.204732
auris|XP_085450897.1,54.312211
auris|XP_085450907.1,54.890335
auris|XP_085450917.1,55.260611
auris|XP_085450937.1,55.146265
auris|XP_085450940.1,61.349070
auris|XP_085450945.1,55.795157
auris|XP_085450946.1,48.393062
auris|XP_085450958.1,56.882077
auris|XP_085450961.1,51.391315
auris|XP_085450963.1,51.133162
auris|XP_085450965.1,52.450967
auris|XP_085450966.1,52.600795
auris|XP_085450973.1,55.298913
auris|XP_085450982.1,52.305293
auris|XP_085451005.1,51.964146
auris|XP_085451015.1,57.710528
auris|XP_085451024.1,51.235896
auris|XP_085451031.1,51.327330
auris|XP_085451032.1,53.370994
auris|XP_085451062.1,53.360474
auris|XP_085451082.1,56.439739
auris|XP_085451085.1,56.687552
auris|XP_085451086.1,51.735991
auris|XP_085451092.1,58.069581
auris|XP_085451111.1,51.522833
auris|XP_085451119.1,53.329939
auris|XP_085451127.1,52.531248
auris|XP_085451128.1,50.856310
auris|XP_085451135.1,53.349125
auris|XP_085451146.1,55.311704
auris|XP_085451171.1,53.105456
auris|XP_085451173.1,53.175646
auris|XP_085451174.1,51.002496
auris|XP_085451185.1,53.834850
auris|XP_085451202.1,58.053952
auris|XP_085451224.1,50.945342
auris|XP_085451234.1,51.364982
auris|XP_085451243.1,55.329418
auris|XP_085451249.1,55.989999
auris|XP_085451266.1,53.824824
auris|XP_085451280.1,52.203441
auris|XP_085451290.1,53.762776
auris|XP_085451293.1,52.803063
auris|XP_085451312.1,51.265413
auris|XP_085451316.1,52.460361
auris|XP_085451319.1,51.955599
auris|XP_085451323.1,56.281072
auris|XP_085451330.1,50.640064
auris|XP_085451333.1,51.792014
auris|XP_085451335.1,53.514075
auris|XP_085451345.1,52.144581
auris|XP_085451346.1,53.352076
auris|XP_085451356.1,54.358602
auris|XP_085451358.1,57.712895
auris|XP_085451363.1,51.385325
auris|XP_085451367.1,54.685456
auris|XP_085451374.1,52.719337
auris|XP_085451380.1,53.172284
auris|XP_085451384.1,51.544708
auris|XP_085451391.1,52.032351
auris|XP_085451415.1,50.709945
auris|XP_085451418.1,51.166028
auris|XP_085451419.1,52.566803
auris|XP_085451420.1,54.949564
auris|XP_085451421.1,58.911175
auris|XP_085451422.1,52.151304
auris|XP_085451439.1,53.504497
auris|XP_085451463.1,51.818424
auris|XP_085451464.1,56.269974
auris|XP_085451466.1,56.350195
auris|XP_085451472.1,56.147462
auris|XP_085451496.1,58.181167
auris|XP_085451508.1,58.346254
auris|XP_085451510.1,54.660165
auris|XP_085451518.1,53.754878
auris|XP_085451523.1,54.163551
auris|XP_085451529.1,52.596909
auris|XP_085451542.1,51.316857
auris|XP_085451545.1,51.728183
auris|XP_085451547.1,54.521376
auris|XP_085451572.1,55.582422
auris|XP_085451573.1,52.647132
auris|XP_085451593.1,50.231844
auris|XP_085451597.1,55.874795
auris|XP_085451602.1,51.498419
auris|XP_085451603.1,52.246654
auris|XP_085451607.1,49.903506
auris|XP_085451627.1,52.585399
auris|XP_085451629.1,50.925428
auris|XP_085451632.1,51.450455
auris|XP_085451636.1,56.088227
auris|XP_085451652.1,52.002734
auris|XP_085451653.1,55.316293
auris|XP_085451666.1,52.896708
auris|XP_085451674.1,63.243133
auris|XP_085451684.1,51.608157
auris|XP_085451695.1,55.934995
auris|XP_085451699.1,49.856013
auris|XP_085451705.1,52.809078
auris|XP_085451706.1,50.976866
auris|XP_085451707.1,52.971309
auris|XP_085451715.1,52.340752
auris|XP_085451730.1,51.602525
auris|XP_085451733.1,65.027058
auris|XP_085451735.1,55.842453
auris|XP_085451751.1,53.107649
auris|XP_085451772.1,56.269640
auris|XP_085451775.1,51.746184
auris|XP_085451777.1,55.157930
auris|XP_085451778.1,59.962982
auris|XP_085451779.1,55.079317
auris|XP_085451781.1,54.679137
auris|XP_085451789.1,52.114522
auris|XP_085451795.1,55.805880
auris|XP_085451796.1,60.795861
auris|XP_085451797.1,54.119796
auris|XP_085451799.1,56.060904
auris|XP_085451802.1,51.908392
auris|XP_085451809.1,54.307956
auris|XP_085451810.1,53.782654
auris|XP_085451816.1,53.432977
auris|XP_085451818.1,54.358095
auris|XP_085451820.1,54.058534
auris|XP_085451831.1,55.716968
auris|XP_085451834.1,57.004696
auris|XP_085451862.1,54.349393
auris|XP_085451869.1,59.261316
auris|XP_085451874.1,51.406056
auris|XP_085451876.1,52.630740
auris|XP_085451881.1,52.134722
auris|XP_085451884.1,52.555126
auris|XP_085451893.1,51.516497
auris|XP_085451905.1,54.694092
auris|XP_085451923.1,49.918139
auris|XP_085451941.1,53.949350
auris|XP_085451942.1,53.885084
auris|XP_085451960.1,62.686312
auris|XP_085451970.1,51.272762
auris|XP_085451976.1,52.923453
auris|XP_085451977.1,54.492813
auris|XP_085451991.1,55.085403
auris|XP_085452015.1,60.283160
auris|XP_085452022.1,53.008384
auris|XP_085452032.1,54.780430
auris|XP_085452048.1,51.687336
auris|XP_085452049.1,59.865576
auris|XP_085452056.1,52.603596
auris|XP_085452058.1,51.946425
auris|XP_085452075.1,53.017980
auris|XP_085452079.1,52.446234
auris|XP_085452082.1,51.489651
auris|XP_085452084.1,56.476265
auris|XP_085452087.1,55.773062
auris|XP_085452090.1,54.312420
auris|XP_085452095.1,53.339076
auris|XP_085452105.1,52.517039
auris|XP_085452120.1,52.677435
auris|XP_085452121.1,53.164315
auris|XP_085452122.1,54.058570
auris|XP_085452129.1,51.537234
auris|XP_085452137.1,58.045119
auris|XP_085452141.1,53.333801
auris|XP_085452142.1,51.695061
auris|XP_085452146.1,55.184990
auris|XP_085452147.1,55.574626
auris|XP_085452150.1,51.006126
auris|XP_085452152.1,51.628846
auris|XP_085452156.1,53.261197
auris|XP_085452160.1,51.420641
auris|XP_085452171.1,59.481394
auris|XP_085452190.1,52.464885
auris|XP_085452194.1,55.294156
auris|XP_085452195.1,53.095609
auris|XP_085452223.1,53.664809
auris|XP_085452238.1,63.941360
