accession	description
XP_085450351.1	uncharacterized protein B9J08_05257
XP_085450352.1	uncharacterized protein B9J08_05258
XP_085450359.1	uncharacterized protein B9J08_05265
XP_085450413.1	uncharacterized protein B9J08_05319
XP_085450423.1	uncharacterized protein B9J08_05329
XP_085450508.1	uncharacterized protein B9J08_05417
XP_085450752.1	uncharacterized protein B9J08_04928
XP_085450771.1	uncharacterized protein B9J08_04947
XP_085450772.1	uncharacterized protein B9J08_04948
XP_085450773.1	uncharacterized protein B9J08_04949
XP_085450826.1	uncharacterized protein B9J08_05008
XP_085450841.1	uncharacterized protein B9J08_05024
XP_085450853.1	uncharacterized protein B9J08_05038
XP_085450856.1	uncharacterized protein B9J08_05041
XP_085450860.1	uncharacterized protein B9J08_05045
XP_085450927.1	OST5 family protein
XP_085450931.1	uncharacterized protein B9J08_05120
XP_085450941.1	uncharacterized protein B9J08_05130
XP_085450952.1	uncharacterized protein B9J08_05141
XP_085450981.1	uncharacterized protein B9J08_05170
XP_085450983.1	uncharacterized protein B9J08_05172
XP_085451037.1	uncharacterized protein B9J08_05226
XP_085451038.1	uncharacterized protein B9J08_05227
XP_085451041.1	uncharacterized protein B9J08_05231
XP_085451181.1	uncharacterized protein B9J08_04556
XP_085451198.1	uncharacterized protein B9J08_04573
XP_085451199.1	uncharacterized protein B9J08_04574
XP_085451218.1	uncharacterized protein B9J08_04593
XP_085451337.1	cell envelope integrity TolA family protein
XP_085451347.1	uncharacterized protein B9J08_04725
XP_085451361.1	uncharacterized protein B9J08_04739
XP_085451616.1	uncharacterized protein B9J08_03924
XP_085451690.1	uncharacterized protein B9J08_04001
XP_085451731.1	uncharacterized protein B9J08_04042
XP_085451753.1	uncharacterized protein B9J08_04065
XP_085451765.1	uncharacterized protein B9J08_04077
XP_085451827.1	uncharacterized protein B9J08_04140
XP_085452092.1	uncharacterized protein B9J08_04417
XP_085452100.1	uncharacterized protein B9J08_04425
XP_085452102.1	uncharacterized protein B9J08_04427
XP_085452104.1	uncharacterized protein B9J08_03022
XP_085452140.1	uncharacterized protein B9J08_03061
XP_085452686.1	uncharacterized protein B9J08_03620
XP_085452783.1	uncharacterized protein B9J08_03718
XP_085452794.1	uncharacterized protein B9J08_03729
XP_085453148.1	adenosine deaminase family protein
XP_085453383.1	uncharacterized protein B9J08_02520
XP_085453470.1	uncharacterized protein B9J08_02610
XP_085453493.1	uncharacterized protein B9J08_02634
XP_085453596.1	uncharacterized protein B9J08_02741
XP_085453630.1	uncharacterized protein B9J08_02775
XP_085453669.1	uncharacterized protein B9J08_02817
XP_085453715.1	uncharacterized protein B9J08_02864
XP_085453740.1	uncharacterized protein B9J08_02889
XP_085453870.1	NAD-dependent epimerase/dehydratase family protein
XP_085454077.1	uncharacterized protein B9J08_00220
XP_085454104.1	electron transfer flavoprotein regulatory factor 1
XP_085454350.1	uncharacterized protein B9J08_00500
XP_085454573.1	Stf2p
XP_085455002.1	uncharacterized protein B9J08_01178
XP_085455072.1	protein PET117
XP_085455104.1	uncharacterized protein B9J08_01283, partial
XP_085455164.1	uncharacterized protein B9J08_01346
XP_085455276.1	uncharacterized protein B9J08_01465
XP_085455341.1	uncharacterized protein B9J08_01530
XP_085455373.1	uncharacterized protein B9J08_01562
XP_085455420.1	uncharacterized protein B9J08_01609
XP_085455444.1	uncharacterized protein B9J08_01635
XP_085455696.1	uncharacterized protein B9J08_01890
